season,season_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2020,15204,3.0,105595.0,101792,20256,29009,5646,1011,1372,17353,4612,1295,12994,22098,231,40793,0.0,3986,1349,1295,0.0,6,1954.0,16619.201,117430,0.285,0.276,0.392,0.48,0.872,0.085,0.347,31179.506,29656.836,31078.992,2114.9,0.423,0.012,0.188,0.111,0.077,0.588
2021,15580,1.0,505501.0,441716,78488,118826,22404,2814,11823,70916,13370,4501,54172,108252,1350,182327,0.0,14823,5708,5239,0.0,1635,8782.0,70253.644,506835,0.269,0.286,0.371,0.497,0.868,0.07,0.327,136529.974,129878.12,135376.04,12549.0,0.379,0.023,0.214,0.107,0.107,0.5
2022,15860,1.0,533494.0,523356,98967,144838,27891,3306,15640,89439,16415,5198,66265,125261,1534,226261,7347.0,18265,5922,6188,0.0,2014,10304.0,86673.815,601731,0.277,0.304,0.381,0.522,0.903,0.072,0.332,168534.942,163350.516,169879.532,16018.1,0.39,0.026,0.208,0.11,0.098,0.529
2022,15860,2.0,1271.0,1321,412,456,71,25,32,343,114,27,225,239,8,673,7.0,80,10,25,0.0,11,26.0,328.409,1581,0.345,0.4,0.481,0.606,1.087,0.111,0.394,551.118,526.8,553.34,50.0,0.521,0.02,0.151,0.142,0.009,0.941
2023,16340,1.0,161327.0,543802,106220,152724,29523,3429,18508,98421,18071,5255,70311,128421,1455,244629,7828.0,19289,6027,6785,0.0,2009,10780.0,94910.802,626925,0.281,0.322,0.387,0.544,0.931,0.073,0.332,183628.772,178174.716,184959.252,18286.9,0.392,0.03,0.205,0.112,0.093,0.548
2023,16340,2.0,107820.0,344892,70540,100661,19058,2344,9219,63725,14020,3651,43364,73160,702,152064,4393.0,13000,4493,4608,0.0,1367,6557.0,60461.329,397357,0.292,0.305,0.395,0.53,0.925,0.076,0.342,115349.8,111657.142,116132.884,11123.6,0.415,0.023,0.184,0.109,0.075,0.593
2023,16340,3.0,109688.0,355533,73321,105750,19966,2942,6815,65674,16228,3804,44417,69780,897,152045,4264.0,13941,4521,5107,0.0,1651,6683.0,61523.405,409578,0.297,0.29,0.401,0.511,0.912,0.081,0.348,116246.07,112124.206,116718.192,9598.9,0.423,0.017,0.17,0.108,0.062,0.637
2024,16580,1.0,131996.0,441509,88300,124316,24204,2692,15140,81830,15288,4283,58929,103087,1181,199324,6415.0,17366,5154,5600,0.0,1637,8651.0,78635.012,511192,0.282,0.328,0.392,0.547,0.939,0.073,0.332,150471.374,145990.226,151532.632,15213.6,0.394,0.03,0.202,0.115,0.087,0.572
2024,16580,2.0,102457.0,326980,67983,96171,18225,2140,9251,62313,13248,3524,42522,68647,683,146429,4323.0,13118,4447,4339,0.0,1389,6382.0,59114.044,378288,0.294,0.313,0.401,0.538,0.939,0.075,0.343,111522.264,108042.728,112355.176,10894.5,0.412,0.024,0.181,0.112,0.069,0.619
2024,16580,3.0,102593.0,332844,69550,98652,18867,2588,6396,62363,16306,3717,42415,66283,780,141883,3850.0,14521,4664,4907,0.0,1522,6214.0,58001.273,384830,0.296,0.295,0.404,0.51,0.914,0.08,0.348,109165.306,105220.144,109631.448,9188.0,0.423,0.017,0.172,0.11,0.062,0.64
