season,season_id,school_id,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2017,12560,91,185.0,159,22,4,0,0,13,6,2,0,0.9783783783783784,0.46153846153846156
2017,12560,92,57.0,32,21,4,0,0,9,5,2,0,0.9298245614035088,0.5555555555555556
2017,12560,93,835.0,617,187,31,0,5,26,10,46,1,0.962874251497006,0.38461538461538464
2017,12560,94,884.0,660,197,27,0,6,32,10,66,2,0.9694570135746606,0.3125
2017,12560,95,60.0,26,30,4,0,0,7,1,7,0,0.9333333333333333,0.14285714285714285
2017,12560,96,1353.0,1044,282,27,1,6,22,16,122,0,0.9800443458980045,0.7272727272727273
2017,12560,97,436.0,272,149,15,0,0,18,10,19,0,0.9655963302752294,0.5555555555555556
2017,12560,98,100.0,35,61,4,0,0,8,2,10,0,0.96,0.25
2017,12560,99,794.0,535,250,9,0,5,15,24,33,0,0.9886649874055415,1.6
2017,12560,100,734.0,416,288,30,0,10,60,24,58,0,0.9591280653950953,0.4
2017,12560,101,468.0,301,150,17,0,2,36,21,14,0,0.9636752136752137,0.5833333333333334
2017,12560,102,768.0,566,184,18,2,4,84,18,31,0,0.9765625,0.21428571428571427
2017,12560,103,24.0,8,15,1,0,0,12,5,0,0,0.9583333333333334,0.4166666666666667
2017,12560,104,1392.0,1050,299,43,0,5,51,28,54,0,0.9691091954022989,0.5490196078431373
2017,12560,106,156.0,67,84,5,0,0,2,2,16,0,0.967948717948718,1.0
2017,12560,108,274.0,236,30,8,0,0,9,3,4,0,0.9708029197080292,0.3333333333333333
2017,12560,109,93.0,80,10,3,0,0,7,4,0,0,0.967741935483871,0.5714285714285714
2017,12560,110,164.0,152,10,2,0,0,4,1,1,0,0.9878048780487805,0.25
2017,12560,111,4.0,2,2,0,0,0,3,0,0,0,1.0,0.0
2017,12560,112,137.0,85,46,6,0,0,0,0,11,0,0.9562043795620438,
2017,12560,114,47.0,86,110,5,0,0,2,1,6,0,0.9751243781094527,0.5
2017,12560,115,920.0,815,84,21,0,13,28,8,45,0,0.9771739130434782,0.2857142857142857
2017,12560,116,596.0,499,82,15,0,15,45,15,3,0,0.9748322147651006,0.3333333333333333
2017,12560,117,888.0,610,232,46,0,10,78,17,67,0,0.9481981981981982,0.21794871794871795
2017,12560,118,516.0,527,469,28,0,0,17,8,53,0,0.97265625,0.47058823529411764
2017,12560,120,369.0,262,87,20,0,4,7,3,32,0,0.94579945799458,0.42857142857142855
2017,12560,122,361.0,257,94,10,0,0,3,3,27,0,0.9722991689750693,1.0
2017,12560,123,445.0,207,209,29,0,0,0,1,34,0,0.9348314606741573,
2017,12560,125,256.0,530,640,22,0,0,35,19,32,0,0.9815436241610739,0.5428571428571428
2017,12560,126,255.0,375,427,27,0,0,28,5,19,0,0.9674306393244874,0.17857142857142858
