R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,division,score
1,5,1,0,0,1,0,0,0,0,0,0,2,,0,0,0,0,02/23/2024,away,16580,459,UNC Greensboro,9,True,8,5,3,win,4526531,62,2657732.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,2,0,0,0,0,2,,1,0,0,0,02/16/2024,away,16580,485,Norfolk St.,9,True,3,8,-5,loss,4525556,450,2481496.0,2024,0.0,0.0,1.0,
1,4,2,0,0,2,0,3,2,0,0,0,1,,0,0,0,0,02/17/2024,away,16580,485,Norfolk St.,9,True,14,4,10,win,4525780,450,2481496.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,0,2,0,0,0,2,,0,0,0,0,02/18/2024,away,16580,485,Norfolk St.,12,True,6,7,-1,loss,4526118,450,2481496.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,1,0,0,0,0,2,,0,0,0,0,02/20/2024,away,16580,392,Maryland,9,True,3,14,-11,loss,4492162,450,2481496.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/16/2024,home,16580,660,SIUE,10,True,9,8,1,win,4525481,716,2680724.0,2024,0.0,0.0,1.0,
2,4,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/17/2024,home,16580,660,SIUE,9,True,24,13,11,win,4525792,716,2680724.0,2024,0.0,0.0,1.0,
3,2,1,0,0,4,1,2,1,0,0,0,0,,0,0,0,0,02/18/2024,home,16580,660,SIUE,9,True,11,0,11,win,4526039,716,2680724.0,2024,0.0,0.0,1.0,
2,3,2,0,0,2,0,1,0,1,0,0,1,,0,0,0,0,02/20/2024,away,16580,228,Florida A&M,9,True,13,2,11,win,4526377,716,2680724.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/23/2024,home,16580,275,Harvard,9,True,4,3,1,win,4526481,716,2680724.0,2024,0.0,0.0,1.0,
0,2,2,0,0,2,0,1,0,0,1,0,0,,1,1,0,0,02/25/2024,home,16580,275,Harvard,9,True,11,1,10,win,4527188,716,2680724.0,2024,0.0,0.0,1.0,
0,4,1,1,0,2,0,0,1,0,0,0,0,,0,0,0,0,02/16/2024,neutral,16580,635,Seton Hall,9,True,5,2,3,win,4492942,312,2671905.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,1,1,0,0,0,1,,0,0,0,0,02/17/2024,neutral,16580,47,Ball St.,9,True,5,0,5,win,4492946,312,2671905.0,2024,0.0,0.0,1.0,
0,4,2,0,0,2,0,2,0,0,0,0,0,,0,0,0,0,02/18/2024,neutral,16580,352,Lehigh,9,True,4,8,-4,loss,4492947,312,2671905.0,2024,0.0,0.0,1.0,
1,4,1,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,02/20/2024,home,16580,364,Loras,9,True,20,6,14,win,5245724,312,2671905.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/23/2024,neutral,16580,37,Auburn,9,True,5,7,-2,loss,4492949,312,2671905.0,2024,0.0,0.0,1.0,
1,3,2,0,0,2,0,1,1,1,0,0,0,,1,0,0,0,02/24/2024,neutral,16580,746,Virginia,9,True,9,12,-3,loss,4492950,312,2671905.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,0,1,0,0,0,2,,0,0,0,0,02/25/2024,neutral,16580,782,Wichita St.,9,True,6,12,-6,loss,4492951,312,2671905.0,2024,0.0,0.0,1.0,
1,4,1,0,0,1,0,0,1,0,0,0,1,,0,0,0,0,02/17/2024,away,16580,363,Longwood,9,True,13,27,-14,loss,4525905,639,2473166.0,2024,0.0,0.0,1.0,
1,3,0,0,0,0,0,0,2,0,0,0,3,,0,0,0,0,02/17/2024,neutral,16580,528,Oregon St.,9,True,4,6,-2,loss,4491909,428,2942726.0,2024,0.0,0.0,1.0,
1,3,2,0,0,5,1,1,0,0,0,0,0,,0,0,0,0,02/16/2024,neutral,16580,5,Akron,9,True,3,1,2,win,4492208,301,2654561.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,0,1,0,0,0,2,,0,0,0,0,02/16/2024,neutral,16580,5,Akron,11,True,4,5,-1,loss,4492207,301,2654561.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,02/17/2024,away,16580,749,Wake Forest,9,True,2,5,-3,loss,4492209,301,2654561.0,2024,1.0,1.0,1.0,
0,2,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/24/2024,neutral,16580,140,Cincinnati,9,True,3,10,-7,loss,4492212,301,2654561.0,2024,0.0,0.0,1.0,
1,3,1,0,0,4,1,1,1,0,0,0,1,,0,0,0,0,02/25/2024,neutral,16580,47,Ball St.,9,True,1,7,-6,loss,4492213,301,2654561.0,2024,0.0,0.0,1.0,
1,4,0,0,0,0,0,0,1,0,0,0,3,,0,0,0,0,02/16/2024,away,16580,626,San Diego St.,9,True,5,4,1,win,4525526,551,2671911.0,2024,0.0,0.0,1.0,
