R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,score,player_id,division
1,3,1,1,0,2,0,0,0,0,0,0,1,,0,0,0,0,02/25/2023,home,16340,689,Tampa,9,True,2,10,-8,loss,2391778,30045,2803890.0,2023,0.0,0.0,,2803890.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/25/2023,home,16340,689,Tampa,9,True,1,8,-7,loss,2408465,30045,2803890.0,2023,0.0,0.0,,2803890.0,2.0
1,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,0,02/04/2023,away,16340,15646,Barton,9,True,7,4,3,win,2412095,423,2330450.0,2023,0.0,0.0,,2330450.0,2.0
1,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/10/2023,home,16340,543,Jefferson,9,True,6,5,1,win,2415419,423,2330450.0,2023,0.0,0.0,,2330450.0,2.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,neutral,16340,437,Molloy,10,True,1,2,-1,loss,2391056,423,2330450.0,2023,0.0,0.0,,2330450.0,2.0
1,5,1,1,0,2,0,0,0,0,0,0,3,,0,0,0,0,02/24/2023,neutral,16340,408,Mercyhurst,9,True,8,1,7,win,2391436,423,2330450.0,2023,0.0,0.0,,2330450.0,2.0
3,3,2,1,0,6,1,1,3,0,0,0,0,,1,0,2,0,02/25/2023,neutral,16340,546,Pitt.-Johnstown,11,True,9,8,1,win,2391748,423,2330450.0,2023,1.0,1.0,,2330450.0,2.0
0,4,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,02/26/2023,away,16340,1098,Glenville St.,9,True,7,2,5,win,2392120,423,2330450.0,2023,0.0,0.0,,2330450.0,2.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,away,16340,229,Fla. Atlantic,9,True,2,17,-15,loss,2390947,439,2824778.0,2023,0.0,0.0,,2824778.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/26/2023,neutral,16340,539,Penn St.,9,True,3,11,-8,loss,2392108,439,2824778.0,2023,0.0,0.0,,2824778.0,1.0
