R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,score,GDP,division
2,5,3,1,0,4,0,0,0,0,0,0,1,,0,0,1,0,02/19/2023,away,16340,288,Houston,9,True,6,8,-2,loss,2390838,107,2660077.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,1,0,0,0,2,,0,0,0,0,02/17/2023,home,16340,742,Virginia Tech,9,True,5,2,3,win,2390260,1014,2139365.0,2023,0.0,,0.0,1.0
0,3,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,742,Virginia Tech,9,True,2,15,-13,loss,2390825,1014,2139365.0,2023,0.0,,0.0,1.0
3,4,3,0,0,3,0,2,2,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,464,Omaha,9,True,16,1,15,win,2390434,110,2472150.0,2023,0.0,,0.0,1.0
3,4,2,1,0,6,1,5,3,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,464,Omaha,9,True,23,0,23,win,2390738,110,2472150.0,2023,0.0,,0.0,1.0
1,4,2,1,0,3,0,1,1,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,464,Omaha,9,True,8,1,7,win,2390991,110,2472150.0,2023,0.0,,0.0,1.0
0,3,1,0,0,1,0,1,1,0,0,1,1,,0,0,1,0,02/17/2023,neutral,16340,112,UC San Diego,9,True,12,4,8,win,2390322,1104,2472152.0,2023,0.0,,0.0,1.0
2,2,1,1,0,2,0,0,2,0,0,0,0,,0,0,0,1,02/18/2023,home,16340,694,Tennessee,9,True,4,3,1,win,2390812,1104,2472152.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,neutral,16340,418,Michigan,9,True,4,6,-2,loss,2390884,1104,2472152.0,2023,1.0,,1.0,1.0
0,3,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/20/2023,home,16340,416,Michigan St.,9,True,1,7,-6,loss,2391067,1104,2472152.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,2,0,0,1,0,2,,1,0,0,0,02/17/2023,neutral,16340,739,Villanova,9,True,7,2,5,win,2390887,111,2828831.0,2023,0.0,,0.0,1.0
0,1,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2828831.0,2023,0.0,,0.0,1.0
1,5,2,0,0,2,0,0,0,0,0,0,2,,0,0,0,0,02/19/2023,neutral,16340,754,Washington St.,9,True,6,8,-2,loss,2390888,111,2828831.0,2023,0.0,,0.0,1.0
2,6,3,0,0,3,0,1,0,0,0,0,0,,0,0,0,0,02/17/2023,neutral,16340,112,UC San Diego,9,True,12,4,8,win,2390322,1104,2467013.0,2023,0.0,,0.0,1.0
0,4,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,694,Tennessee,9,True,4,3,1,win,2390812,1104,2467013.0,2023,0.0,,0.0,1.0
1,3,0,0,0,0,0,0,2,0,0,0,1,,0,0,0,0,02/19/2023,neutral,16340,418,Michigan,9,True,4,6,-2,loss,2390884,1104,2467013.0,2023,1.0,,1.0,1.0
0,5,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/20/2023,home,16340,416,Michigan St.,9,True,1,7,-6,loss,2391067,1104,2467013.0,2023,0.0,,0.0,1.0
2,5,2,0,0,2,0,2,0,0,0,0,1,,1,1,0,0,02/17/2023,neutral,16340,112,UC San Diego,9,True,12,4,8,win,2390322,1104,2467007.0,2023,0.0,,0.0,1.0
0,4,1,1,0,2,0,0,0,0,0,0,2,,0,0,0,0,02/18/2023,home,16340,694,Tennessee,9,True,4,3,1,win,2390812,1104,2467007.0,2023,0.0,,0.0,1.0
1,5,2,0,0,2,0,1,0,0,0,0,2,,0,0,0,0,02/19/2023,neutral,16340,418,Michigan,9,True,4,6,-2,loss,2390884,1104,2467007.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/20/2023,home,16340,416,Michigan St.,9,True,1,7,-6,loss,2391067,1104,2467007.0,2023,0.0,,0.0,1.0
0,3,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,742,Virginia Tech,9,True,3,12,-9,loss,2390508,1014,2139367.0,2023,0.0,,0.0,1.0
0,3,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2508417.0,2023,1.0,,1.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,neutral,16340,754,Washington St.,9,True,6,8,-2,loss,2390888,111,2508417.0,2023,0.0,,0.0,1.0
1,2,0,0,0,0,0,1,0,1,1,0,2,,0,0,0,0,02/17/2023,home,16340,742,Virginia Tech,9,True,5,2,3,win,2390260,1014,2678772.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,2,,0,0,0,0,02/18/2023,home,16340,742,Virginia Tech,9,True,3,12,-9,loss,2390508,1014,2678772.0,2023,0.0,,0.0,1.0
1,4,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,742,Virginia Tech,9,True,2,15,-13,loss,2390825,1014,2678772.0,2023,0.0,,0.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,30024,Utah Valley,9,True,1,7,-6,loss,2407902,108,2679652.0,2023,0.0,,0.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,30024,Utah Valley,9,True,20,4,16,win,2391044,108,2679652.0,2023,0.0,,0.0,1.0
0,3,2,0,0,2,0,0,0,0,0,0,0,,0,0,1,0,02/18/2023,home,16340,30024,Utah Valley,9,True,1,7,-6,loss,2407902,108,2827450.0,2023,0.0,,0.0,1.0
1,3,1,0,0,1,0,1,1,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,30024,Utah Valley,9,True,20,4,16,win,2391044,108,2827450.0,2023,0.0,,0.0,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,02/19/2023,home,16340,493,North Dakota St.,9,True,4,13,-9,loss,2408511,102,2813722.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2348321.0,2023,0.0,,0.0,1.0
2,1,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,236,Fordham,9,True,19,5,14,win,2390733,1045,2807582.0,2023,0.0,,0.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,236,Fordham,9,True,13,1,12,win,2390918,1045,2807582.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,1,0,0,1,0,0,,0,0,0,0,02/17/2023,home,16340,236,Fordham,9,True,8,0,8,win,2390475,1045,2476094.0,2023,0.0,,0.0,1.0
1,3,0,0,0,0,0,1,1,1,1,0,1,,0,0,2,0,02/18/2023,home,16340,236,Fordham,9,True,19,5,14,win,2390733,1045,2476094.0,2023,0.0,,0.0,1.0
1,1,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,742,Virginia Tech,9,True,5,2,3,win,2390260,1014,2678773.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,02/18/2023,home,16340,742,Virginia Tech,9,True,3,12,-9,loss,2390508,1014,2678773.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,2,,0,0,0,0,02/19/2023,home,16340,742,Virginia Tech,9,True,2,15,-13,loss,2390825,1014,2678773.0,2023,0.0,,0.0,1.0
3,3,1,0,0,1,0,0,0,2,0,0,2,,0,0,0,0,02/17/2023,home,16340,587,Rutgers,9,True,11,5,6,win,2390300,115,2680037.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,587,Rutgers,9,True,3,16,-13,loss,2390859,115,2680037.0,2023,1.0,,1.0,1.0
4,3,3,1,0,7,1,3,2,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,236,Fordham,9,True,19,5,14,win,2390733,1045,2807555.0,2023,0.0,,0.0,1.0
2,1,1,0,0,1,0,0,2,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,236,Fordham,9,True,13,1,12,win,2390918,1045,2807555.0,2023,0.0,,0.0,1.0
1,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/17/2023,neutral,16340,112,UC San Diego,9,True,12,4,8,win,2390322,1104,2467006.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,02/18/2023,home,16340,694,Tennessee,9,True,4,3,1,win,2390812,1104,2467006.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/17/2023,home,16340,654,Southeast Mo. St.,9,True,3,11,-8,loss,2390286,1004,2461846.0,2023,0.0,,0.0,1.0
1,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/17/2023,neutral,16340,739,Villanova,9,True,7,2,5,win,2390887,111,2828830.0,2023,0.0,,0.0,1.0
0,3,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2828830.0,2023,0.0,,0.0,1.0
1,4,2,2,0,4,0,2,1,0,0,0,1,,0,0,0,0,02/19/2023,neutral,16340,754,Washington St.,9,True,6,8,-2,loss,2390888,111,2828830.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/17/2023,home,16340,30024,Utah Valley,9,True,1,8,-7,loss,2390380,108,2827508.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,02/18/2023,home,16340,30024,Utah Valley,9,True,4,2,2,win,2390653,108,2827508.0,2023,0.0,,0.0,1.0
1,5,2,0,0,2,0,2,1,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,30024,Utah Valley,9,True,20,4,16,win,2391044,108,2827508.0,2023,0.0,,0.0,1.0
1,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,576,Rider,9,True,4,1,3,win,2390301,1092,1980595.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,576,Rider,8,True,0,2,-2,loss,2390570,1092,1980595.0,2023,1.0,,1.0,1.0
1,3,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,576,Rider,9,True,3,7,-4,loss,2408889,1092,1980595.0,2023,1.0,,1.0,1.0
0,2,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,02/19/2023,home,16340,576,Rider,9,True,2,17,-15,loss,2390860,1092,1980595.0,2023,0.0,,0.0,1.0
0,4,2,0,0,2,0,2,0,0,0,0,1,,0,0,0,0,02/17/2023,neutral,16340,1104,Grand Canyon,9,True,4,12,-8,loss,2390322,112,2827871.0,2023,0.0,,0.0,1.0
1,5,2,1,0,3,0,1,0,1,0,0,0,,0,0,0,0,02/18/2023,neutral,16340,418,Michigan,9,True,11,2,9,win,2390594,112,2827871.0,2023,0.0,,0.0,1.0
0,4,2,0,0,2,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,neutral,16340,694,Tennessee,9,True,0,7,-7,loss,2391057,112,2827871.0,2023,0.0,,0.0,1.0
1,4,1,0,0,1,0,2,0,0,1,0,0,,0,0,0,0,02/20/2023,neutral,16340,29,Arizona,9,True,8,9,-1,loss,2391071,112,2827871.0,2023,0.0,,0.0,1.0
1,4,2,0,1,4,0,1,0,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,718,Tulane,9,True,3,0,3,win,2390446,109,2795358.0,2023,0.0,,0.0,1.0
2,4,2,0,2,6,0,2,1,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,718,Tulane,9,True,11,4,7,win,2390680,109,2795358.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,0,02/19/2023,home,16340,718,Tulane,9,True,1,0,1,win,2390979,109,2795358.0,2023,0.0,,0.0,1.0
1,3,1,0,0,1,0,0,1,0,0,0,2,,0,0,1,0,02/18/2023,home,16340,493,North Dakota St.,9,True,8,6,2,win,2390506,102,2813726.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,1,0,0,0,0,2,,0,0,0,0,02/19/2023,home,16340,493,North Dakota St.,9,True,3,2,1,win,2390871,102,2813726.0,2023,0.0,,0.0,1.0
2,5,3,0,0,3,0,1,1,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,464,Omaha,9,True,23,0,23,win,2390738,110,2673434.0,2023,0.0,,0.0,1.0
2,2,1,0,0,4,1,2,1,1,0,0,1,,0,0,0,0,02/19/2023,home,16340,464,Omaha,9,True,8,1,7,win,2390991,110,2673434.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/17/2023,home,16340,30024,Utah Valley,9,True,1,8,-7,loss,2390380,108,2827454.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,30024,Utah Valley,9,True,1,7,-6,loss,2407902,108,2827454.0,2023,0.0,,0.0,1.0
2,2,0,0,0,0,0,0,3,0,0,1,1,,0,0,0,0,02/19/2023,home,16340,30024,Utah Valley,9,True,20,4,16,win,2391044,108,2827454.0,2023,0.0,,0.0,1.0
1,4,1,0,0,4,1,3,0,1,0,0,0,,0,0,0,0,02/19/2023,neutral,16340,428,Minnesota,9,True,13,2,11,win,2391059,104,2827131.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,02/20/2023,neutral,16340,528,Oregon St.,9,True,0,11,-11,loss,2391074,104,2827131.0,2023,0.0,,0.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,587,Rutgers,9,True,3,16,-13,loss,2390859,115,2827643.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,1,0,0,0,2,,0,0,0,0,02/17/2023,home,16340,718,Tulane,9,True,3,0,3,win,2390446,109,2795365.0,2023,0.0,,0.0,1.0
0,6,2,1,0,3,0,2,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,718,Tulane,9,True,11,4,7,win,2390680,109,2795365.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,718,Tulane,9,True,1,0,1,win,2390979,109,2795365.0,2023,1.0,,1.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/17/2023,neutral,16340,112,UC San Diego,9,True,12,4,8,win,2390322,1104,2650987.0,2023,1.0,,1.0,1.0
0,3,1,0,0,1,0,0,1,0,0,0,1,,0,0,0,0,02/19/2023,neutral,16340,418,Michigan,9,True,4,6,-2,loss,2390884,1104,2650987.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,02/17/2023,away,16340,288,Houston,9,True,7,0,7,win,2390277,107,2660059.0,2023,0.0,,0.0,1.0
0,2,1,0,0,1,0,1,0,0,0,0,1,,0,0,0,0,02/18/2023,away,16340,288,Houston,9,True,5,3,2,win,2390519,107,2660059.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,3,1,0,0,0,1,,0,0,0,0,02/19/2023,away,16340,288,Houston,9,True,6,8,-2,loss,2390838,107,2660059.0,2023,0.0,,0.0,1.0
1,3,1,1,0,2,0,1,0,0,0,0,1,,0,0,0,0,02/17/2023,home,16340,711,Towson,9,True,7,1,6,win,2390295,10411,2335522.0,2023,0.0,,0.0,1.0
1,1,0,0,0,0,0,1,1,0,1,0,1,,0,0,0,0,02/18/2023,home,16340,711,Towson,9,True,9,2,7,win,2390532,10411,2335522.0,2023,0.0,,0.0,1.0
1,2,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,711,Towson,9,True,10,2,8,win,2390854,10411,2335522.0,2023,0.0,,0.0,1.0
1,3,0,0,0,0,0,1,2,0,1,0,0,,0,0,0,0,02/17/2023,home,16340,464,Omaha,9,True,16,1,15,win,2390434,110,2472156.0,2023,0.0,,0.0,1.0
3,3,1,0,0,1,0,0,1,0,0,0,0,,0,0,3,0,02/18/2023,home,16340,464,Omaha,9,True,23,0,23,win,2390738,110,2472156.0,2023,0.0,,0.0,1.0
1,3,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,02/19/2023,home,16340,464,Omaha,9,True,8,1,7,win,2390991,110,2472156.0,2023,0.0,,0.0,1.0
2,4,1,0,0,1,0,1,1,1,0,0,1,,0,0,0,0,02/17/2023,home,16340,464,Omaha,9,True,16,1,15,win,2390434,110,2472154.0,2023,0.0,,0.0,1.0
2,1,1,0,0,1,0,1,0,1,0,0,0,,0,0,0,0,02/18/2023,home,16340,464,Omaha,9,True,23,0,23,win,2390738,110,2472154.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,711,Towson,9,True,9,2,7,win,2390532,10411,2680408.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,718,Tulane,9,True,3,0,3,win,2390446,109,2305187.0,2023,0.0,,0.0,1.0
2,2,0,0,0,0,0,0,1,2,0,0,2,,0,0,1,0,02/18/2023,home,16340,718,Tulane,9,True,11,4,7,win,2390680,109,2305187.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,02/19/2023,home,16340,718,Tulane,9,True,1,0,1,win,2390979,109,2305187.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,02/17/2023,home,16340,493,North Dakota St.,9,True,5,3,2,win,2390255,102,2651251.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,493,North Dakota St.,9,True,8,6,2,win,2390506,102,2651251.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,493,North Dakota St.,9,True,3,2,1,win,2390871,102,2651251.0,2023,1.0,,1.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,493,North Dakota St.,9,True,4,13,-9,loss,2408511,102,2651251.0,2023,0.0,,0.0,1.0
0,5,2,0,0,2,0,0,0,0,0,0,0,,1,0,0,0,02/17/2023,neutral,16340,739,Villanova,9,True,7,2,5,win,2390887,111,2681299.0,2023,0.0,,0.0,1.0
0,4,1,1,0,2,0,1,0,0,0,0,1,,0,0,0,0,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2681299.0,2023,0.0,,0.0,1.0
0,3,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,neutral,16340,754,Washington St.,9,True,6,8,-2,loss,2390888,111,2681299.0,2023,0.0,,0.0,1.0
0,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,742,Virginia Tech,9,True,3,12,-9,loss,2390508,1014,2139375.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,02/17/2023,away,16340,288,Houston,9,True,7,0,7,win,2390277,107,2119890.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/18/2023,away,16340,288,Houston,9,True,5,3,2,win,2390519,107,2119890.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,02/19/2023,away,16340,288,Houston,9,True,6,8,-2,loss,2390838,107,2119890.0,2023,1.0,,1.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,742,Virginia Tech,9,True,3,12,-9,loss,2390508,1014,2821797.0,2023,0.0,,0.0,1.0
0,1,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,576,Rider,8,True,0,2,-2,loss,2390570,1092,2685376.0,2023,0.0,,0.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,576,Rider,9,True,2,17,-15,loss,2390860,1092,2685376.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,2,0,0,0,2,,0,0,0,0,02/17/2023,home,16340,576,Rider,9,True,4,1,3,win,2390301,1092,2138453.0,2023,0.0,,0.0,1.0
0,3,1,1,0,2,0,0,0,0,0,0,2,,0,0,0,0,02/18/2023,home,16340,576,Rider,8,True,0,2,-2,loss,2390570,1092,2138453.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,02/18/2023,home,16340,576,Rider,9,True,3,7,-4,loss,2408889,1092,2138453.0,2023,0.0,,0.0,1.0
0,5,1,0,0,1,0,0,0,0,0,0,3,,0,0,0,0,02/19/2023,home,16340,576,Rider,9,True,2,17,-15,loss,2390860,1092,2138453.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/17/2023,home,16340,30024,Utah Valley,9,True,1,8,-7,loss,2390380,108,2679654.0,2023,0.0,,0.0,1.0
2,4,2,0,0,5,1,2,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,30024,Utah Valley,9,True,4,2,2,win,2390653,108,2679654.0,2023,0.0,,0.0,1.0
1,3,1,1,0,2,0,0,1,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,30024,Utah Valley,9,True,1,7,-6,loss,2407902,108,2679654.0,2023,0.0,,0.0,1.0
2,5,1,0,0,1,0,0,1,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,30024,Utah Valley,9,True,20,4,16,win,2391044,108,2679654.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/18/2023,home,16340,30024,Utah Valley,9,True,1,7,-6,loss,2407902,108,2679655.0,2023,0.0,,0.0,1.0
1,5,2,0,0,2,0,1,0,0,0,0,1,,0,0,1,0,02/17/2023,home,16340,464,Omaha,9,True,16,1,15,win,2390434,110,2673387.0,2023,0.0,,0.0,1.0
1,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,464,Omaha,9,True,23,0,23,win,2390738,110,2673387.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,464,Omaha,9,True,8,1,7,win,2390991,110,2673387.0,2023,1.0,,1.0,1.0
1,3,1,0,0,1,0,1,0,0,1,0,0,,0,0,1,0,02/17/2023,home,16340,493,North Dakota St.,9,True,5,3,2,win,2390255,102,2813724.0,2023,0.0,,0.0,1.0
1,5,2,1,0,3,0,1,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,493,North Dakota St.,9,True,8,6,2,win,2390506,102,2813724.0,2023,0.0,,0.0,1.0
1,3,1,1,0,2,0,0,0,1,0,0,1,,0,0,0,0,02/19/2023,home,16340,493,North Dakota St.,9,True,3,2,1,win,2390871,102,2813724.0,2023,0.0,,0.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,493,North Dakota St.,9,True,4,13,-9,loss,2408511,102,2813724.0,2023,1.0,,1.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,493,North Dakota St.,9,True,4,13,-9,loss,2408511,102,2813730.0,2023,0.0,,0.0,1.0
1,4,2,0,0,2,0,0,0,0,0,0,1,,0,0,0,0,02/17/2023,home,16340,334,Kentucky,9,True,2,0,2,win,2390294,1068,2677877.0,2023,1.0,,0.0,1.0
