season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2021,15580,2,1.0,04/24/2021,2024884,home,2743,UIW,8,3,5,36.0,27,8,1,0,0,0,2,0,0,0.9722222222222222,inf
2021,15580,2,1.0,04/25/2021,2022282,home,2743,UIW,8,4,4,32.0,27,5,0,0,0,0,0,0,0,1.0,
2021,15580,2,1.0,04/30/2021,2022517,away,287,Houston Baptist,5,2,3,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,2,1.0,04/30/2021,2022517,away,287,Houston Christian,5,2,3,36.0,27,7,2,0,0,10,0,0,0,0.9444444444444444,0.0
2021,15580,2,1.0,05/02/2021,2022886,away,287,Houston Baptist,8,6,2,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,2,1.0,05/02/2021,2022886,away,287,Houston Christian,8,6,2,38.0,27,9,2,0,0,8,0,5,0,0.9473684210526315,0.0
2021,15580,2,1.0,05/07/2021,2023125,home,346,Lamar University,3,2,1,39.0,27,11,1,0,0,0,2,2,0,0.9743589743589743,inf
2021,15580,2,1.0,05/08/2021,2023297,home,346,Lamar University,8,4,4,28.0,21,6,1,0,0,2,0,0,0,0.9642857142857143,0.0
2021,15580,2,1.0,05/08/2021,2025493,home,346,Lamar University,10,5,5,38.0,27,10,1,0,2,0,0,0,0,0.9736842105263158,
2021,15580,2,1.0,05/09/2021,2023423,home,346,Lamar University,7,5,2,40.0,27,13,0,0,0,0,0,0,0,1.0,
2021,15580,2,1.0,05/14/2021,2023552,away,624,Sam Houston,10,1,9,36.0,27,9,0,0,1,0,0,2,0,1.0,
2021,15580,2,1.0,05/15/2021,2023683,away,624,Sam Houston,12,6,6,33.0,21,10,2,0,0,2,0,3,0,0.9393939393939394,0.0
2021,15580,2,1.0,05/15/2021,2026645,away,624,Sam Houston,4,5,-1,37.0,28,9,0,0,0,8,2,3,0,1.0,0.25
2021,15580,2,1.0,05/16/2021,2023748,away,624,Sam Houston,5,3,2,38.0,27,10,1,0,0,2,2,2,0,0.9736842105263158,1.0
2021,15580,2,1.0,05/20/2021,2023884,home,676,SFA,13,3,10,30.0,21,8,1,0,0,2,2,0,0,0.9666666666666667,1.0
2021,15580,2,1.0,05/21/2021,2023969,home,676,SFA,7,3,4,28.0,21,6,1,0,0,0,2,2,0,0.9642857142857143,inf
2021,15580,2,1.0,05/21/2021,2025356,home,676,SFA,6,4,2,36.0,27,9,0,0,0,0,0,3,0,1.0,
2021,15580,2,1.0,05/22/2021,2024031,home,676,SFA,3,9,-6,41.0,27,12,2,0,0,20,2,3,0,0.9512195121951219,0.1
2021,15580,2,1.0,05/26/2021,2080610,neutral,346,Lamar University,7,1,6,37.0,27,10,0,0,0,2,0,6,0,1.0,0.0
2021,15580,2,1.0,05/27/2021,2080611,neutral,26172,A&M-Corpus Christi,4,3,1,36.0,27,8,1,0,0,0,0,2,0,0.9722222222222222,
2021,15580,2,1.0,05/28/2021,2080614,neutral,624,Sam Houston,12,14,-2,26.0,24,2,0,0,0,2,0,2,0,1.0,0.0
2021,15580,2,1.0,05/29/2021,2080942,neutral,624,Sam Houston,13,15,-2,39.0,27,10,2,0,0,8,2,3,0,0.9487179487179487,0.25
2021,15580,3,2.0,03/11/2021,2017703,home,23157,Felician,15,0,15,45.0,27,16,2,0,0,0,2,3,0,0.9555555555555556,inf
2021,15580,3,2.0,03/13/2021,2018013,home,533,Pace,6,11,-5,40.0,27,10,3,0,1,2,0,3,0,0.925,0.0
2021,15580,3,2.0,03/13/2021,2026683,home,533,Pace,5,2,3,27.0,21,6,0,0,0,2,0,2,0,1.0,0.0
2021,15580,3,2.0,03/14/2021,2018185,away,407,Mercy,3,12,-9,31.0,24,7,0,0,1,4,2,0,0,1.0,0.5
2021,15580,3,2.0,03/16/2021,2019659,home,437,Molloy,4,11,-7,44.0,27,12,5,0,1,8,0,0,0,0.8863636363636364,0.0
2021,15580,3,2.0,03/20/2021,2018673,home,1348,St. Thomas Aquinas,2,9,-7,36.0,27,8,1,0,1,8,2,2,0,0.9722222222222222,0.25
2021,15580,3,2.0,03/20/2021,2024490,home,1348,St. Thomas Aquinas,3,12,-9,29.0,21,6,2,0,0,0,0,0,0,0.9310344827586207,
2021,15580,3,2.0,03/27/2021,2019364,home,658,Southern Conn. St.,19,11,8,40.0,27,12,1,0,0,4,0,3,0,0.975,0.0
2021,15580,3,2.0,03/27/2021,2024815,home,658,Southern Conn. St.,6,2,4,26.0,21,5,0,0,1,4,2,0,0,1.0,0.5
2021,15580,3,2.0,03/28/2021,2024815,home,0,0.0,6,2,4,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,3,2.0,04/03/2021,2020173,away,470,New Haven,2,14,-12,23.0,18,3,2,0,1,4,0,2,0,0.9130434782608695,0.0
2021,15580,3,2.0,04/03/2021,2026002,away,470,New Haven,3,5,-2,22.0,18,3,1,0,0,0,0,0,0,0.9545454545454546,
2021,15580,3,2.0,04/05/2021,2020269,away,470,New Haven,7,4,3,35.0,27,6,2,0,2,2,0,1,0,0.9428571428571428,0.0
2021,15580,3,2.0,04/07/2021,2020269,home,0,0.0,7,4,3,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,3,2.0,04/08/2021,2020269,home,0,0.0,7,4,3,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,3,2.0,04/14/2021,2020269,home,0,0.0,7,4,3,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,3,2.0,04/17/2021,2021425,away,349,Le Moyne,7,4,3,33.0,27,6,0,0,0,4,0,3,0,1.0,0.0
2021,15580,3,2.0,04/17/2021,2024623,away,349,Le Moyne,1,6,-5,23.0,18,4,1,0,0,8,0,4,0,0.9565217391304348,0.0
2021,15580,3,2.0,04/18/2021,2021650,away,349,Le Moyne,4,5,-1,25.0,18,7,0,0,0,7,0,3,0,1.0,0.0
2021,15580,3,2.0,04/18/2021,2025714,away,349,Le Moyne,7,16,-9,35.0,24,8,3,0,0,6,0,0,0,0.9142857142857143,0.0
2021,15580,3,2.0,04/24/2021,2022158,home,1347,Saint Rose,13,1,12,40.0,27,12,1,0,0,0,0,6,0,0.975,
2021,15580,3,2.0,04/24/2021,2025267,home,1347,Saint Rose,2,1,1,26.0,21,5,0,0,0,4,0,0,0,1.0,0.0
2021,15580,3,2.0,04/28/2021,2022341,home,1347,Saint Rose,3,7,-4,29.0,21,7,1,0,0,2,0,0,0,0.9655172413793104,0.0
2021,15580,3,2.0,04/28/2021,2026259,home,1347,Saint Rose,9,7,2,40.0,27,11,2,0,1,8,0,0,0,0.95,0.0
2021,15580,3,2.0,05/01/2021,2022726,away,22,American Int'l,7,8,-1,37.0,24,10,3,0,0,4,2,3,0,0.918918918918919,0.5
2021,15580,3,2.0,05/01/2021,2025905,away,22,American Int'l,6,2,4,31.0,21,8,2,0,1,0,4,3,0,0.9354838709677419,inf
2021,15580,3,2.0,05/02/2021,2022949,away,22,American Int'l,11,7,4,26.0,21,4,1,0,0,4,0,0,0,0.9615384615384616,0.0
2021,15580,3,2.0,05/02/2021,2026628,away,22,American Int'l,9,2,7,31.0,24,7,0,0,0,2,2,0,0,1.0,1.0
2021,15580,3,2.0,05/07/2021,2023328,home,533,Pace,13,12,1,37.0,27,8,2,0,0,4,0,0,0,0.9459459459459459,0.0
2021,15580,3,2.0,05/07/2021,2025524,home,533,Pace,7,2,5,25.0,21,4,0,0,1,6,0,2,0,1.0,0.0
2021,15580,3,2.0,05/08/2021,2023189,home,533,Pace,4,2,2,27.0,21,6,0,0,1,2,2,0,0,1.0,1.0
2021,15580,3,2.0,05/08/2021,2023476,home,533,Pace,11,4,7,38.0,27,9,2,0,0,6,0,0,0,0.9473684210526315,0.0
2021,15580,3,2.0,05/13/2021,2078675,home,22,American Int'l,8,2,6,35.0,27,8,0,0,0,0,0,0,0,1.0,
2021,15580,3,2.0,05/16/2021,2078989,neutral,349,Le Moyne,4,9,-5,35.0,24,8,3,0,1,14,0,0,0,0.9142857142857143,0.0
2021,15580,3,2.0,05/16/2021,2079008,home,349,Le Moyne,6,4,2,36.0,27,7,2,0,0,0,0,0,0,0.9444444444444444,
2021,15580,3,2.0,05/17/2021,2079440,home,349,Le Moyne,13,2,11,38.0,27,8,3,0,0,2,2,0,0,0.9210526315789473,1.0
2021,15580,3,2.0,05/21/2021,2079696,away,468,Southern N.H.,0,10,-10,31.0,24,7,0,0,0,8,4,3,0,1.0,0.5
2021,15580,3,2.0,05/21/2021,2079715,home,468,Southern N.H.,3,9,-6,35.0,27,7,1,0,0,14,0,0,0,0.9714285714285714,0.0
2021,15580,4,3.0,02/27/2021,2016808,away,28593,Birmingham-So.,8,1,7,38.0,27,10,1,0,0,0,2,0,0,0.9736842105263158,inf
2021,15580,4,3.0,02/27/2021,2024923,home,28593,Birmingham-So.,3,8,-5,40.0,27,11,2,0,0,4,0,0,0,0.95,0.0
2021,15580,4,3.0,02/28/2021,2016653,away,28593,Birmingham-So.,10,6,4,37.0,27,10,0,0,0,2,0,2,0,1.0,0.0
2021,15580,4,3.0,03/01/2021,2016993,away,21830,Piedmont,4,3,1,56.0,42,13,1,0,1,2,2,0,0,0.9821428571428571,1.0
2021,15580,4,3.0,03/02/2021,2054147,away,21830,Piedmont,5,10,-5,37.0,24,11,2,0,1,14,3,0,0,0.9459459459459459,0.21428571428571427
2021,15580,4,3.0,03/03/2021,2016916,away,21830,Piedmont,10,3,7,35.0,27,8,0,0,0,2,0,3,0,1.0,0.0
2021,15580,4,3.0,03/12/2021,2051822,neutral,492,North Central (IL),4,0,4,38.0,27,10,1,0,0,0,0,0,0,0.9736842105263158,
2021,15580,4,3.0,03/14/2021,2057320,neutral,23260,Spalding,1,8,-7,37.0,27,9,1,0,0,4,4,0,0,0.972972972972973,1.0
2021,15580,4,3.0,03/20/2021,2018648,neutral,114,Calvin,8,9,-1,36.0,25,9,2,0,0,0,2,0,0,0.9444444444444444,inf
2021,15580,4,3.0,03/20/2021,2018725,neutral,326,Kalamazoo,1,4,-3,38.0,27,11,0,0,1,0,0,2,0,1.0,
2021,15580,4,3.0,03/21/2021,2018793,home,15,Albion,18,8,10,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,4,3.0,03/27/2021,2019131,home,30037,Trine,2,1,1,30.0,21,9,0,0,0,2,2,0,0,1.0,1.0
2021,15580,4,3.0,03/27/2021,2026437,home,30037,Trine,17,2,15,31.0,21,7,3,0,0,0,0,0,0,0.9032258064516129,
2021,15580,4,3.0,03/29/2021,2019316,away,30037,Trine,7,1,6,31.0,21,10,0,0,0,0,0,6,0,1.0,
2021,15580,4,3.0,03/29/2021,2024552,away,30037,Trine,21,9,12,30.0,21,9,0,0,1,2,0,5,0,1.0,0.0
2021,15580,4,3.0,04/02/2021,2019919,away,15,Albion,5,1,4,33.0,21,10,2,0,0,0,0,2,0,0.9393939393939394,
2021,15580,4,3.0,04/02/2021,2025029,away,15,Albion,12,3,9,1.0,0,0,1,0,0,0,1,0,0,0.0,inf
2021,15580,4,3.0,04/03/2021,2020142,home,15,Albion,4,3,1,31.0,21,9,1,0,0,0,0,0,0,0.967741935483871,
2021,15580,4,3.0,04/03/2021,2025850,home,15,Albion,8,5,3,28.0,21,6,1,0,0,6,2,3,0,0.9642857142857143,0.3333333333333333
2021,15580,4,3.0,04/09/2021,2020523,away,286,Hope,10,3,7,26.0,21,5,0,0,0,0,2,0,0,1.0,inf
2021,15580,4,3.0,04/09/2021,2024144,away,286,Hope,9,4,5,31.0,21,8,2,0,0,0,2,0,0,0.9354838709677419,inf
2021,15580,4,3.0,04/10/2021,2020718,home,0,0.0,6,4,2,0.0,0,0,0,0,0,0,0,0,0,,
2021,15580,4,3.0,04/10/2021,2020718,home,286,Hope,6,4,2,29.0,21,8,0,0,0,8,0,5,0,1.0,0.0
2021,15580,4,3.0,04/16/2021,2021259,away,114,Calvin,10,2,8,25.0,21,3,1,0,0,0,0,0,0,0.96,
2021,15580,4,3.0,04/16/2021,2026241,away,114,Calvin,10,9,1,29.0,21,7,1,0,0,0,0,0,0,0.9655172413793104,
2021,15580,4,3.0,04/17/2021,2021447,home,114,Calvin,2,3,-1,36.0,21,12,3,0,0,6,0,3,0,0.9166666666666666,0.0
2021,15580,4,3.0,04/17/2021,2025051,home,114,Calvin,7,6,1,44.0,30,13,1,0,0,2,0,0,0,0.9772727272727273,0.0
2021,15580,4,3.0,04/23/2021,2022110,home,21,Alma,4,2,2,31.0,21,9,1,0,0,0,0,6,0,0.967741935483871,
2021,15580,4,3.0,04/23/2021,2024875,home,21,Alma,11,1,10,33.0,21,12,0,0,0,2,0,0,0,1.0,0.0
2021,15580,4,3.0,04/25/2021,2022322,away,21,Alma,7,5,2,35.0,21,10,4,0,0,0,0,0,0,0.8857142857142857,
2021,15580,4,3.0,04/25/2021,2026095,away,21,Alma,17,2,15,32.0,21,9,2,0,0,2,0,0,0,0.9375,0.0
2021,15580,4,3.0,05/07/2021,2023494,home,326,Kalamazoo,11,1,10,28.0,21,7,0,0,0,0,0,0,0,1.0,
2021,15580,4,3.0,05/07/2021,2026313,home,326,Kalamazoo,12,2,10,32.0,21,11,0,0,0,0,0,2,0,1.0,
2021,15580,4,3.0,05/08/2021,2023351,away,326,Kalamazoo,3,0,3,31.0,21,10,0,0,0,2,0,0,0,1.0,0.0
2021,15580,4,3.0,05/08/2021,2025641,away,326,Kalamazoo,3,4,-1,33.0,22,11,0,0,1,2,0,8,0,1.0,0.0
2021,15580,4,3.0,05/12/2021,2078396,home,525,Olivet,13,2,11,41.0,27,13,1,0,0,0,0,0,0,0.975609756097561,
2021,15580,4,3.0,05/13/2021,2078329,away,21,Alma,3,1,2,35.0,27,8,0,0,0,0,2,0,0,1.0,inf
2021,15580,4,3.0,05/14/2021,2078957,away,326,Kalamazoo,9,2,7,34.0,27,7,0,0,0,0,0,0,0,1.0,
2021,15580,4,3.0,05/19/2021,2079052,home,286,Hope,6,5,1,47.0,39,7,1,0,0,4,0,1,0,0.9787234042553191,0.0
2021,15580,4,3.0,05/20/2021,2079396,neutral,286,Hope,19,6,13,41.0,27,14,0,0,0,2,0,3,0,1.0,0.0
2021,15580,4,3.0,05/27/2021,2080549,neutral,621,Salem St.,2,0,2,38.0,27,11,0,0,0,0,0,6,0,1.0,
2021,15580,4,3.0,05/28/2021,2080882,neutral,1400,Texas Lutheran,0,4,-4,36.0,27,7,2,0,0,2,0,2,0,0.9444444444444444,0.0
2021,15580,4,3.0,05/29/2021,2081001,neutral,30081,Penn St. Harrisburg,15,14,1,41.0,27,13,1,0,1,0,2,0,0,0.975609756097561,inf
2021,15580,4,3.0,05/30/2021,2080928,away,805,Wis.-Whitewater,3,2,1,33.0,27,6,0,0,0,0,0,2,0,1.0,
2021,15580,4,3.0,05/31/2021,2081086,home,805,Wis.-Whitewater,8,7,1,40.0,30,9,1,1,0,6,2,0,0,0.975,0.3333333333333333
2021,15580,4,3.0,06/04/2021,2081201,neutral,620,St. Thomas (MN),5,7,-2,39.0,24,13,2,0,0,0,0,0,0,0.9487179487179487,
2021,15580,4,3.0,06/05/2021,2081295,neutral,322,Johns Hopkins,12,9,3,35.0,27,6,2,0,0,0,0,0,0,0.9428571428571428,
2021,15580,4,3.0,06/06/2021,2081299,neutral,755,WashU,5,16,-11,39.0,27,12,0,0,0,8,0,3,0,1.0,0.0
2021,15580,5,1.0,03/06/2021,2017370,home,525,Olivet,13,0,13,34.0,27,6,1,0,0,0,2,0,0,0.9705882352941176,inf
2021,15580,5,1.0,03/06/2021,2024735,home,525,Olivet,9,1,8,24.0,21,3,0,0,0,6,0,0,0,1.0,0.0
2021,15580,5,1.0,03/10/2021,2058182,home,806,Wittenberg,1,5,-4,46.0,27,16,3,0,0,0,0,0,0,0.9347826086956522,
2021,15580,5,1.0,03/11/2021,2058183,home,19117,Salem (WV),16,1,15,37.0,27,10,0,0,0,2,2,3,0,1.0,1.0
2021,15580,5,1.0,03/12/2021,2053792,home,262,Grand Valley St.,5,3,2,39.0,27,11,1,0,0,0,0,0,0,0.9743589743589743,
2021,15580,5,1.0,03/14/2021,2059246,home,408,Mercyhurst,12,1,11,38.0,27,11,0,0,0,0,2,6,0,1.0,inf
2021,15580,5,1.0,03/19/2021,2018428,home,204,Eastern Mich.,2,9,-7,43.0,27,14,2,0,1,0,0,0,0,0.9534883720930233,
2021,15580,5,1.0,03/20/2021,2018640,home,204,Eastern Mich.,8,6,2,28.0,21,6,1,0,0,0,1,2,0,0.9642857142857143,inf
2021,15580,5,1.0,03/20/2021,2024465,home,204,Eastern Mich.,3,2,1,28.0,21,6,1,0,1,0,0,0,0,0.9642857142857143,
2021,15580,5,1.0,03/21/2021,2018810,home,204,Eastern Mich.,6,8,-2,49.0,33,14,2,0,1,0,0,0,0,0.9591836734693877,
2021,15580,5,1.0,03/24/2021,2064635,home,0,Shawnee St.,11,9,2,33.0,27,3,3,0,2,0,0,0,0,0.9090909090909091,
2021,15580,5,1.0,03/26/2021,2064714,home,71,Bowling Green,6,3,3,36.0,27,7,2,0,1,0,0,0,0,0.9444444444444444,
2021,15580,5,1.0,03/27/2021,2064772,home,71,Bowling Green,0,6,-6,25.0,21,4,0,0,0,0,2,0,0,1.0,inf
2021,15580,5,1.0,03/27/2021,2064776,home,71,Bowling Green,1,7,-6,37.0,24,11,2,0,0,0,0,3,0,0.9459459459459459,
2021,15580,5,1.0,03/28/2021,2064759,home,71,Bowling Green,2,3,-1,39.0,27,9,3,0,0,0,0,0,0,0.9230769230769231,
2021,15580,5,1.0,03/30/2021,2019606,away,175,Dayton,7,18,-11,30.0,24,6,0,0,0,2,0,0,0,1.0,0.0
2021,15580,5,1.0,04/02/2021,2064962,away,774,Western Mich.,0,10,-10,26.0,18,8,0,0,0,2,4,3,0,1.0,2.0
2021,15580,5,1.0,04/03/2021,2064963,away,774,Western Mich.,2,13,-11,26.0,18,7,1,0,2,2,0,0,0,0.9615384615384616,0.0
2021,15580,5,1.0,04/03/2021,2064964,away,774,Western Mich.,6,7,-1,28.0,19,8,1,0,0,2,3,5,0,0.9642857142857143,1.5
2021,15580,5,1.0,04/04/2021,2064965,away,774,Western Mich.,0,3,-3,37.0,24,13,0,0,1,0,2,0,0,1.0,inf
2021,15580,5,1.0,04/07/2021,2020399,home,30141,Walsh,3,9,-6,42.0,27,14,1,0,0,0,0,0,0,0.9761904761904762,
2021,15580,5,1.0,04/09/2021,2041245,home,47,Ball St.,3,7,-4,42.0,27,15,0,0,0,0,0,0,0,1.0,
2021,15580,5,1.0,04/10/2021,2041247,home,47,Ball St.,2,4,-2,42.0,27,11,4,0,0,0,4,3,0,0.9047619047619048,inf
2021,15580,5,1.0,04/10/2021,2041250,home,47,Ball St.,0,10,-10,33.0,21,11,1,0,0,0,0,0,0,0.9696969696969697,
2021,15580,5,1.0,04/11/2021,2041249,home,47,Ball St.,2,13,-11,37.0,24,12,1,0,0,0,0,3,0,0.972972972972973,
2021,15580,5,1.0,04/14/2021,2051392,home,30137,Malone,5,11,-6,38.0,27,9,2,0,0,0,0,0,0,0.9473684210526315,
2021,15580,5,1.0,04/16/2021,2046056,away,709,Toledo,1,6,-5,33.0,24,5,4,0,0,6,0,0,0,0.8787878787878788,0.0
2021,15580,5,1.0,04/17/2021,2046059,away,709,Toledo,0,7,-7,24.0,18,4,2,0,0,0,2,0,0,0.9166666666666666,inf
2021,15580,5,1.0,04/17/2021,2046062,away,709,Toledo,4,12,-8,21.0,18,3,0,0,0,4,0,0,0,1.0,0.0
2021,15580,5,1.0,04/18/2021,2046064,away,709,Toledo,2,12,-10,26.0,22,4,0,0,0,8,0,0,0,1.0,0.0
2021,15580,5,1.0,04/23/2021,2039842,home,129,Central Mich.,1,13,-12,32.0,24,8,0,0,1,8,0,2,0,1.0,0.0
2021,15580,5,1.0,04/24/2021,2039844,home,129,Central Mich.,0,12,-12,29.0,21,7,1,0,2,4,1,0,0,0.9655172413793104,0.25
2021,15580,5,1.0,04/24/2021,2039849,home,129,Central Mich.,2,3,-1,30.0,21,8,1,0,0,2,0,3,0,0.9666666666666667,0.0
2021,15580,5,1.0,04/25/2021,2039851,home,129,Central Mich.,2,15,-13,34.0,21,10,3,0,0,0,0,0,0,0.9117647058823529,
2021,15580,5,1.0,04/30/2021,2026879,away,503,NIU,6,7,-1,42.0,26,15,1,0,0,2,3,7,0,0.9761904761904762,1.5
2021,15580,5,1.0,05/01/2021,2026882,away,503,NIU,2,11,-9,28.0,18,9,1,0,0,4,1,0,0,0.9642857142857143,0.25
2021,15580,5,1.0,05/01/2021,2026884,away,503,NIU,1,3,-2,32.0,18,13,1,0,0,0,0,0,0,0.96875,
2021,15580,5,1.0,05/02/2021,2026886,away,503,NIU,7,4,3,37.0,27,10,0,0,2,0,0,0,0,1.0,
2021,15580,5,1.0,05/07/2021,2023091,away,331,Kent St.,3,13,-10,32.0,20,9,3,0,0,4,3,0,0,0.90625,0.75
2021,15580,5,1.0,05/08/2021,2022456,away,331,Kent St.,2,10,-8,28.0,18,8,2,0,1,4,0,0,0,0.9285714285714286,0.0
2021,15580,5,1.0,05/08/2021,2077737,away,331,Kent St.,2,1,1,30.0,21,8,1,0,0,0,2,0,0,0.9666666666666667,inf
2021,15580,5,1.0,05/10/2021,2023392,away,331,Kent St.,3,8,-5,33.0,24,9,0,0,0,4,0,6,0,1.0,0.0
2021,15580,5,1.0,05/14/2021,2045786,home,519,Ohio,4,2,2,35.0,27,8,0,0,0,0,0,0,0,1.0,
2021,15580,5,1.0,05/15/2021,2045788,home,519,Ohio,3,1,2,27.0,21,6,0,0,0,0,0,0,0,1.0,
2021,15580,5,1.0,05/15/2021,2045792,home,519,Ohio,0,4,-4,27.0,21,5,1,0,0,0,0,0,0,0.9629629629629629,
2021,15580,5,1.0,05/16/2021,2045795,home,519,Ohio,9,8,1,40.0,27,12,1,0,0,0,0,0,0,0.975,
2021,15580,5,1.0,05/21/2021,2023989,away,414,Miami (OH),2,3,-1,29.0,24,4,1,0,0,4,0,3,0,0.9655172413793104,0.0
2021,15580,5,1.0,05/22/2021,2024069,away,414,Miami (OH),2,6,-4,30.0,18,8,4,0,1,6,4,3,0,0.8666666666666667,0.6666666666666666
