season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,RS%,HR%,K%,BB%,K-BB%,BB/K
2014,11620,6,1440368.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1440371.0,1.0,53,5,52,15,2,0,1,6,0,1,3,18,0,0,0.0,2,1,0,2.0,0,0.0,2.2927272727272725,9,3.0,2.2222222222222223,4.6,6.822222222222222,223.0,0.4,-1.0,11.535999999999998,11.7,12.34,2.6842105263157894,0.1111111111111111,2.0,0.3333333333333333,1.6666666666666667,0.16666666666666666
2014,11620,6,1530723.0,1.0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0,0.0,0.13,2,0.0,0.5,0.0,0.5,-88.0,0.0,0.0,-0.09,-0.098,-0.096,2.0,0.0,0.0,0.5,-0.5,
2014,11620,6,1530724.0,1.0,1,1,4,1,0,0,0,1,1,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.52,1,1.0,1.0,1.0,2.0,-18.0,0.0,,0.6719999999999999,0.6799999999999999,0.6799999999999999,4.0,0.0,1.0,0.0,1.0,0.0
2014,11620,6,1530725.0,1.0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0.0,0,0.0,0.52,1,,2.0,,,,,,0.59,0.598,0.596,0.5,0.0,0.0,1.0,-1.0,
2014,11620,6,1530726.0,1.0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,-1.0,0.582,0.598,0.596,3.0,,,,,0.0
2014,11620,6,1530727.0,1.0,1,0,4,1,1,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,1.31,1.318,1.316,4.0,,,,,
2014,11620,6,1530728.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530730.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530731.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530732.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530738.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530739.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,-18.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,
2014,11620,6,1530740.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530741.0,1.0,1,2,2,2,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,2,1.0,1.0,1.0,2.0,-18.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
2014,11620,6,1530742.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530743.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,-18.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,
2014,11620,6,1530744.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530745.0,1.0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,-18.0,0.0,1.0,0.5,0.5,0.5,3.0,0.0,0.0,0.0,0.0,
2014,11620,6,1530746.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1530747.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548771.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548772.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548773.0,1.0,53,21,119,28,6,0,0,11,4,1,10,22,0,0,0.0,2,6,3,3.0,0,0.0,3.058095238095238,40,1.3333333333333333,1.0,1.9047619047619047,2.9047619047619047,36.0,0.286,14.0,21.203999999999997,20.066,20.712,2.975,0.0,0.55,0.25,0.30000000000000004,0.45454545454545453
2014,11620,6,1548774.0,1.0,53,21,124,29,3,3,1,17,1,3,13,22,0,0,0.0,5,4,1,2.0,0,0.0,4.750909090909091,39,1.380952380952381,1.205128205128205,2.2857142857142856,3.490842490842491,63.0,0.571,-28.0,23.214000000000002,22.874,24.828000000000003,2.6739130434782608,0.02564102564102564,0.5641025641025641,0.3333333333333333,0.23076923076923078,0.5909090909090909
2014,11620,6,1548775.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548776.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548780.0,1.0,53,1,4,0,0,0,0,0,0,1,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,-100.0,0.0,-0.0,-0.42600000000000005,-0.41800000000000004,0.224,,0.0,2.0,0.0,2.0,0.0
2014,11620,6,1548781.0,1.0,53,18,146,41,5,3,0,14,4,6,7,34,0,0,0.0,2,9,1,4.0,0,0.0,2.9794594594594592,35,2.2777777777777777,1.4285714285714286,3.3333333333333335,4.761904761904762,130.0,0.778,-2.7333333333333334,29.228,28.934,32.748,2.92,0.0,0.9714285714285714,0.2,0.7714285714285714,0.20588235294117646
2014,11620,6,1548782.0,1.0,53,0,37,4,0,0,0,1,0,0,5,15,0,0,0.0,1,0,0,0.0,0,0.0,2.6,5,,2.0,,,,,-0.26666666666666666,2.58,2.722,2.7239999999999998,3.7,0.0,3.0,1.0,2.0,0.3333333333333333
2014,11620,6,1548783.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548784.0,1.0,53,9,70,13,1,0,0,10,1,0,4,10,0,0,0.0,4,1,1,4.0,0,0.0,2.3810526315789473,15,1.4444444444444444,1.4,1.6666666666666667,3.0666666666666664,31.0,0.111,,9.449999999999998,9.111999999999998,9.144,3.3333333333333335,0.0,0.6666666666666666,0.26666666666666666,0.39999999999999997,0.4
2014,11620,6,1548785.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548786.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1548788.0,1.0,53,28,171,68,12,2,5,42,6,4,34,29,1,0,0.0,10,1,5,6.0,0,0.0,15.56,68,2.4285714285714284,1.6470588235294117,4.214285714285714,5.8613445378151265,187.0,0.643,-63.0,60.968,58.94,61.519999999999996,1.5514018691588785,0.07352941176470588,0.4264705882352941,0.5,-0.0735294117647059,1.1724137931034482
2014,11620,6,1548789.0,1.0,53,6,57,9,0,0,2,6,2,1,12,11,0,0,0.0,5,6,1,3.0,0,0.0,3.8393333333333337,25,1.5,1.04,2.8333333333333335,3.8733333333333335,91.0,0.0,-1.1666666666666667,9.911999999999999,9.363999999999999,10.048,2.2916666666666665,0.08,0.44,0.48,-0.03999999999999998,1.0909090909090908
2014,11620,6,1548791.0,1.0,53,12,59,14,1,2,0,2,7,2,7,22,0,0,0.0,0,1,0,0.0,0,0.0,1.9369999999999998,20,1.1666666666666667,1.05,1.8333333333333333,2.8833333333333333,33.0,0.583,-1.4,10.463999999999999,10.616,11.892000000000001,2.8095238095238093,0.0,1.1,0.35,0.7500000000000001,0.3181818181818182
2014,11620,6,1548792.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1559817.0,1.0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,-0.0,-0.008000000000000007,0.0,0.0,,,,,,0.0
2014,11620,6,1773871.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1216735.0,1.0,57,0,3,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0.0,0,0.0,0.52,2,,1.0,,,,,-0.0,-0.016000000000000014,0.0,0.0,1.5,0.0,1.0,1.0,0.0,1.0
2014,11620,7,1316331.0,1.0,57,66,211,71,14,4,4,27,17,8,37,43,0,0,0.0,10,2,3,6.0,0,0.0,11.488474576271187,108,1.0757575757575757,1.0925925925925926,1.9242424242424243,3.016835016835017,39.0,0.394,3.0454545454545454,60.69599999999999,59.78999999999999,65.0,1.8157894736842106,0.037037037037037035,0.39814814814814814,0.3425925925925926,0.055555555555555525,0.8604651162790697
2014,11620,7,1316333.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1316334.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1316335.0,1.0,57,19,94,22,4,1,0,11,5,3,6,18,0,0,0.0,2,2,0,1.0,0,0.0,2.0620689655172417,27,1.1578947368421053,1.1111111111111112,1.736842105263158,2.847953216374269,28.0,0.368,22.0,15.745999999999997,15.813999999999997,17.747999999999998,3.1333333333333333,0.0,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.3333333333333333
2014,11620,7,1316336.0,1.0,57,41,173,58,9,1,1,20,5,2,29,16,0,0,0.0,14,9,1,2.0,0,0.0,11.857659574468084,80,1.4146341463414633,1.2625,2.024390243902439,3.2868902439024392,49.0,0.293,2.28,45.11199999999999,44.505999999999986,45.89199999999999,1.72,0.0125,0.2,0.3625,-0.16249999999999998,1.8125
2014,11620,7,1316337.0,1.0,57,48,174,47,8,2,4,33,7,1,27,24,1,0,0.0,15,5,3,6.0,0,0.0,9.651836734693877,83,0.9791666666666666,1.072289156626506,1.7708333333333333,2.843122489959839,29.0,0.292,1.8695652173913044,44.757999999999996,42.891999999999996,43.684,2.0,0.04819277108433735,0.2891566265060241,0.3253012048192771,-0.03614457831325302,1.125
2014,11620,7,1316339.0,1.0,57,51,202,70,12,2,6,60,7,3,30,22,1,0,0.0,11,1,5,6.0,0,0.0,11.530204081632654,87,1.3725490196078431,1.2758620689655173,2.4313725490196076,3.707234617985125,73.0,0.353,2.2857142857142856,62.413999999999994,60.152,62.144,1.8666666666666667,0.06896551724137931,0.25287356321839083,0.3448275862068966,-0.09195402298850575,1.3636363636363635
2014,11620,7,1316340.0,1.0,57,44,222,73,16,8,4,58,7,5,15,34,2,0,0.0,13,6,5,2.0,0,0.0,7.931566265060241,70,1.6590909090909092,1.4428571428571428,3.2954545454545454,4.738311688311688,128.0,0.909,6.2727272727272725,71.788,68.89200000000001,72.164,2.247422680412371,0.05714285714285714,0.4857142857142857,0.21428571428571427,0.27142857142857146,0.4411764705882353
2014,11620,7,1316341.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1316343.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1316349.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1316350.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1430238.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1430239.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1430240.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1430241.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1430242.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,7,1430243.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
