season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,16580,5,2828033.0,1.0,25.0,82,16,19,4,0,2,8,3,1,11,30,0,29,0.0,9,2,0,0.0,0,0.0,12.521153846153847,95,0.232,0.28,0.411,0.427,0.838,70.0,0.049,0.34,22.57,21.846,22.992,2.4,0.378,0.021,0.316,0.116,0.2,0.367
2024,16580,5,2829415.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,,-0.098,-0.098,-0.096,,,0.0,1.0,0.0,1.0,0.0
2024,16580,5,2945951.0,1.0,13.0,31,3,4,1,1,1,8,0,0,2,10,0,10,0.0,0,0,1,0.0,0,0.0,1.871764705882353,34,0.129,0.258,0.176,0.419,0.595,42.0,0.129,0.143,6.46,5.854,6.008,0.0,0.4,0.029,0.294,0.059,0.235,0.2
2024,16580,5,2945953.0,1.0,3.0,5,0,0,0,0,0,0,0,0,1,3,0,0,0.0,0,0,0,0.0,0,0.0,0.043333333333333335,6,0.0,0.2,0.167,0.0,0.167,-82.0,0.0,0.0,-0.474,-0.49,-0.48,,0.0,0.0,0.5,0.167,0.333,0.333
2024,16580,5,2945955.0,1.0,14.0,40,2,4,2,0,0,5,1,0,5,13,0,6,0.0,3,1,0,0.0,1,0.0,2.0000000000000004,46,0.1,0.2,0.261,0.2,0.461,-13.0,0.05,0.148,3.376,3.062,3.224,0.0,0.167,0.0,0.283,0.109,0.174,0.385
2024,16580,5,2945972.0,1.0,23.0,71,8,12,4,0,2,11,0,0,7,22,0,22,1.0,5,0,1,0.0,0,1.0,6.884285714285714,79,0.169,0.239,0.304,0.394,0.698,49.0,0.056,0.208,15.454,14.888,15.276,0.0,0.273,0.025,0.278,0.089,0.189,0.318
2024,16580,5,2946006.0,1.0,15.0,34,5,4,1,0,0,1,1,0,5,9,0,5,0.0,2,0,0,0.0,0,0.0,1.842439024390244,39,0.118,0.206,0.282,0.176,0.458,-18.0,0.029,0.16,2.508,2.27,2.4,0.0,0.455,0.0,0.231,0.128,0.103,0.556
2024,16580,5,2946009.0,1.0,25.0,82,13,22,4,0,1,11,6,1,15,25,0,29,1.0,9,2,0,0.0,2,1.0,14.395555555555559,99,0.268,0.329,0.465,0.415,0.88,72.0,0.049,0.375,23.11,22.74,23.88,1.7,0.267,0.01,0.253,0.152,0.101,0.6
2024,16580,5,2946015.0,1.0,17.0,48,7,15,3,0,0,5,1,0,2,17,0,18,0.0,6,1,1,0.0,0,0.0,7.9896551724137925,52,0.312,0.125,0.442,0.438,0.88,77.0,0.062,0.469,15.304,14.526,14.832,0.0,0.304,0.0,0.327,0.038,0.289,0.118
2024,16580,6,2129447.0,1.0,18.0,40,5,9,1,0,1,7,1,0,8,19,0,13,0.0,5,0,0,0.0,0,0.0,6.809056603773584,48,0.225,0.325,0.458,0.375,0.833,60.0,0.025,0.4,10.018,9.742,9.984,1.0,0.19,0.021,0.396,0.167,0.229,0.421
2024,16580,6,2494073.0,1.0,15.0,40,8,8,2,0,0,1,4,0,6,13,0,10,0.0,4,1,0,0.0,0,0.0,4.498039215686274,47,0.2,0.3,0.383,0.3,0.683,30.0,0.05,0.296,7.976,7.644,7.848,0.0,0.444,0.0,0.277,0.128,0.149,0.462
2024,16580,6,2681004.0,1.0,24.0,82,11,18,8,0,0,11,1,1,12,27,0,26,1.0,5,0,0,0.0,0,1.0,10.145252525252525,94,0.22,0.244,0.372,0.415,0.787,62.0,0.098,0.327,18.814,18.578,19.656,0.0,0.314,0.0,0.287,0.128,0.159,0.444
2024,16580,6,2681610.0,1.0,17.0,44,3,3,1,0,0,2,0,1,8,15,0,4,1.0,4,1,0,0.0,0,1.0,1.6329824561403508,53,0.068,0.182,0.283,0.114,0.397,-36.0,0.023,0.103,0.48,0.522,1.324,,0.2,0.0,0.283,0.151,0.132,0.533
2024,16580,6,2691912.0,1.0,4.0,10,1,2,0,1,0,0,0,0,0,3,0,4,1.0,0,1,0,0.0,0,1.0,0.4109090909090909,11,0.2,0.2,0.182,0.5,0.682,67.0,0.3,0.286,2.326,2.576,2.632,,0.5,0.0,0.273,0.0,0.273,0.0
2024,16580,6,2691913.0,1.0,22.0,69,9,16,2,1,0,5,6,1,8,10,0,20,1.0,6,0,0,0.0,0,1.0,8.012530120481928,77,0.232,0.246,0.39,0.333,0.723,40.0,0.072,0.271,14.86,14.626,15.632,0.0,0.3,0.0,0.13,0.104,0.026,0.8
2024,16580,6,2829469.0,1.0,16.0,36,3,8,1,0,0,4,2,1,2,11,0,9,0.0,2,0,0,0.0,0,0.0,2.787,38,0.222,0.111,0.316,0.278,0.594,16.0,0.028,0.32,5.892,5.646,6.452,0.0,0.25,0.0,0.289,0.053,0.236,0.182
