,jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
422,14,1545059,Davis Tominaga,P,Sr,0,0,2017,12560,Portland,551
423,32,1545063,Kevin Wade,INF,Sr,47,43,2017,12560,Portland,551
424,40,1874073,Cal Webb,INF,Fr,21,10,2017,12560,Portland,551
764,27,1759011,Connor Anderson,INF,Sr,26,22,2017,12560,Southwestern Okla.,8744
765,26,1759010,Joel Baxley,C,Sr,26,25,2017,12560,Southwestern Okla.,8744
766,22,1759009,Vincent Berrones,P,Sr,11,0,2017,12560,Southwestern Okla.,8744
767,18,1884676,D. Cable,P,Fr,1,0,2017,12560,Southwestern Okla.,8744
768,13,1759005,Gunnar Cook,P,Sr,14,9,2017,12560,Southwestern Okla.,8744
769,34,1759012,Quinton Dougherty,P,Sr,18,0,2017,12560,Southwestern Okla.,8744
770,5,1759003,Justin Freeman,C,Sr,23,20,2017,12560,Southwestern Okla.,8744
771,3,1881184,Garret Gaunt,DH,So,18,8,2017,12560,Southwestern Okla.,8744
772,20,1759008,Blake Gooden,P,Sr,10,0,2017,12560,Southwestern Okla.,8744
773,30,1537435,Chris Graham,INF,Jr,0,0,2017,12560,Southwestern Okla.,8744
774,8,1881191,Danny-David Linahan,RF,So,29,23,2017,12560,Southwestern Okla.,8744
775,14,1759002,Peyton Maddox,INF,So,6,4,2017,12560,Southwestern Okla.,8744
776,15,1881185,Richard Marches,RF,Fr,33,29,2017,12560,Southwestern Okla.,8744
777,19,1884675,S. Martin,P,Jr,12,4,2017,12560,Southwestern Okla.,8744
778,17,1759007,Lane Moore,P,Sr,1,0,2017,12560,Southwestern Okla.,8744
779,25,1881193,Justin Moreno,P,Jr,12,0,2017,12560,Southwestern Okla.,8744
780,6,1881181,Jason Nichols,1B,Jr,40,39,2017,12560,Southwestern Okla.,8744
781,3,1759001,Patrick O'Toole,OF,Sr,32,21,2017,12560,Southwestern Okla.,8744
782,29,1881180,Rafael Otero,LF,Jr,45,45,2017,12560,Southwestern Okla.,8744
783,4,1881972,Stephen Pagendarm,P,Jr,7,0,2017,12560,Southwestern Okla.,8744
784,16,1881186,Brendan Peitsmeyer,P,Jr,13,10,2017,12560,Southwestern Okla.,8744
785,11,1881178,Daniel Richardson,3B,Jr,44,43,2017,12560,Southwestern Okla.,8744
786,28,1759014,Devin Ring,P,Sr,12,12,2017,12560,Southwestern Okla.,8744
787,2,1881177,Ruben Rodriguez,2B,Jr,38,38,2017,12560,Southwestern Okla.,8744
788,15,1783313,Jacob Salmon,DH,Fr,0,0,2017,12560,Southwestern Okla.,8744
789,9,1881192,Rogelio Sanchez,PH,Jr,31,27,2017,12560,Southwestern Okla.,8744
790,12,1759004,Joshua Santos,INF,Sr,45,45,2017,12560,Southwestern Okla.,8744
791,26,1884367,Justin Schander,P,Jr,3,1,2017,12560,Southwestern Okla.,8744
792,29,1759013,Jeremy Smith,P,Sr,17,9,2017,12560,Southwestern Okla.,8744
793,16,1537457,Cole Wagner,INF,Sr,0,0,2017,12560,Southwestern Okla.,8744
794,23,1884366,Ted Wisdom,1B,Jr,20,16,2017,12560,Southwestern Okla.,8744
1100,43,1885724,Bryce Aldridge,C,Jr,38,38,2017,12560,Wabash,747
1101,45,1885725,Nathan Biggs,P,Fr,2,0,2017,12560,Wabash,747
1102,1,1885726,Charlie Brewer,C,Fr,1,0,2017,12560,Wabash,747
1103,4,1656277,Taylor Canter,OF,Jr,20,20,2017,12560,Wabash,747
1104,5,1762028,Nick Chao,OF,So,23,15,2017,12560,Wabash,747
1105,6,1762029,Eric Chavez,INF,So,38,38,2017,12560,Wabash,747
1106,39,1762041,Chase Clarkson,INF,So,9,0,2017,12560,Wabash,747
1107,29,1656284,Cody Cochran,P,Jr,12,4,2017,12560,Wabash,747
1108,36,1656306,Tyler Cooper,P,Jr,0,0,2017,12560,Wabash,747
1109,40,1762042,Luke Dant,P,So,17,2,2017,12560,Wabash,747
1110,24,1656282,Alex Dickey,P,Jr,0,0,2017,12560,Wabash,747
1111,35,1762038,Sawyer Donovan,P,So,0,0,2017,12560,Wabash,747
1112,11,1762049,Tyler Downing,OF,Jr,34,32,2017,12560,Wabash,747
1113,26,1549083,Cameron Glaze,P,Sr,8,0,2017,12560,Wabash,747
1114,30,1656285,Jordan Hansen,INF,Jr,8,1,2017,12560,Wabash,747
1115,9,1656280,Cole Harlacher,INF,Jr,25,21,2017,12560,Wabash,747
1116,18,1549098,Michael Herrmann,P,Sr,11,10,2017,12560,Wabash,747
1117,42,1762044,Joe House,C,So,6,2,2017,12560,Wabash,747
1118,27,1885727,Chandler Jacks,P,Fr,2,0,2017,12560,Wabash,747
1119,16,1549080,Jensen Kirch,P,Sr,11,11,2017,12560,Wabash,747
1120,8,1762030,Erich Lange,C,So,34,22,2017,12560,Wabash,747
1121,21,1656281,Zach Leander,INF,Jr,19,13,2017,12560,Wabash,747
1122,44,1885728,Zach Moffett,P,Fr,9,0,2017,12560,Wabash,747
1123,15,1885729,Eric Murphy,P,Fr,3,1,2017,12560,Wabash,747
1124,19,1885730,Parker Noll,P,Fr,1,0,2017,12560,Wabash,747
1125,22,1762034,Kevin O'Donnell,P,So,11,0,2017,12560,Wabash,747
1126,25,1656283,Bryan Roberts,P,Jr,11,9,2017,12560,Wabash,747
1127,12,1762036,Sean Roginski,OF,So,35,35,2017,12560,Wabash,747
1128,3,1549082,Andrew Roginski,C,Sr,37,37,2017,12560,Wabash,747
1129,32,1885731,Bennett Sayre,INF,Fr,1,0,2017,12560,Wabash,747
1130,28,1549088,Matt Spaulding,OF,So,10,0,2017,12560,Wabash,747
1131,54,1762047,Ryan Thomas,P,So,11,1,2017,12560,Wabash,747
1132,2,1885732,Henry Wannemuehler,INF,Fr,31,30,2017,12560,Wabash,747
1133,55,1762048,Jared Wolfe,OF,So,38,38,2017,12560,Wabash,747
1502,32,1529985,Drew Alvarez,P,Sr,4,0,2017,12560,Washington Col.,753
1503,29,1752305,Aaron Barclay,3B,So,36,36,2017,12560,Washington Col.,753
1504,11,1640910,Mike Bartels,P,Jr,12,0,2017,12560,Washington Col.,753
1505,18,1865295,Brandon Bartlett,P,Fr,9,0,2017,12560,Washington Col.,753
1506,1,1640911,Chris Bauers,OF,Jr,7,0,2017,12560,Washington Col.,753
1507,10,1752296,Billy Benson,3B,So,8,6,2017,12560,Washington Col.,753
1508,35,1752308,Tc Conrad,OF,So,25,13,2017,12560,Washington Col.,753
1509,9,1752294,Luke D'Ostilio,INF,So,38,37,2017,12560,Washington Col.,753
1510,23,1640913,Ryan Donnelly,OF,Jr,19,12,2017,12560,Washington Col.,753
1511,16,1529986,Logan Dubbe,P,Sr,20,10,2017,12560,Washington Col.,753
1512,33,1752306,Jay Felts,OF,So,16,8,2017,12560,Washington Col.,753
1513,13,1865311,Matt Furlong,P,Fr,11,0,2017,12560,Washington Col.,753
1514,17,1752302,Dom Giandonato,P,So,3,0,2017,12560,Washington Col.,753
1515,36,1529984,Billy Griffin,P,Sr,10,10,2017,12560,Washington Col.,753
1516,44,1865312,Max Hammond,P,Fr,19,7,2017,12560,Washington Col.,753
1517,30,1640914,Evan Hirschbaum,1B,Sr,35,31,2017,12560,Washington Col.,753
1518,26,1640915,Brian Kasey,P,Jr,2,1,2017,12560,Washington Col.,753
1519,12,1865313,Chris Kramedas,OF,Fr,28,14,2017,12560,Washington Col.,753
1520,3,1640916,Joe Lozupone,SS,Jr,36,36,2017,12560,Washington Col.,753
1521,27,1529983,Michael Mann,C,Sr,7,1,2017,12560,Washington Col.,753
1522,6,1529965,Charlie Meder,OF,Sr,38,38,2017,12560,Washington Col.,753
1523,21,1640917,P.J. Mikulus,P,Jr,9,8,2017,12560,Washington Col.,753
1524,39,1752310,Connor Morgan,P,So,4,0,2017,12560,Washington Col.,753
1525,31,1640926,Gavin O'Donnell,C,Jr,28,24,2017,12560,Washington Col.,753
1526,38,1865314,Joe Otto,OF,Fr,15,10,2017,12560,Washington Col.,753
1527,34,1752307,Austin Perry,P,So,2,0,2017,12560,Washington Col.,753
1528,20,1640927,Nick Popolizio,P,Jr,7,2,2017,12560,Washington Col.,753
1529,37,1752309,Nick Roberti,P,So,10,4,2017,12560,Washington Col.,753
1530,22,1640929,Wes Robertson,C,Jr,24,21,2017,12560,Washington Col.,753
1531,2,1640930,Matt Tancredi,INF,Jr,33,31,2017,12560,Washington Col.,753
1532,24,1640931,Sean Weiss,P,Jr,14,0,2017,12560,Washington Col.,753
1533,8,1865315,Ryan Zwier,3B,Fr,23,20,2017,12560,Washington Col.,753
1894,2,1779158,Dallas Adkins,DH,Sr,2,2,2017,12560,Berea,30171
1895,12,1875303,Andrew Akins,C,So,23,23,2017,12560,Berea,30171
1896,16,1670959,Devin Belleville,3B,Jr,9,8,2017,12560,Berea,30171
1897,23,1670954,Ryan Blevens,2B,Jr,22,22,2017,12560,Berea,30171
1898,13,1875304,Nick Bottom,OF,Fr,23,23,2017,12560,Berea,30171
1899,24,1557932,Chad Brown,P,Sr,4,3,2017,12560,Berea,30171
1900,15,1875306,Cam Dacci,DH,Fr,9,8,2017,12560,Berea,30171
1901,19,1875307,Aaron Duncan,P,Fr,3,0,2017,12560,Berea,30171
1902,3,1875308,Josh Durbin,P,Fr,16,9,2017,12560,Berea,30171
1903,29,1783549,Daniel Gillum,P,So,3,0,2017,12560,Berea,30171
1904,32,1557931,Cord Glass,P,Sr,0,0,2017,12560,Berea,30171
1905,34,1783104,Caleb Gupton,1B,Jr,19,18,2017,12560,Berea,30171
1906,11,1783103,Blade Hampton,C,Jr,10,1,2017,12560,Berea,30171
1907,20,1670956,Will Hislope,1B,Jr,21,20,2017,12560,Berea,30171
1908,4,1875320,Chandler Lynn,OF,Fr,0,0,2017,12560,Berea,30171
1909,22,1779161,Griffen Norris,P,So,8,5,2017,12560,Berea,30171
1910,33,1670955,Ron Overstreet,1B,Sr,21,21,2017,12560,Berea,30171
1911,1,1557933,Tyler Pope,P,Sr,6,0,2017,12560,Berea,30171
1912,28,1875323,Jalen Prater,P,Fr,5,1,2017,12560,Berea,30171
1913,38,1779162,Zach Roberson,P,So,0,0,2017,12560,Berea,30171
1914,26,1670975,Nolan Sanders,P,Sr,2,0,2017,12560,Berea,30171
1915,14,1670963,Michael Smither,P,Sr,8,4,2017,12560,Berea,30171
1916,6,1779157,Nate Summey,OF,Jr,16,14,2017,12560,Berea,30171
1917,9,1875325,Nygiel Tharpe,P,Fr,7,0,2017,12560,Berea,30171
1918,27,1875327,Seth Wallingford,C,Fr,8,1,2017,12560,Berea,30171
1919,40,1779160,Matt Wilburn,P,So,7,4,2017,12560,Berea,30171
1920,21,1779159,Josh Wilson,OF,So,17,16,2017,12560,Berea,30171
1921,5,1875328,Zach Withers,P,Fr,6,0,2017,12560,Berea,30171
1922,10,1875329,Josh Works,SS,Sr,22,22,2017,12560,Berea,30171
2113,2.0,1669183,Gerald Abillar,OF,Jr,0,0,2017,12560,SUNY Canton,30165
2114,54.0,1893872,Bryan Aubrey,C,Fr,0,0,2017,12560,SUNY Canton,30165
2115,17.0,1558154,Jeremy Baez,OF,Sr,5,5,2017,12560,SUNY Canton,30165
2116,8.0,1781165,Josh Baptiste,C,So,1,0,2017,12560,SUNY Canton,30165
2117,32.0,1558471,Travis Bigelow,P,Sr,2,2,2017,12560,SUNY Canton,30165
2118,8.0,1669007,Vinny Bondinello,C,Jr,16,6,2017,12560,SUNY Canton,30165
2119,24.0,1780508,Tom Brusca,P,So,26,15,2017,12560,SUNY Canton,30165
2120,1.0,1782326,Joseph Campbell,C,So,16,4,2017,12560,SUNY Canton,30165
2121,21.0,1669002,Bobby Clemente,INF,Jr,13,8,2017,12560,SUNY Canton,30165
2122,19.0,1669814,Dan Coant,P,Jr,12,3,2017,12560,SUNY Canton,30165
2123,44.0,1782428,Phil Cohen,P,So,1,0,2017,12560,SUNY Canton,30165
2124,15.0,1782327,Zach Cortese,2B,So,2,0,2017,12560,SUNY Canton,30165
2125,20.0,1558153,Nicolas Demarais,1B,Jr,30,13,2017,12560,SUNY Canton,30165
2126,27.0,1669005,Seth Douglas,OF,Sr,37,37,2017,12560,SUNY Canton,30165
2127,22.0,1781166,Derrek Dupont,P,So,2,1,2017,12560,SUNY Canton,30165
2128,12.0,1557754,Matt Hall,2B,Jr,11,8,2017,12560,SUNY Canton,30165
2129,14.0,1893874,Grant Heath,C,Fr,0,0,2017,12560,SUNY Canton,30165
2130,26.0,1780504,Brett Hoberman,C,So,21,10,2017,12560,SUNY Canton,30165
2131,38.0,1893875,Dalton Homer,P,Fr,0,0,2017,12560,SUNY Canton,30165
2132,4.0,1780503,Trevor Keleher,INF,Jr,33,28,2017,12560,SUNY Canton,30165
2133,35.0,1559870,Andrew Krotje,P,Sr,1,0,2017,12560,SUNY Canton,30165
2134,40.0,1893877,Austin Lamay,P,Jr,14,4,2017,12560,SUNY Canton,30165
2135,37.0,1893878,Matt Levy,P,So,0,0,2017,12560,SUNY Canton,30165
2136,51.0,1669025,Derrick Machado,INF,Sr,0,0,2017,12560,SUNY Canton,30165
2137,7.0,1780506,Edward  Jr. Malinoski,SS,So,34,33,2017,12560,SUNY Canton,30165
2138,23.0,1893879,Alex Marshall,INF,Fr,0,0,2017,12560,SUNY Canton,30165
2139,5.0,1668998,Wilson Matos,INF,Jr,34,34,2017,12560,SUNY Canton,30165
2140,18.0,1893880,Robert Mauti,P,Fr,0,0,2017,12560,SUNY Canton,30165
2141,9.0,1893881,Ben Miller,OF,So,31,27,2017,12560,SUNY Canton,30165
2142,33.0,1669011,Christian Nazario-Cruz,OF,Sr,37,36,2017,12560,SUNY Canton,30165
2143,11.0,1893882,Zack Newman,P,Fr,7,2,2017,12560,SUNY Canton,30165
2144,55.0,1558469,Robbie Osterer,P,Sr,14,0,2017,12560,SUNY Canton,30165
2145,50.0,1781259,Francesco Palumbo,OF,Jr,21,8,2017,12560,SUNY Canton,30165
2146,39.0,1893883,Gokul Pisharody,P,Fr,0,0,2017,12560,SUNY Canton,30165
2147,36.0,1893884,Jake Rivers,OF,Fr,2,0,2017,12560,SUNY Canton,30165
2148,3.0,1669008,Travis Schindler,OF,Jr,36,35,2017,12560,SUNY Canton,30165
2149,43.0,1893885,Anthony Tur,P,Fr,14,2,2017,12560,SUNY Canton,30165
2150,58.0,1893886,Tommy Vega,INF,Fr,0,0,2017,12560,SUNY Canton,30165
2151,16.0,1893887,Jake Vierno,P,So,5,4,2017,12560,SUNY Canton,30165
2152,34.0,1893855,Brandon Welch,C,Sr,36,36,2017,12560,SUNY Canton,30165
2503,13,1752914,Keaton Allison,C,So,24,22,2017,12560,Wilkes,784
2504,34,1878074,Matt Amaral,P,Fr,12,1,2017,12560,Wilkes,784
2505,42,1752924,Ramon Bazan,P,So,6,0,2017,12560,Wilkes,784
2506,10,1878068,Eric Beideman,C,Fr,3,0,2017,12560,Wilkes,784
2507,3,1540162,James Brown,OF,Sr,31,30,2017,12560,Wilkes,784
2508,48,1752925,Nick Capozzi,INF,So,20,11,2017,12560,Wilkes,784
2509,26,1660675,Joe Champi,INF,Jr,28,28,2017,12560,Wilkes,784
2510,2,1660672,Jarret Clymer,OF,Jr,28,20,2017,12560,Wilkes,784
2511,39,1752923,Matt Dacey,INF,So,14,6,2017,12560,Wilkes,784
2512,45,1878077,Jared Dencsecs,C,Fr,7,0,2017,12560,Wilkes,784
2513,25,1752917,Noah Durnin,P,So,8,4,2017,12560,Wilkes,784
2514,27,1752935,Dan Eicher,INF,Sr,18,6,2017,12560,Wilkes,784
2515,33,1752928,Sam Eyler,OF,So,5,1,2017,12560,Wilkes,784
2516,24,1752916,Jack Fischer,INF,So,34,34,2017,12560,Wilkes,784
2517,7,1878066,Andrew Freedenberg,P,Fr,3,1,2017,12560,Wilkes,784
2518,4,1752910,Jorge Gonzalez,INF,So,25,17,2017,12560,Wilkes,784
2519,14,1878070,Alexander Halladay,INF,Fr,6,1,2017,12560,Wilkes,784
2520,28,1540166,Johnny Jan Jr.,P,Sr,11,8,2017,12560,Wilkes,784
2521,20,1540170,Matt Kaster,P,Sr,13,0,2017,12560,Wilkes,784
2522,16,1540169,Quinn Kelly,P,Sr,10,8,2017,12560,Wilkes,784
2523,17,1540167,Alex Kramer,INF,Sr,22,15,2017,12560,Wilkes,784
2524,36,1752922,Matt Maranca,P,So,9,0,2017,12560,Wilkes,784
2525,22,1878072,Adam Martinese,INF,Fr,6,1,2017,12560,Wilkes,784
2526,18,1752915,Zach Metz,P,So,7,0,2017,12560,Wilkes,784
2527,35,1540175,Chris Nixon,P,Sr,13,5,2017,12560,Wilkes,784
2528,8,1752911,Alex Palmer,OF,So,15,0,2017,12560,Wilkes,784
2529,46,1752927,Nick Poyer,P,So,7,1,2017,12560,Wilkes,784
2530,6,1540163,Matthew Reese,INF,Sr,16,4,2017,12560,Wilkes,784
2531,23,1878073,Matt Reinert,OF,Fr,18,11,2017,12560,Wilkes,784
2532,32,1660677,Jeff Roedell,C,So,10,2,2017,12560,Wilkes,784
2533,12,1878069,Jeshurun Sestito,INF,Fr,6,2,2017,12560,Wilkes,784
2534,5,1540168,Joshua Slocum,OF,Sr,32,32,2017,12560,Wilkes,784
2535,0,1540161,Tanner Smith,INF,Sr,19,17,2017,12560,Wilkes,784
2536,30,1752920,Andrew Stambaugh,P,So,11,1,2017,12560,Wilkes,784
2537,38,1878075,Jason Tisa,OF,Fr,3,0,2017,12560,Wilkes,784
2538,15,1878071,Tyler Walther,C,Fr,24,19,2017,12560,Wilkes,784
2539,1,1752909,Brady Wing,OF,So,30,30,2017,12560,Wilkes,784
2540,11,1752913,Travis Woolfenden,P,So,0,0,2017,12560,Wilkes,784
2541,9,1878067,Jeremy Yzeik,P,Fr,7,0,2017,12560,Wilkes,784
2542,19,1660676,James Zajac,P,Sr,6,2,2017,12560,Wilkes,784
2871,34.0,1531645,Jesus Cazares,INF,Sr,49,49,2017,12560,Winona St.,790
2872,18.0,1435217,Lucas Crimmins,INF,Sr,10,7,2017,12560,Winona St.,790
2873,32.0,1882062,Mitchell Eady,P,Fr,9,0,2017,12560,Winona St.,790
2874,28.0,1531649,Taylor Field,C,Jr,37,33,2017,12560,Winona St.,790
2875,31.0,1882061,Tanner Haessley,P,Fr,8,3,2017,12560,Winona St.,790
2876,9.0,1654681,Mitchell Heid,INF,Jr,43,37,2017,12560,Winona St.,790
2877,37.0,1769466,Brett Herber,P,So,8,4,2017,12560,Winona St.,790
2878,7.0,1769461,Chad Herbst,INF,Fr,32,24,2017,12560,Winona St.,790
2879,26.0,1769459,Parker Holmstrom,P,Fr,16,0,2017,12560,Winona St.,790
2880,10.0,1531648,Michael Hommes,OF,Sr,49,44,2017,12560,Winona St.,790
2881,36.0,1882064,Jacob Huebsch,P,Fr,0,0,2017,12560,Winona St.,790
2882,12.0,1769456,Daniel Karlin-Kamin,P,Sr,8,8,2017,12560,Winona St.,790
2883,33.0,1769463,Sam Kohnle,INF,Fr,36,26,2017,12560,Winona St.,790
2884,11.0,1531647,Nathan Krause,C,Sr,30,29,2017,12560,Winona St.,790
2885,5.0,1531646,Hayden Krimmer,INF,Sr,10,9,2017,12560,Winona St.,790
2886,3.0,1531643,Joe Kubera,P,Jr,50,50,2017,12560,Winona St.,790
2887,21.0,1882058,Treyton Larson,SS,Fr,43,39,2017,12560,Winona St.,790
2888,38.0,1882065,Nathan Loomis,OF,Fr,0,0,2017,12560,Winona St.,790
2889,25.0,1882056,Will Lundquist,P,Sr,8,1,2017,12560,Winona St.,790
2890,2.0,1882057,Derek Martin,SS,Fr,46,42,2017,12560,Winona St.,790
2891,1.0,1769462,Derek Masberg,P,Sr,12,0,2017,12560,Winona St.,790
2892,23.0,1769458,Garrett Mennenga,P,So,0,0,2017,12560,Winona St.,790
2893,15.0,1654682,Paul Mutch,INF,Jr,19,4,2017,12560,Winona St.,790
2894,27.0,1882059,Aaron Mutter,P,Fr,12,6,2017,12560,Winona St.,790
2895,17.0,1769464,Nick Nalewanski,C,Fr,17,8,2017,12560,Winona St.,790
2896,22.0,1654683,Josh Nielsen,P,Jr,8,0,2017,12560,Winona St.,790
2897,6.0,1769455,Andrew Pliner,OF,Fr,32,20,2017,12560,Winona St.,790
2898,35.0,1882063,Nathan Santos,P,Fr,0,0,2017,12560,Winona St.,790
2899,29.0,1882060,Caleb Schoenholz,P,Fr,10,2,2017,12560,Winona St.,790
2900,14.0,1654684,Mitchell Stalsberg,P,Jr,10,10,2017,12560,Winona St.,790
2901,20.0,1769457,Jacob Watzka,P,So,8,0,2017,12560,Winona St.,790
2902,13.0,1654697,Kipp Youngquist,SS,Jr,46,45,2017,12560,Winona St.,790
3221,11,1874406,Khari Anderson,INF,Jr,10,7,2017,12560,Montevallo,1238
3222,3,1874404,Ryan Brooks,INF,Fr,47,41,2017,12560,Montevallo,1238
3223,32,1874415,Mark Castellucci,C,Jr,25,11,2017,12560,Montevallo,1238
3224,2,1874403,Jason Cryar,INF,Jr,0,0,2017,12560,Montevallo,1238
3225,18,1874408,Jake Davis,P,Fr,14,5,2017,12560,Montevallo,1238
3226,39,1749783,Dominic Deville,INF,Sr,42,41,2017,12560,Montevallo,1238
3227,1,1874402,Blake Devine,OF,Jr,0,0,2017,12560,Montevallo,1238
3228,6,1649328,Collin Dupree,C,Jr,48,48,2017,12560,Montevallo,1238
3229,47,1649334,Jesse Ellefson,P,So,12,3,2017,12560,Montevallo,1238
3230,9,1749784,Matthew Furuto,OF,Sr,44,43,2017,12560,Montevallo,1238
3231,28,1749785,Tyler Guesnard,INF,So,15,8,2017,12560,Montevallo,1238
3232,23,1874410,Seth Johnson,P,Fr,7,2,2017,12560,Montevallo,1238
3233,33,1542182,Tanner Koch,P,Sr,18,2,2017,12560,Montevallo,1238
3234,20,1749787,Tyler Krabbe,C,So,29,26,2017,12560,Montevallo,1238
3235,19,1649331,Kale Latorre,P,Jr,10,8,2017,12560,Montevallo,1238
3236,24,1874411,Caleb Ledbetter,INF,Jr,48,46,2017,12560,Montevallo,1238
3237,35,1749790,Nathan Mitchell,P,So,9,0,2017,12560,Montevallo,1238
3238,10,1874405,Jake Morris,OF,Fr,23,0,2017,12560,Montevallo,1238
3239,17,1649330,Drew Mullinax,P,Jr,21,5,2017,12560,Montevallo,1238
3240,15,1649329,Colton Nussell,P,Jr,17,0,2017,12560,Montevallo,1238
3241,4,1749791,Daniel Pardo,OF,Sr,48,48,2017,12560,Montevallo,1238
3242,34,1749792,Chris Piteo,P,Sr,0,0,2017,12560,Montevallo,1238
3243,42,1534633,Alex Pondick,P,Jr,0,0,2017,12560,Montevallo,1238
3244,25,1874412,Anthony Porter,P,Fr,19,5,2017,12560,Montevallo,1238
3245,22,1874409,Jake Posey,P,Fr,16,1,2017,12560,Montevallo,1238
3246,13,1874407,Jd Roberts,OF,Fr,23,2,2017,12560,Montevallo,1238
