jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
24,2135019,Chandler Drew,P,Fr,2,1,2019,14781,New England Col.,467
19,1777797,Bobby Fulkerson,3B,Sr,32,27,2019,14781,New England Col.,467
32,2135018,Tyler Galenski,C,Fr,12,1,2019,14781,New England Col.,467
17,2135061,Tyler Gendron,UT,Fr,8,1,2019,14781,New England Col.,467
10,2135057,Johandy Gonzalez,P,Fr,0,0,2019,14781,New England Col.,467
4,2001038,Clifford Guerrero,C,Jr,12,5,2019,14781,New England Col.,467
7,2135056,Jose Guillermo,INF,Fr,19,5,2019,14781,New England Col.,467
42,1777322,Brendan Halloran,P,Sr,6,1,2019,14781,New England Col.,467
23,1777317,Colby Howe,P,Sr,9,0,2019,14781,New England Col.,467
2,2135054,Anderson Jimenez,INF,Fr,41,41,2019,14781,New England Col.,467
37,1881008,Joseph Maestu,C,So,31,25,2019,14781,New England Col.,467
16,2135060,Shane Mcnamara,INF,Fr,21,3,2019,14781,New England Col.,467
35,2001185,Connor Morin,1B,So,41,34,2019,14781,New England Col.,467
34,2001167,Xavier Nunez,UT,Sr,46,46,2019,14781,New England Col.,467
6,2135055,Rob Pagliuca,INF,Fr,10,0,2019,14781,New England Col.,467
15,1892937,Joseph Pascucci,P,Jr,8,7,2019,14781,New England Col.,467
33,2003371,Nick Powers,P,Jr,28,22,2019,14781,New England Col.,467
29,2001166,John Prentice,C,So,0,0,2019,14781,New England Col.,467
25,2001187,Cameron Sullivan,P,Jr,4,0,2019,14781,New England Col.,467
13,2135058,Ryan Tessier,OF,Fr,14,0,2019,14781,New England Col.,467
8,1892926,Stanley Vargas,P,Jr,13,11,2019,14781,New England Col.,467
27,2135017,Lou Vidal,P,Fr,3,0,2019,14781,New England Col.,467
14,2001144,Matt White,P,So,6,0,2019,14781,New England Col.,467
5,1892925,Luis Atiles,INF,Sr,10,10,2020,15204,New England Col.,467
34,2346381,Sylvain Audet,UT,Jr,3,0,2020,15204,New England Col.,467
22,2346375,Ryan Bourque,P,Fr,1,0,2020,15204,New England Col.,467
29,2360755,Wyatt Cameron,p,N/A,3,1,2020,15204,New England Col.,467
3,1892924,Jameson Carey,INF,Sr,8,6,2020,15204,New England Col.,467
28,2135064,Dylan Champagne,P,So,2,2,2020,15204,New England Col.,467
26,2346376,Michael Ciccotelli,OF,Fr,10,10,2020,15204,New England Col.,467
45,2001190,Shaun Cormier,P,Jr,2,1,2020,15204,New England Col.,467
18,1892930,Selah Dalomba,P,Sr,2,0,2020,15204,New England Col.,467
24,2135019,Chandler Drew,P,So,0,0,2020,15204,New England Col.,467
21,2346351,Stephen Fama,OF,So,0,0,2020,15204,New England Col.,467
17,2135061,Tyler Gendron,UT,So,4,4,2020,15204,New England Col.,467
10,2346349,Luca Giallongo,OF,Fr,5,4,2020,15204,New England Col.,467
9,2135057,Johandy Gonzalez,P,So,2,1,2020,15204,New England Col.,467
1,2127548,Mike Griffin,INF,Jr,9,9,2020,15204,New England Col.,467
4,2001038,Clifford Guerrero,C,Sr,5,4,2020,15204,New England Col.,467
7,2135056,Jose Guillermo,INF,So,10,7,2020,15204,New England Col.,467
16,2347202,Brendan Hickey,OF,Fr,3,0,2020,15204,New England Col.,467
36,2346383,Tim Krol,P,Fr,1,0,2020,15204,New England Col.,467
39,2346357,Wesley Lamphere,P,Fr,1,0,2020,15204,New England Col.,467
30,1881008,Joseph Maestu,C,Jr,6,5,2020,15204,New England Col.,467
23,2135060,Shane Mcnamara,INF,So,9,6,2020,15204,New England Col.,467
11,2346370,Bj Minarcin,OF,Jr,6,6,2020,15204,New England Col.,467
35,2001185,Connor Morin,1B,Jr,10,10,2020,15204,New England Col.,467
6,2135055,Rob Pagliuca,INF,So,1,0,2020,15204,New England Col.,467
2,2346368,Devin Parson,INF,Fr,4,1,2020,15204,New England Col.,467
15,1892937,Joseph Pascucci,P,Sr,2,1,2020,15204,New England Col.,467
8,2346369,Alex Perez,UT,Fr,2,0,2020,15204,New England Col.,467
20,2346373,Connor Richardson,OF,Fr,4,2,2020,15204,New England Col.,467
31,2346377,Ryan Sharkey,P,Jr,2,1,2020,15204,New England Col.,467
25,2001187,Cameron Sullivan,P,Sr,2,0,2020,15204,New England Col.,467
19,2346372,Harutaro Takahashi,C,Fr,8,7,2020,15204,New England Col.,467
13,2135058,Ryan Tessier,OF,So,3,1,2020,15204,New England Col.,467
38,2346386,Alex Troncoso,P,Fr,6,0,2020,15204,New England Col.,467
27,2135017,Lou Vidal,P,So,2,0,2020,15204,New England Col.,467
33,1991272,Jamel Vilmont,OF,Sr,0,0,2020,15204,New England Col.,467
14,2001144,Matt White,P,Jr,1,0,2020,15204,New England Col.,467
12,2499594,Devin Bedell,INF,Fr,11,5,2021,15580,New England Col.,467
21,2346375,Ryan Bourque,P,So,0,0,2021,15580,New England Col.,467
29,2360755,Wyatt Cameron,P,So,10,5,2021,15580,New England Col.,467
32,2499604,Johnny Cannavo,1B,Fr,12,1,2021,15580,New England Col.,467
24,2346376,Michael Ciccotelli,OF,So,29,28,2021,15580,New England Col.,467
45,2001190,Shaun Cormier,P,Sr,9,7,2021,15580,New England Col.,467
37,2499607,Aj Dessaro,C,Fr,6,0,2021,15580,New England Col.,467
7,2135019,Chandler Drew,P,Jr,1,0,2021,15580,New England Col.,467
26,2522418,Stephen Dunham,p,N/A,7,0,2021,15580,New England Col.,467
23,2346351,Stephen Fama,OF,Jr,8,0,2021,15580,New England Col.,467
9,2501360,Logan Gadbois,INF,Fr,26,20,2021,15580,New England Col.,467
3,2135061,Tyler Gendron,UT,Jr,31,30,2021,15580,New England Col.,467
10,2346349,Luca Giallongo,OF,So,28,23,2021,15580,New England Col.,467
9,2135057,Johandy Gonzalez,P,Jr,0,0,2021,15580,New England Col.,467
20,2499600,Patrick Hagerty,OF,So,24,14,2021,15580,New England Col.,467
5,2347202,Brendan Hickey,OF,So,5,0,2021,15580,New England Col.,467
16,2499597,Austin Houghtaling,C,Fr,8,3,2021,15580,New England Col.,467
22,2499601,Ryan Hughes,UT,Fr,9,0,2021,15580,New England Col.,467
34,2346383,Tim Krol,P,So,17,3,2021,15580,New England Col.,467
1,2499593,Garrett Langis,INF,Fr,30,30,2021,15580,New England Col.,467
13,2499596,Dylan Merrow,INF,Fr,10,0,2021,15580,New England Col.,467
11,2346370,Bj Minarcin,OF,Sr,25,22,2021,15580,New England Col.,467
35,2001185,Connor Morin,1B,Sr,28,28,2021,15580,New England Col.,467
25,2499602,Jd Normand,C,Fr,15,9,2021,15580,New England Col.,467
6,2135055,Rob Pagliuca,INF,Jr,25,23,2021,15580,New England Col.,467
2,2346368,Devin Parson,INF,So,23,20,2021,15580,New England Col.,467
15,1892937,Joseph Pascucci,P,Sr,10,10,2021,15580,New England Col.,467
30,2525747,Joesnel Perez,OF,Fr,1,0,2021,15580,New England Col.,467
8,2346369,Alex Perez,UT,So,10,3,2021,15580,New England Col.,467
33,2346373,Connor Richardson,OF,So,11,2,2021,15580,New England Col.,467
36,2499605,Shawn Sears,P,Fr,6,2,2021,15580,New England Col.,467
17,2499598,Nolan Stoney,P,Fr,3,0,2021,15580,New England Col.,467
4,2346372,Harutaro Takahashi,C,So,24,20,2021,15580,New England Col.,467
14,2001144,Matt White,P,Sr,10,2,2021,15580,New England Col.,467
23,1207040,Brandon Adorno,OF,Jr,21,20,2013,11320,New England Col.,467
4,1442387,Greg Appleman,INF,Fr,21,17,2013,11320,New England Col.,467
16,1442392,Ryon Bennett-Galland,P,Fr,1,0,2013,11320,New England Col.,467
3,1327323,Lovell Bruce,OF,So,10,1,2013,11320,New England Col.,467
25,1207041,Kevin Caputo,3B,Jr,29,29,2013,11320,New England Col.,467
24,1442396,Zachary Carrano,C,Fr,11,2,2013,11320,New England Col.,467
18,1442393,Myles Comeau,OF,Fr,12,3,2013,11320,New England Col.,467
14,1442390,Conor Crouse,OF,Fr,29,28,2013,11320,New England Col.,467
21,1327325,Francesco Dire,3B,So,29,29,2013,11320,New England Col.,467
30,1207044,Scott Fortune,1B,Jr,29,29,2013,11320,New England Col.,467
5,1442388,Jason Garcia,P,Fr,5,0,2013,11320,New England Col.,467
2,1327316,Jordan Hubbard,SS,So,24,23,2013,11320,New England Col.,467
32,1207045,Eric Johnson,P,Jr,22,19,2013,11320,New England Col.,467
20,1442395,Matt Krum,C,Fr,29,28,2013,11320,New England Col.,467
8,1207034,Nick Leishear,P,Jr,6,0,2013,11320,New England Col.,467
12,1327320,Richard Martinelli,P,So,3,1,2013,11320,New England Col.,467
9,1442389,Andrew Mead,OF,Fr,0,0,2013,11320,New England Col.,467
19,1442394,Zach Nolan,C,Fr,3,0,2013,11320,New England Col.,467
11,1327319,Christopher Smith,OF,So,29,29,2013,11320,New England Col.,467
27,1207042,Matt Valley,P,Sr,9,3,2013,11320,New England Col.,467
10,1096719,Chris Wallace,P,Sr,14,10,2013,11320,New England Col.,467
15,1442391,Michael Young,INF,Fr,18,10,2013,11320,New England Col.,467
23,1207040,Brandon Adorno,OF,Sr,31,30,2014,11620,New England Col.,467
4,1442387,Greg Appleman,INF,So,10,8,2014,11620,New England Col.,467
5,1556636,Vincent Backert,3B,Fr,31,31,2014,11620,New England Col.,467
9,1556637,Kyle Bernier,P,Fr,4,0,2014,11620,New England Col.,467
13,1556639,Ruby Bowles,P,Fr,1,0,2014,11620,New England Col.,467
