App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,Pitches,division
1,1.0,4.0,0.0,3,1,1,3,6,0,18,14,0,0,1,0,0,1,0,0,0,0,0,69.0,3,2,0,1,0,1,2,02/19/2023,home,16340,334,Kentucky,9,True,0,4,-4,loss,2390853,1068,2822962,2023,0.0,,,1.0
1,0.0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11.0,2,1,0,0,0,2,0,02/17/2023,away,16340,288,Houston,9,True,7,0,7,win,2390277,107,2660033,2023,0.0,,,1.0
1,0.0,1.1,0.0,2,2,2,1,4,0,7,6,1,0,0,0,1,0,0,1,0,0,0,32.0,0,0,0,0,0,4,2,02/18/2023,away,16340,288,Houston,9,True,5,3,2,win,2390519,107,2660033,2023,0.0,,,1.0
1,0.0,0.1,0.0,2,2,2,1,0,0,5,3,1,0,0,0,0,1,0,0,0,0,0,20.0,0,1,0,0,0,5,0,02/20/2023,neutral,16340,528,Oregon St.,9,True,0,11,-11,loss,2391074,104,2488286,2023,0.0,,,1.0
1,0.0,3.0,0.0,2,2,2,2,3,0,14,9,1,0,0,1,0,2,0,0,0,1,0,54.0,4,1,1,0,0,3,1,02/18/2023,home,16340,493,North Dakota St.,9,True,8,6,2,win,2390506,102,2121750,2023,0.0,,,1.0
1,1.0,5.0,0.0,5,2,2,3,8,0,23,20,1,0,0,0,1,0,0,0,0,0,0,93.0,1,6,1,0,0,1,1,02/17/2023,home,16340,587,Rutgers,9,True,11,5,6,win,2390300,115,2492976,2023,0.0,,,1.0
1,0.0,3.0,0.0,1,0,0,0,2,0,10,10,0,0,0,0,2,0,0,0,0,0,0,29.0,5,2,0,0,0,2,0,02/18/2023,home,16340,587,Rutgers,9,True,10,0,10,win,2390536,115,2492974,2023,0.0,,,1.0
1,0.0,0.1,0.0,3,2,2,1,0,0,5,4,1,0,0,0,0,0,0,3,3,0,0,24.0,0,1,0,0,0,3,0,02/18/2023,home,16340,742,Virginia Tech,9,True,3,12,-9,loss,2390508,1014,2658960,2023,0.0,,,1.0
1,0.0,1.0,0.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14.0,1,0,0,0,0,2,0,02/18/2023,away,16340,288,Houston,9,True,5,3,2,win,2390519,107,2806752,2023,0.0,,,1.0
1,0.0,0.1,0.0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,11.0,0,0,0,0,0,2,0,02/19/2023,away,16340,288,Houston,9,True,6,8,-2,loss,2390838,107,2806752,2023,0.0,,,1.0
