season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2020,15204,2,1.0,03/07/2020,4952855,away,508,Northwestern St.,8,2,6,11,1,3,0,0,0,1,0,1,0,3,0,3,0.0,1,0,0,0.0,0,0.0,0.815,11,0.273,-0.091,0.364,0.273,0.637,40.0,0.0,0.375,1.796,1.716,2.412,,0.25,0.0,0.273,0.0,0.273,0.0
2020,15204,2,1.0,03/08/2020,1834604,away,508,Northwestern St.,3,8,-5,23,3,4,1,0,0,2,1,0,5,6,0,5,0.0,0,1,1,0.0,0,0.0,1.942,30,0.174,0.304,0.3,0.261,0.561,28.0,0.043,0.222,3.252,2.688,2.776,0.0,0.333,0.0,0.2,0.167,0.033,0.833
2020,15204,2,1.0,03/08/2020,4954439,away,508,Northwestern St.,3,8,-5,6,0,0,0,0,0,1,1,0,2,1,0,0,0.0,0,0,0,0.0,0,0.0,0.195,8,0.0,0.5,0.25,0.0,0.25,-69.0,0.0,0.0,-0.368,-0.408,-0.396,0.0,0.0,0.0,0.125,0.25,-0.125,2.0
2020,15204,2,1.0,03/11/2020,1835060,away,703,Texas,1,9,-8,29,1,5,0,1,0,1,1,0,2,8,0,7,0.0,1,0,0,0.0,0,0.0,1.9612500000000002,31,0.172,0.172,0.258,0.276,0.534,28.0,0.103,0.238,4.216,4.008,4.136,0.0,0.125,0.0,0.258,0.065,0.193,0.25
2020,15204,2,1.0,03/11/2020,4958051,away,703,Texas,1,9,-8,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.065,3,0.0,0.0,0.333,0.0,0.333,-59.0,0.0,0.0,0.07,0.036,0.052,,0.0,0.0,0.0,0.0,0.0,
2020,15204,2,1.0,03/13/2020,1835060,home,0,0.0,1,9,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,2,1.0,03/14/2020,1835060,home,0,0.0,1,9,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,02/16/2020,1830544,home,514,Oakland,3,4,-1,45,3,8,1,0,0,2,0,2,9,17,1,9,0.0,2,1,0,0.0,0,0.0,3.468771929824561,55,0.178,0.178,0.345,0.222,0.567,20.0,0.022,0.286,4.984,4.084,5.548,,0.158,0.0,0.309,0.164,0.145,0.529
2020,15204,5,1.0,02/16/2020,1848571,home,514,Oakland,0,1,-1,18,0,2,0,0,0,0,1,2,5,8,0,2,0.0,0,0,0,0.0,0,0.0,0.74,23,0.111,0.222,0.304,0.111,0.415,-24.0,0.0,0.2,-0.284,-0.368,0.964,0.0,0.0,0.0,0.348,0.217,0.131,0.625
2020,15204,5,1.0,02/16/2020,4930165,home,514,Oakland,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,02/16/2020,4930182,home,514,Oakland,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,02/21/2020,1831202,away,541,Pepperdine,1,12,-11,30,1,4,0,0,0,1,0,0,1,9,0,4,0.0,0,0,0,0.0,0,1.0,0.6870967741935483,31,0.133,0.033,0.161,0.133,0.294,-34.0,0.0,0.19,0.948,0.772,0.864,,0.2,0.0,0.29,0.032,0.258,0.111
2020,15204,5,1.0,02/21/2020,4933933,away,541,Pepperdine,1,12,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,02/22/2020,1831583,away,541,Pepperdine,0,4,-4,29,0,2,0,0,0,0,0,0,2,12,0,2,0.0,0,0,0,0.0,0,0.0,0.3251612903225806,31,0.069,0.069,0.129,0.069,0.198,-60.0,0.0,0.118,-0.846,-0.986,-0.912,,0.0,0.0,0.387,0.065,0.322,0.167
2020,15204,5,1.0,02/22/2020,4936015,away,541,Pepperdine,0,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,02/23/2020,1831995,away,541,Pepperdine,1,7,-6,31,1,5,1,0,0,1,0,0,1,12,0,6,0.0,0,0,0,0.0,0,1.0,1.17375,32,0.161,0.065,0.188,0.226,0.414,2.0,0.032,0.263,2.824,2.652,2.764,,0.167,0.0,0.375,0.031,0.344,0.083
2020,15204,5,1.0,02/23/2020,4938097,away,541,Pepperdine,1,7,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,02/28/2020,1832520,away,346,Lamar University,3,8,-5,31,3,4,1,1,0,3,1,0,1,9,0,7,0.0,0,0,1,0.0,0,0.0,1.1315151515151514,33,0.129,0.161,0.152,0.29,0.442,20.0,0.129,0.174,4.188,3.604,3.728,0.0,0.6,0.0,0.273,0.03,0.243,0.111
2020,15204,5,1.0,02/28/2020,4942405,away,346,Lamar University,3,8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,02/29/2020,1832871,away,346,Lamar University,3,10,-7,32,3,5,0,0,0,3,1,0,3,10,0,5,0.0,1,1,0,0.0,0,0.0,1.4972972972972973,36,0.156,0.125,0.25,0.156,0.406,-15.0,0.0,0.227,2.25,2.014,2.128,0.0,0.333,0.0,0.278,0.083,0.195,0.3
2020,15204,5,1.0,02/29/2020,4943899,away,346,Lamar University,3,10,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/01/2020,1833013,away,346,Lamar University,1,5,-4,26,1,2,0,0,0,1,0,0,2,6,0,2,0.0,2,1,1,0.0,0,1.0,0.6025,30,0.077,0.077,0.2,0.077,0.277,-48.0,0.0,0.095,0.562,-0.032,0.056,,0.167,0.0,0.2,0.067,0.133,0.333
2020,15204,5,1.0,03/01/2020,4945234,away,346,Lamar University,1,5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/07/2020,1834259,away,388,Marshall,1,3,-2,33,1,5,0,0,1,1,0,0,2,15,0,8,0.0,0,0,0,0.0,0,0.0,1.704,35,0.152,0.152,0.2,0.273,0.473,20.0,0.0,0.235,4.02,3.836,3.972,0.0,0.0,0.029,0.429,0.057,0.372,0.133
2020,15204,5,1.0,03/07/2020,1847918,away,388,Marshall,1,2,-1,32,1,4,1,0,0,1,2,0,0,11,0,5,0.0,0,0,0,0.0,0,0.0,0.6575,32,0.125,0.094,0.125,0.188,0.313,-19.0,0.031,0.19,2.172,1.986,2.092,0.0,0.25,0.0,0.344,0.0,0.344,0.0
2020,15204,5,1.0,03/07/2020,4954914,away,388,Marshall,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/07/2020,4957415,away,388,Marshall,1,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/08/2020,1833948,away,388,Marshall,7,4,3,33,7,8,2,0,1,6,0,0,8,5,0,13,0.0,0,2,0,0.0,0,0.0,5.635348837209302,43,0.242,0.394,0.372,0.485,0.857,115.0,0.061,0.259,9.09,8.72,8.9,0.0,0.4,0.023,0.116,0.186,-0.07,1.6
2020,15204,5,1.0,03/08/2020,1834687,away,388,Marshall,3,18,-15,31,3,5,1,0,0,3,1,0,3,7,0,6,0.0,0,0,0,0.0,0,2.0,1.6105882352941179,34,0.161,0.161,0.235,0.226,0.461,8.0,0.032,0.208,3.044,2.832,2.944,0.0,0.375,0.0,0.206,0.088,0.118,0.429
2020,15204,5,1.0,03/08/2020,4954891,away,388,Marshall,3,18,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/08/2020,4954915,away,388,Marshall,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/11/2020,1835154,home,30104,Urbana,0,1,-1,29,0,4,0,0,0,0,0,2,2,4,0,4,0.0,0,0,0,0.0,0,1.0,0.5832258064516128,31,0.138,0.0,0.194,0.138,0.332,-28.0,0.0,0.16,0.438,0.23,1.6,,0.0,0.0,0.129,0.065,0.064,0.5
2020,15204,5,1.0,03/11/2020,4957667,home,30104,Urbana,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/14/2020,1835154,home,0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,5,1.0,03/15/2020,1835154,home,0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/14/2020,1830333,away,61,Bethune-Cookman,0,8,-8,28,0,3,1,0,0,0,1,0,3,11,0,4,0.0,0,0,0,0.0,0,0.0,0.9419354838709677,31,0.107,0.179,0.194,0.179,0.373,-14.0,0.036,0.176,1.422,1.27,1.36,0.0,0.0,0.0,0.355,0.097,0.258,0.273
2020,15204,6,1.0,02/14/2020,4926898,away,61,Bethune-Cookman,0,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/15/2020,1830659,away,61,Bethune-Cookman,2,11,-9,26,2,4,0,0,0,1,3,1,4,8,0,4,0.0,1,0,1,0.0,0,1.0,1.39,31,0.154,0.231,0.29,0.154,0.444,-11.0,0.0,0.211,2.246,1.714,2.448,0.0,0.222,0.0,0.258,0.129,0.129,0.5
2020,15204,6,1.0,02/15/2020,4928696,away,61,Bethune-Cookman,2,11,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/16/2020,1830688,away,61,Bethune-Cookman,7,15,-8,31,6,7,1,0,0,3,0,1,4,4,0,8,0.0,0,0,0,0.0,0,3.0,2.5828571428571427,35,0.226,0.129,0.314,0.29,0.604,40.0,0.032,0.259,4.428,4.188,4.956,,0.545,0.0,0.114,0.114,0.0,1.0
2020,15204,6,1.0,02/16/2020,4929704,away,61,Bethune-Cookman,7,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/19/2020,1831051,home,695,UT Martin,3,8,-5,29,3,6,1,1,0,2,2,0,4,6,0,9,0.0,0,0,2,0.0,0,0.0,2.9279999999999995,35,0.207,0.31,0.286,0.379,0.665,67.0,0.138,0.24,6.802,5.836,5.972,0.0,0.3,0.0,0.171,0.114,0.057,0.667
2020,15204,6,1.0,02/19/2020,4932996,home,695,UT Martin,3,8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/21/2020,1831201,home,774,Western Mich.,2,12,-10,31,2,5,0,0,1,2,1,0,2,11,0,8,0.0,0,0,0,0.0,0,0.0,1.8230303030303032,33,0.161,0.194,0.212,0.29,0.502,27.0,0.0,0.211,4.412,4.212,4.344,1.0,0.167,0.03,0.333,0.061,0.272,0.182
2020,15204,6,1.0,02/21/2020,4933746,home,774,Western Mich.,2,12,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/22/2020,1831451,home,774,Western Mich.,0,12,-12,25,0,1,0,0,0,0,0,0,2,10,0,1,0.0,0,1,0,0.0,0,0.0,0.18142857142857144,28,0.04,0.08,0.107,0.04,0.147,-73.0,0.0,0.067,-1.36,-1.522,-1.464,,0.0,0.0,0.357,0.071,0.286,0.2
2020,15204,6,1.0,02/22/2020,1848957,home,774,Western Mich.,4,32,-28,26,3,6,0,0,0,4,0,0,2,8,0,6,0.0,1,1,0,0.0,0,0.0,2.0513333333333335,29,0.231,0.077,0.31,0.231,0.541,19.0,0.0,0.333,3.556,3.35,3.46,,0.333,0.0,0.276,0.069,0.207,0.25
2020,15204,6,1.0,02/22/2020,4934694,home,774,Western Mich.,0,12,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/22/2020,4937652,home,774,Western Mich.,4,32,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/23/2020,1831772,home,774,Western Mich.,9,21,-12,33,9,15,3,0,0,9,1,1,5,6,0,18,0.0,1,0,1,0.0,0,1.0,9.806000000000001,39,0.455,0.242,0.538,0.636,1.174,188.0,0.091,0.536,14.682,14.026,14.892,0.0,0.429,0.0,0.154,0.128,0.026,0.833
2020,15204,6,1.0,02/23/2020,4937618,home,774,Western Mich.,9,21,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/25/2020,1832076,away,37,Auburn,0,10,-10,29,0,6,1,0,0,0,1,0,1,9,0,7,0.0,0,0,0,0.0,0,1.0,1.7113333333333334,30,0.207,0.103,0.233,0.276,0.509,25.0,0.034,0.3,4.138,3.956,4.072,0.0,0.0,0.0,0.3,0.033,0.267,0.111
2020,15204,6,1.0,02/25/2020,4939466,away,37,Auburn,0,10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/26/2020,1832190,away,37,Auburn,6,12,-6,27,5,5,1,0,0,2,1,2,5,11,0,6,0.0,1,1,0,0.0,0,0.0,2.0317647058823534,33,0.185,0.185,0.333,0.259,0.592,31.0,0.037,0.312,3.112,2.914,4.308,0.0,0.455,0.0,0.333,0.152,0.181,0.455
2020,15204,6,1.0,02/26/2020,4940279,away,37,Auburn,6,12,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/28/2020,1832365,home,432,Mississippi Val.,5,4,1,30,4,7,0,1,0,3,4,1,0,12,0,9,0.0,0,0,0,0.0,0,0.0,1.8693333333333333,30,0.233,0.167,0.233,0.333,0.566,45.0,0.1,0.389,5.834,5.656,6.432,0.0,0.571,0.0,0.4,0.0,0.4,0.0
2020,15204,6,1.0,02/28/2020,4941858,home,432,Mississippi Val.,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,02/29/2020,1832851,home,432,Mississippi Val.,8,3,5,28,7,7,3,0,1,6,3,1,6,4,0,13,0.0,1,0,0,0.0,0,0.0,5.549142857142857,34,0.25,0.5,0.412,0.607,1.019,162.0,0.107,0.261,10.158,9.882,10.704,1.5,0.462,0.029,0.118,0.176,-0.058,1.5
2020,15204,6,1.0,02/29/2020,4944468,home,432,Mississippi Val.,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,03/01/2020,1833192,home,432,Mississippi Val.,5,4,1,36,4,9,2,0,0,5,4,0,2,4,0,11,0.0,0,1,1,0.0,0,0.0,3.246,40,0.25,0.222,0.275,0.361,0.636,60.0,0.056,0.273,8.348,7.644,7.808,0.0,0.364,0.0,0.1,0.05,0.05,0.5
2020,15204,6,1.0,03/01/2020,4945698,home,432,Mississippi Val.,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,03/07/2020,1833914,neutral,17,Alcorn,4,5,-1,33,3,8,3,0,0,3,1,0,2,11,0,11,0.0,0,0,0,0.0,0,0.0,3.306285714285714,35,0.242,0.182,0.286,0.424,0.71,83.0,0.091,0.364,7.742,7.52,7.68,0.0,0.3,0.0,0.314,0.057,0.257,0.182
2020,15204,6,1.0,03/07/2020,1834339,neutral,17,Alcorn,0,1,-1,26,0,2,0,0,0,0,1,2,3,6,0,2,0.0,0,0,0,0.0,0,0.0,0.3055172413793103,29,0.077,0.077,0.172,0.077,0.249,-52.0,0.0,0.1,-0.988,-1.152,0.196,0.0,0.0,0.0,0.207,0.103,0.104,0.5
2020,15204,6,1.0,03/07/2020,4958423,home,17,Alcorn,4,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,03/07/2020,4958425,home,17,Alcorn,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,6,1.0,03/08/2020,1834620,neutral,17,Alcorn,10,11,-1,36,9,13,4,1,2,9,1,3,4,5,0,25,0.0,0,0,2,0.0,0,0.0,8.717142857142857,42,0.361,0.389,0.405,0.889,1.294,259.0,0.194,0.355,19.65,18.516,20.732,1.3,0.467,0.048,0.119,0.095,0.024,0.8
