season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,16580,47,1.0,02/17/2024,4492946,neutral,312,Iowa,0,5,27,0,2,0,0,0,0,0,0,2,15,0,2,0.0,0,0,0,0.0,0,1.0,0.34758620689655173,29,0.074,0.074,0.138,0.074,0.212,-61.0,0.0,0.167,-0.69,-0.79,-0.72,,0.0,0.0,0.517,0.069,0.448,0.133
2024,16580,47,1.0,02/17/2024,4525834,neutral,410,Merrimack,2,1,28,2,6,2,0,0,1,0,0,4,6,0,8,0.0,0,0,0,0.0,0,2.0,2.8249999999999997,32,0.214,0.214,0.312,0.357,0.669,47.0,0.071,0.273,5.132,4.924,5.048,,0.2,0.0,0.188,0.125,0.063,0.667
2024,16580,47,1.0,02/18/2024,4780660,neutral,416,Michigan St.,4,1,31,3,9,2,0,0,3,0,3,2,5,0,11,1.0,1,0,0,0.0,0,1.0,2.7717647058823527,33,0.29,0.032,0.364,0.419,0.783,72.0,0.065,0.346,6.67,6.784,8.868,,0.25,0.0,0.152,0.061,0.091,0.4
2024,16580,48,1.0,02/16/2024,4525656,home,178,Delaware St.,8,5,28,8,4,1,0,1,6,1,0,9,10,0,8,1.0,2,0,0,0.0,0,1.0,3.911794871794872,37,0.143,0.5,0.405,0.357,0.762,57.0,0.036,0.176,5.13,5.288,5.436,1.0,0.5,0.027,0.27,0.243,0.027,0.9
2024,16580,48,1.0,02/17/2024,4525970,home,178,Delaware St.,11,4,37,10,13,2,0,0,6,2,0,7,10,0,15,0.0,0,0,1,0.0,1,0.0,7.510222222222222,45,0.351,0.297,0.444,0.459,0.903,93.0,0.054,0.464,11.53,10.898,11.096,0.0,0.5,0.0,0.222,0.156,0.066,0.7
2024,16580,48,1.0,02/18/2024,4526223,home,178,Delaware St.,3,8,29,3,3,0,0,0,3,2,0,6,9,0,3,0.0,0,1,0,0.0,0,0.0,1.1833333333333336,36,0.103,0.276,0.25,0.103,0.353,-40.0,0.0,0.15,0.508,0.302,0.384,0.0,0.333,0.0,0.25,0.167,0.083,0.667
2024,16580,51,1.0,02/16/2024,4493158,neutral,463,Nebraska,1,4,34,1,7,1,0,0,1,0,0,0,9,0,8,1.0,0,0,0,0.0,0,1.0,1.411764705882353,34,0.206,0.029,0.206,0.265,0.471,6.0,0.029,0.28,4.068,4.214,4.348,,0.143,0.0,0.265,0.0,0.265,0.0
2024,16580,51,1.0,02/17/2024,4525854,neutral,529,Oregon,4,7,35,4,7,0,2,1,4,0,0,3,11,0,14,0.0,3,0,0,0.0,0,0.0,4.933658536585366,38,0.2,0.286,0.342,0.486,0.828,90.0,0.171,0.261,10.192,9.886,10.112,0.0,0.25,0.026,0.289,0.079,0.21,0.273
2024,16580,51,1.0,02/18/2024,4526129,neutral,694,Tennessee,5,11,29,5,7,1,1,1,5,0,1,5,7,0,13,1.0,0,0,0,0.0,0,2.0,4.205882352941177,34,0.241,0.345,0.353,0.552,0.905,112.0,0.138,0.286,8.394,8.514,9.328,0.0,0.364,0.029,0.206,0.147,0.059,0.714
2024,16580,52,1.0,02/16/2024,4525550,away,692,Tennessee Tech,11,3,38,11,13,2,0,4,11,1,0,7,7,0,27,1.0,0,0,1,0.0,0,1.0,11.926521739130434,46,0.342,0.579,0.435,0.868,1.303,220.0,0.053,0.321,20.754,20.34,20.66,1.6,0.438,0.087,0.152,0.152,0.0,1.0
2024,16580,52,1.0,02/17/2024,4525775,away,692,Tennessee Tech,1,5,33,1,5,1,0,0,1,0,0,2,6,0,6,0.0,0,0,0,0.0,0,0.0,1.304,35,0.152,0.091,0.2,0.212,0.412,-11.0,0.03,0.185,2.692,2.456,2.572,,0.143,0.0,0.171,0.057,0.114,0.333
2024,16580,52,1.0,02/18/2024,4526110,away,692,Tennessee Tech,1,8,32,1,5,1,1,0,1,0,0,1,7,0,8,0.0,0,0,0,0.0,0,0.0,1.501818181818182,33,0.156,0.125,0.182,0.312,0.494,18.0,0.125,0.2,4.494,4.254,4.388,,0.167,0.0,0.212,0.03,0.182,0.143
2024,16580,61,1.0,02/16/2024,4525470,home,682,Stonehill,12,1,37,12,13,2,1,1,9,4,0,7,6,0,20,0.0,2,0,1,0.0,0,0.0,10.512340425531915,45,0.351,0.486,0.489,0.649,1.138,158.0,0.135,0.387,16.782,16.048,16.316,1.6,0.524,0.022,0.133,0.156,-0.023,1.167
