season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2022,15860,71,1.0,1664,1513,283,430,83,16,40,261,87,18,165,384,1,665,6.0,55,29,14,0.0,9,16.0,254.50565315315316,1721,0.284,0.31,0.378,0.531,0.909,102.0,0.087,0.354,507.868,490.366,511.252,54.8,0.398,0.023,0.223,0.096,0.127,0.43
2022,15860,72,1.0,1519,1649,313,454,93,9,58,295,33,14,206,470,8,739,27.0,58,32,18,0.0,0,36.0,277.84374936321956,1905,0.275,0.309,0.377,0.545,0.922,107.0,0.073,0.348,550.64,534.2,553.52,42.1,0.386,0.03,0.247,0.108,0.139,0.438
2022,15860,77,1.0,1512,1446,260,390,80,9,44,242,21,5,156,366,1,620,21.0,46,10,20,0.0,2,32.0,226.77334922526816,1632,0.27,0.278,0.363,0.521,0.884,98.0,0.074,0.328,456.592,443.792,455.764,28.4,0.394,0.027,0.224,0.096,0.128,0.426
2022,15860,80,1.0,900,1196,183,292,41,7,30,157,46,22,148,385,3,437,15.0,40,8,12,0.0,9,20.0,153.08662393162396,1364,0.244,0.265,0.352,0.431,0.783,69.0,0.052,0.33,305.96,296.058,316.716,36.3,0.34,0.022,0.282,0.109,0.173,0.384
2022,15860,81,1.0,1653,1549,288,410,82,15,39,254,67,16,180,406,2,639,33.0,73,13,13,0.0,1,39.0,236.5776805251641,1755,0.265,0.297,0.378,0.5,0.878,93.0,0.082,0.332,473.362,466.078,485.716,49.3,0.399,0.022,0.231,0.103,0.128,0.443
2022,15860,83,1.0,1632,1512,277,429,85,14,18,249,36,7,194,342,1,596,16.0,45,11,15,0.0,8,27.0,238.8097017445132,1732,0.284,0.258,0.386,0.472,0.858,85.0,0.084,0.352,438.814,425.816,438.872,24.0,0.398,0.01,0.197,0.112,0.085,0.567
2022,15860,87,1.0,2145,1625,239,387,69,7,34,225,49,17,177,450,1,572,16.0,68,20,12,0.0,9,20.0,200.14231335436386,1834,0.238,0.242,0.345,0.42,0.765,65.0,0.055,0.306,405.29,392.676,412.432,40.1,0.343,0.019,0.245,0.097,0.148,0.393
2022,15860,90,1.0,1624,1635,304,487,108,6,34,279,8,8,213,316,27,709,27.0,37,13,26,0.0,3,34.0,279.8567567567567,1887,0.298,0.266,0.391,0.524,0.915,102.0,0.077,0.346,539.212,509.016,523.892,13.0,0.384,0.018,0.167,0.113,0.054,0.674
2022,15860,94,1.0,1664,1556,218,389,72,5,21,194,20,22,188,358,6,534,45.0,36,22,15,0.0,8,51.0,177.51288937809576,1781,0.25,0.213,0.344,0.406,0.75,61.0,0.056,0.309,357.566,352.074,374.188,20.5,0.333,0.012,0.201,0.106,0.095,0.525
2022,15860,96,1.0,1485,1975,360,604,112,12,68,338,37,12,203,443,8,944,31.0,49,33,15,0.0,4,52.0,360.040843956044,2226,0.306,0.288,0.385,0.575,0.96,116.0,0.075,0.362,706.666,689.192,709.544,47.9,0.371,0.031,0.199,0.091,0.108,0.458
2022,15860,97,1.0,1998,1878,273,520,86,14,35,248,36,14,180,439,10,739,38.0,45,25,16,0.0,6,45.0,256.9523041044776,2099,0.277,0.224,0.355,0.465,0.82,80.0,0.068,0.342,528.468,514.516,534.032,35.5,0.335,0.017,0.209,0.086,0.123,0.41
2022,15860,99,1.0,1904,1919,292,508,92,8,37,262,33,18,187,476,8,727,18.0,63,29,7,0.0,1,43.0,258.6658140589569,2142,0.265,0.219,0.354,0.45,0.804,75.0,0.06,0.333,521.632,504.442,526.684,34.9,0.354,0.017,0.222,0.087,0.135,0.393
2022,15860,101,1.0,1674,1593,269,422,79,10,35,231,47,23,188,299,9,626,19.0,76,30,19,0.0,12,34.0,233.94077649527804,1830,0.265,0.261,0.375,0.471,0.846,84.0,0.068,0.303,467.188,446.682,470.764,40.1,0.359,0.019,0.163,0.103,0.06,0.629
2022,15860,102,1.0,1566,1786,323,489,104,10,55,282,24,9,228,442,6,778,27.0,50,13,38,0.0,1,38.0,293.3585437352246,2065,0.274,0.298,0.371,0.53,0.901,101.0,0.075,0.327,579.804,556.554,573.188,33.4,0.376,0.027,0.214,0.11,0.104,0.516
