season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2020,15204,2,1.0,02/29/2020,1832885,home,817,Youngstown St.,0,9,-9,0,1,0,0.0,0,7.666666666666666,12,9,6,1,0,0,5,0,4,1,0,0,40,33,4,2,1,0,8,8,1,0.0,0.0,7.043478260869565,67.0,4.228094791673135,2.217391304347826,14.08695652173913,0.0,5.869565217391305,4.695652173913043,0.8,10.56521739130435
2020,15204,2,1.0,02/29/2020,4943868,home,817,Youngstown St.,0,9,-9,0,0,0,0.0,0,1.3333333333333333,2,0,0,0,0,0,0,0,2,0,0,0,6,6,2,1,0,0,0,1,0,0.0,,0.0,inf,-0.07625303441382236,1.5,13.5,0.0,0.0,13.5,inf,0.0
2020,15204,2,1.0,03/06/2020,1833958,away,508,Northwestern St.,1,7,-6,0,0,0,0.0,0,4.666666666666667,1,2,1,0,0,0,5,0,4,1,0,0,20,11,3,0,1,1,4,4,2,0.0,,1.9285714285714284,244.0,5.06660410844332,1.2857142857142856,1.9285714285714284,0.0,9.642857142857142,7.7142857142857135,0.8,3.8571428571428568
2020,15204,2,1.0,03/06/2020,4951264,away,508,Northwestern St.,1,7,-6,0,1,0,0.0,0,3.3333333333333335,6,5,4,2,1,1,0,0,5,1,0,1,18,17,0,0,0,0,3,2,2,0.0,0.0,10.799999999999999,44.0,4.7237469655861775,1.7999999999999998,16.2,2.6999999999999997,0.0,13.5,inf,13.5
2020,15204,2,1.0,03/07/2020,1834286,away,508,Northwestern St.,8,2,6,1,0,0,0.0,0,6.0,5,2,1,0,0,0,2,0,4,0,0,1,26,23,0,0,0,1,7,7,1,0.0,1.0,1.5,314.0,2.590413632252844,1.1666666666666667,7.5,0.0,3.0,6.0,2.0,3.0
2020,15204,2,1.0,03/07/2020,4952855,away,508,Northwestern St.,8,2,6,0,0,0,0.0,0,3.0,3,0,0,0,0,0,3,0,6,0,0,0,15,12,0,0,0,0,3,0,4,0.0,,0.0,inf,1.9237469655861776,2.0,9.0,0.0,9.0,18.0,2.0,0.0
2020,15204,2,1.0,03/08/2020,1834604,away,508,Northwestern St.,3,8,-5,0,1,0,0.0,0,8.0,8,8,6,3,0,0,5,0,5,2,0,3,37,29,5,4,0,1,5,11,2,0.0,0.0,6.75,70.0,4.298746965586178,1.625,9.0,0.0,5.625,5.625,1.0,9.0
2020,15204,2,1.0,03/11/2020,1835060,away,703,Texas,1,9,-8,0,1,0,0.0,0,8.0,7,9,8,0,0,1,12,0,9,1,1,4,44,30,9,5,0,1,6,8,7,0.0,0.0,9.0,52.0,7.173746965586178,2.375,7.875,1.125,13.5,10.125,0.75,10.125
2020,15204,5,1.0,02/16/2020,1830544,home,514,Oakland,3,4,-1,0,1,0,0.0,0,14.0,9,4,4,3,1,0,9,2,17,2,0,1,59,45,4,0,2,1,12,10,4,0.0,0.0,2.571428571428571,183.0,2.852318394157606,1.2857142857142858,5.7857142857142865,0.0,5.7857142857142865,10.928571428571427,1.8888888888888888,2.571428571428571
2020,15204,5,1.0,02/16/2020,1848571,home,514,Oakland,0,1,-1,0,1,0,0.0,0,6.0,6,1,1,1,0,0,2,1,9,0,0,0,25,23,1,1,0,0,3,5,4,0.0,0.0,1.5,314.0,0.9237469655861776,1.3333333333333333,9.0,0.0,3.0,13.5,4.5,1.5
2020,15204,5,1.0,02/21/2020,1831202,away,541,Pepperdine,1,12,-11,0,1,0,0.0,0,8.0,12,12,11,4,0,1,7,0,5,1,1,0,45,37,3,3,0,0,7,12,1,0.0,0.0,12.375,38.0,6.298746965586178,2.375,13.5,1.125,7.875,5.625,0.7142857142857143,13.5
2020,15204,5,1.0,02/22/2020,1831583,away,541,Pepperdine,0,4,-4,0,1,0,0.0,0,8.0,9,4,2,1,0,0,1,0,5,1,0,0,34,32,1,0,0,0,6,11,0,0.0,0.0,2.25,209.0,2.4237469655861776,1.25,10.125,0.0,1.125,5.625,5.0,4.5
2020,15204,5,1.0,02/23/2020,1831995,away,541,Pepperdine,1,7,-6,0,1,0,0.0,0,8.0,13,7,6,2,0,1,4,1,3,0,1,2,41,36,3,0,0,1,6,15,0,0.0,0.0,6.75,70.0,5.298746965586178,2.125,14.625,1.125,4.5,3.375,0.75,7.875
2020,15204,5,1.0,02/28/2020,1832520,away,346,Lamar University,3,8,-5,0,1,0,0.0,0,8.0,5,8,8,0,0,1,5,0,5,1,0,2,35,25,3,3,2,2,9,11,1,0.0,0.0,9.0,52.0,5.548746965586178,1.25,5.625,1.125,5.625,5.625,1.0,9.0
2020,15204,5,1.0,02/29/2020,1832871,away,346,Lamar University,3,10,-7,0,1,0,0.0,0,8.0,11,10,9,3,1,0,3,0,7,2,0,0,42,35,7,2,0,2,8,9,1,0.0,0.0,10.125,47.0,3.0487469655861776,1.75,12.375,0.0,3.375,7.875,2.3333333333333335,11.25
2020,15204,5,1.0,03/01/2020,1833013,away,346,Lamar University,1,5,-4,0,1,0,0.0,0,8.0,10,5,5,0,0,1,4,0,8,1,0,3,38,32,1,1,1,0,9,6,3,0.0,0.0,5.625,84.0,4.423746965586178,1.75,11.25,1.125,4.5,9.0,2.0,5.625
2020,15204,5,1.0,03/07/2020,1834259,away,388,Marshall,1,3,-2,0,1,0,1.0,0,8.0,2,3,3,2,0,0,4,0,6,1,0,0,32,25,0,0,2,0,9,8,1,0.0,0.0,3.375,140.0,3.2987469655861776,0.75,2.25,0.0,4.5,6.75,1.5,3.375
2020,15204,5,1.0,03/07/2020,1847918,away,388,Marshall,1,2,-1,0,1,0,0.0,0,7.999999999999999,9,2,2,0,0,0,3,0,7,0,0,0,34,31,2,0,0,0,7,8,2,0.0,0.0,2.2500000000000004,209.0,2.2987469655861776,1.5000000000000002,10.125000000000002,0.0,3.3750000000000004,7.875000000000001,2.3333333333333335,2.2500000000000004
2020,15204,5,1.0,03/08/2020,1833948,away,388,Marshall,7,4,3,1,0,1,0.0,0,9.0,6,4,4,0,0,1,1,0,4,2,0,0,35,31,0,0,1,0,12,10,1,0.0,1.0,4.0,118.0,4.479302521141733,0.7777777777777778,6.0,1.0,1.0,4.0,4.0,4.0
2020,15204,5,1.0,03/08/2020,1834687,away,388,Marshall,3,18,-15,0,1,0,0.0,0,8.0,17,18,14,4,2,3,5,0,5,1,0,2,46,40,2,2,0,0,9,7,2,0.0,0.0,15.75,30.0,8.798746965586178,2.75,19.125,3.375,5.625,5.625,1.0,20.25
2020,15204,5,1.0,03/11/2020,1835154,home,30104,Urbana,0,1,-1,0,1,0,0.0,0,9.0,4,1,1,1,0,1,3,0,8,1,0,0,34,28,4,0,2,0,15,3,5,0.0,0.0,1.0,471.0,3.9237469655861776,0.7777777777777778,4.0,1.0,3.0,8.0,2.6666666666666665,1.0
2020,15204,6,1.0,02/14/2020,1830333,away,61,Bethune-Cookman,0,8,-8,0,1,0,0.0,0,8.0,8,8,3,2,0,0,3,0,6,3,0,1,38,32,1,1,0,0,9,8,3,0.0,0.0,3.375,140.0,3.6737469655861776,1.375,9.0,0.0,3.375,6.75,2.0,9.0
2020,15204,6,1.0,02/15/2020,1830659,away,61,Bethune-Cookman,2,11,-9,0,1,0,0.0,0,8.0,11,11,10,5,0,1,5,0,6,1,0,2,41,34,3,3,0,1,9,9,4,0.0,0.0,11.25,42.0,5.298746965586178,2.0,12.375,1.125,5.625,6.75,1.2,12.375
2020,15204,6,1.0,02/16/2020,1830688,away,61,Bethune-Cookman,7,15,-8,0,1,0,0.0,0,8.0,12,15,15,3,2,0,11,0,7,2,0,2,48,35,7,3,0,0,10,7,1,0.0,0.0,16.875,28.0,6.048746965586178,2.875,13.5,0.0,12.375,7.875,0.6363636363636364,16.875
2020,15204,6,1.0,02/19/2020,1831051,home,695,UT Martin,3,8,-5,0,1,0,0.0,0,9.0,8,8,7,1,1,0,10,0,7,1,0,4,44,32,2,1,0,1,10,7,2,0.0,0.0,7.0,67.0,5.034858076697288,2.0,8.0,0.0,10.0,7.0,0.7,8.0
2020,15204,6,1.0,02/21/2020,1831201,home,774,Western Mich.,2,12,-10,0,1,0,0.0,0,9.0,12,12,11,3,1,2,6,0,7,1,0,0,48,39,0,0,1,1,10,10,2,0.0,0.0,11.0,43.0,6.590413632252844,2.0,12.0,2.0,6.0,7.0,1.1666666666666667,12.0
2020,15204,6,1.0,02/22/2020,1831451,home,774,Western Mich.,0,12,-12,0,0,0,0.0,0,9.0,10,12,9,1,0,2,4,0,5,2,0,0,46,35,0,0,3,2,7,15,2,0.0,,9.0,52.0,6.701524743363955,1.5555555555555556,10.0,2.0,4.0,5.0,1.25,12.0
2020,15204,6,1.0,02/22/2020,1848957,home,774,Western Mich.,4,32,-28,0,1,0,0.0,0,6.333333333333333,16,31,26,5,0,0,17,0,9,4,0,2,61,40,8,6,0,0,6,4,3,0.0,0.0,36.94736842105264,13.0,10.029010123480916,5.210526315789474,22.73684210526316,0.0,24.157894736842103,12.789473684210526,0.5294117647058824,44.05263157894737
2020,15204,6,1.0,02/23/2020,1831772,home,774,Western Mich.,9,21,-12,0,1,0,0.0,0,7.0,14,21,15,3,0,0,14,0,5,4,1,1,55,36,6,1,0,1,7,6,1,0.0,0.0,19.285714285714285,24.0,9.209461251300464,4.0,18.0,0.0,18.0,6.428571428571429,0.35714285714285715,27.0
2020,15204,6,1.0,02/25/2020,1832076,away,37,Auburn,0,10,-10,0,1,0,0.0,0,8.0,11,10,7,1,0,2,3,0,3,1,1,1,40,35,0,0,0,1,6,14,0,0.0,0.0,7.875,60.0,6.923746965586178,1.75,12.375,2.25,3.375,3.375,1.0,11.25
2020,15204,6,1.0,02/26/2020,1832190,away,37,Auburn,6,12,-6,0,1,0,0.0,0,8.0,14,12,11,4,0,2,7,0,4,0,0,2,44,36,1,1,0,1,7,11,0,0.0,0.0,12.375,38.0,7.798746965586178,2.625,15.75,2.25,7.875,4.5,0.5714285714285714,13.5
2020,15204,6,1.0,02/28/2020,1832365,home,432,Mississippi Val.,5,4,1,1,0,1,0.0,0,9.0,8,4,2,3,1,0,2,0,12,0,0,0,36,33,0,0,1,0,10,4,6,0.0,1.0,2.0,236.0,0.9237469655861776,1.1111111111111112,8.0,0.0,2.0,12.0,6.0,4.0
2020,15204,6,1.0,02/29/2020,1832851,home,432,Mississippi Val.,8,3,5,1,0,1,0.0,0,9.0,5,3,2,2,0,1,4,0,11,2,0,0,37,31,2,0,0,0,7,6,3,0.0,1.0,2.0,236.0,3.9237469655861776,1.0,5.0,1.0,4.0,11.0,2.75,3.0
2020,15204,6,1.0,03/01/2020,1833192,home,432,Mississippi Val.,5,4,1,1,0,0,0.0,0,11.0,10,4,4,1,0,0,2,0,17,1,0,0,45,39,2,1,2,1,9,6,6,0.0,1.0,3.272727272727273,144.0,0.6510196928589047,1.0909090909090908,8.181818181818182,0.0,1.6363636363636365,13.909090909090908,8.5,3.272727272727273
2020,15204,6,1.0,03/07/2020,1833914,neutral,17,Alcorn,4,5,-1,0,1,0,0.0,0,8.0,7,5,5,0,0,1,3,0,8,1,0,0,36,30,0,0,1,1,9,6,2,0.0,0.0,5.625,84.0,4.048746965586178,1.25,7.875,1.125,3.375,9.0,2.6666666666666665,5.625
2020,15204,6,1.0,03/07/2020,1834339,neutral,17,Alcorn,0,1,-1,0,1,0,1.0,0,8.0,6,1,0,0,0,0,4,0,6,0,0,0,35,31,0,0,0,0,7,10,3,0.0,0.0,0.0,inf,2.9237469655861776,1.25,6.75,0.0,4.5,6.75,1.5,1.125
2020,15204,6,1.0,03/08/2020,1834620,neutral,17,Alcorn,10,11,-1,0,1,0,0.0,0,8.0,14,11,10,3,0,0,3,0,9,1,0,1,41,35,2,2,0,2,6,7,0,0.0,0.0,11.25,42.0,2.1737469655861776,2.125,15.75,0.0,3.375,10.125,3.0,12.375
2020,15204,6,1.0,03/10/2020,1835027,away,625,Samford,1,5,-4,0,1,0,0.0,0,8.0,8,5,5,1,1,1,10,0,9,3,1,0,43,29,2,0,1,0,7,6,3,0.0,0.0,5.625,84.0,7.173746965586178,2.25,9.0,1.125,11.25,10.125,0.9,5.625
2020,15204,7,1.0,02/14/2020,1830162,neutral,553,Prairie View,12,0,12,1,0,0,1.0,1,7.0,2,0,0,0,0,0,0,0,3,1,0,1,23,22,0,0,0,0,9,8,1,0.0,1.0,0.0,inf,2.4951755370147493,0.2857142857142857,2.571428571428571,0.0,0.0,3.8571428571428568,inf,0.0
2020,15204,7,1.0,02/15/2020,1830652,neutral,2678,Ark.-Pine Bluff,6,5,1,1,0,0,0.0,0,9.0,7,5,2,1,0,1,3,0,14,0,0,1,38,34,2,2,0,1,7,5,5,0.0,1.0,2.0,236.0,2.257080298919511,1.1111111111111112,7.0,1.0,3.0,14.0,4.666666666666667,5.0
2020,15204,7,1.0,02/16/2020,1830790,neutral,665,Southern U.,5,2,3,0,0,0,0.0,0,5.0,4,2,2,0,0,0,1,0,3,0,0,3,19,18,0,0,0,0,7,3,1,0.0,,3.6,131.0,2.3237469655861775,1.0,7.2,0.0,1.8,5.3999999999999995,3.0,3.6
2020,15204,7,1.0,02/16/2020,4930439,home,665,Southern U.,5,2,3,1,0,0,0.0,0,5.0,5,0,0,0,0,0,0,0,6,1,0,0,20,19,0,0,0,0,4,4,1,0.0,1.0,0.0,inf,1.1237469655861776,1.0,9.0,0.0,0.0,10.799999999999999,inf,0.0
2020,15204,7,1.0,02/19/2020,1831056,away,8,Alabama,3,10,-7,0,0,0,0.0,0,5.666666666666667,5,4,4,2,0,1,2,0,2,3,0,3,25,19,5,4,0,1,6,7,0,0.0,,6.352941176470588,74.0,7.1590410832332365,1.2352941176470587,7.9411764705882355,1.588235294117647,3.176470588235294,3.176470588235294,1.0,6.352941176470588
2020,15204,7,1.0,02/21/2020,1831361,home,514,Oakland,9,5,4,1,0,0,0.0,0,9.0,9,5,3,1,0,0,5,0,7,0,0,1,39,34,2,0,0,0,11,6,3,0.0,1.0,3.0,157.0,3.034858076697289,1.5555555555555556,9.0,0.0,5.0,7.0,1.4,5.0
2020,15204,7,1.0,02/22/2020,1968214,home,514,Oakland,6,5,1,0,0,0,0.0,0,2.0,1,3,3,0,0,0,3,0,4,1,1,0,12,8,0,0,0,0,1,1,0,0.0,,13.5,35.0,4.923746965586178,2.0,4.5,0.0,13.5,18.0,1.3333333333333333,13.5
2020,15204,7,1.0,02/22/2020,4936579,home,514,Oakland,6,5,1,0,0,0,0.0,0,4.666666666666667,6,1,1,0,0,0,2,0,3,0,0,0,20,15,5,2,2,1,6,3,1,0.0,,1.9285714285714284,244.0,2.9237469655861776,1.7142857142857142,11.57142857142857,0.0,3.8571428571428568,5.785714285714285,1.5,1.9285714285714284
2020,15204,7,1.0,02/23/2020,1832014,home,514,Oakland,11,1,10,1,0,1,0.0,0,9.0,6,1,0,1,0,0,2,0,7,0,0,0,35,33,0,0,0,0,7,11,2,0.0,1.0,0.0,inf,2.034858076697289,0.8888888888888888,6.0,0.0,2.0,7.0,3.5,1.0
2020,15204,7,1.0,02/25/2020,1832174,away,716,Troy,0,5,-5,0,1,0,0.0,0,8.0,9,5,5,1,1,1,5,1,9,0,0,2,39,33,1,1,0,1,8,7,4,0.0,0.0,5.625,84.0,4.173746965586178,1.75,10.125,1.125,5.625,10.125,1.8,5.625
2020,15204,7,1.0,02/26/2020,1832256,home,9,UAB,5,10,-5,0,1,0,0.0,0,8.0,6,6,3,1,1,0,5,0,6,0,0,0,34,28,0,0,1,0,7,8,2,0.0,0.0,3.375,140.0,3.2987469655861776,1.375,6.75,0.0,5.625,6.75,1.2,6.75
2020,15204,7,1.0,02/28/2020,1832517,home,709,Toledo,6,5,1,1,0,0,1.0,0,9.0,6,5,3,0,0,0,8,0,8,0,1,1,40,31,0,0,1,0,9,7,1,0.0,1.0,3.0,157.0,3.8126358544750665,1.5555555555555556,6.0,0.0,8.0,8.0,1.0,5.0
2020,15204,7,1.0,02/29/2020,1832796,home,709,Toledo,7,6,1,1,0,0,0.0,0,9.0,10,6,2,3,1,1,4,0,11,0,0,0,41,35,1,1,2,0,8,6,5,0.0,1.0,2.0,236.0,3.257080298919511,1.5555555555555556,10.0,1.0,4.0,11.0,2.75,6.0
2020,15204,7,1.0,02/29/2020,1849192,home,709,Toledo,3,2,1,1,0,0,0.0,0,6.666666666666667,4,0,0,1,0,0,2,0,12,0,0,0,26,24,0,0,0,0,3,5,5,0.0,1.0,0.0,inf,0.2237469655861779,0.8999999999999999,5.3999999999999995,0.0,2.6999999999999997,16.2,6.0,0.0
2020,15204,7,1.0,02/29/2020,4944710,home,709,Toledo,3,2,1,0,0,0,0.0,0,2.3333333333333335,4,2,1,0,0,0,0,0,1,0,0,0,12,12,1,0,0,0,2,4,0,0.0,,3.8571428571428568,122.0,2.0666041084433204,1.7142857142857142,15.428571428571427,0.0,0.0,3.8571428571428568,inf,7.7142857142857135
2020,15204,7,1.0,03/01/2020,1833218,home,709,Toledo,9,8,1,1,0,0,0.0,0,9.0,10,8,7,3,0,1,4,0,12,3,0,1,43,36,2,0,0,0,7,6,4,0.0,1.0,7.0,67.0,4.034858076697288,1.5555555555555556,10.0,1.0,4.0,12.0,3.0,8.0
2020,15204,7,1.0,03/07/2020,1834013,away,432,Mississippi Val.,4,2,2,1,0,0,1.0,0,9.0,4,2,2,1,0,0,3,1,16,1,0,0,35,31,0,0,0,0,5,6,4,0.0,1.0,2.0,236.0,0.7015247433639553,0.7777777777777778,4.0,0.0,3.0,16.0,5.333333333333333,2.0
2020,15204,7,1.0,03/07/2020,1971344,away,432,Mississippi Val.,5,3,2,1,0,0,0.0,0,9.0,7,3,3,1,1,0,2,0,14,1,0,0,35,32,0,0,0,0,5,6,2,0.0,1.0,3.0,157.0,0.8126358544750665,1.0,7.0,0.0,2.0,14.0,7.0,3.0
2020,15204,7,1.0,03/08/2020,1834425,away,432,Mississippi Val.,10,2,8,1,0,0,0.0,0,6.0,2,1,0,0,0,0,3,0,11,1,0,0,27,23,0,0,0,0,5,5,1,0.0,1.0,0.0,inf,1.257080298919511,0.8333333333333334,3.0,0.0,4.5,16.5,3.6666666666666665,1.5
2020,15204,7,1.0,03/08/2020,4954409,away,432,Mississippi Val.,10,2,8,0,0,0,0.0,0,2.6666666666666665,1,0,0,0,0,0,2,0,3,1,0,0,11,8,2,0,0,0,3,1,0,0.0,,0.0,inf,4.048746965586178,1.125,3.375,0.0,6.75,10.125,1.5,0.0
2020,15204,7,1.0,03/10/2020,1835020,home,735,Valparaiso,3,8,-5,0,1,0,0.0,0,9.0,10,8,5,3,1,0,4,0,18,1,0,1,43,38,2,0,0,0,5,4,8,0.0,0.0,5.0,94.0,0.5904136322528442,1.5555555555555556,10.0,0.0,4.0,18.0,4.5,8.0
2020,15204,7,1.0,03/11/2020,1835224,home,735,Valparaiso,4,2,2,1,0,0,0.0,0,6.333333333333334,5,1,1,1,0,0,5,0,7,0,0,1,29,23,2,1,0,1,7,5,1,0.0,1.0,1.4210526315789473,331.0,3.081641702428283,1.5789473684210524,7.105263157894736,0.0,7.105263157894736,9.94736842105263,1.4,1.4210526315789473
2020,15204,7,1.0,03/11/2020,4958069,home,735,Valparaiso,4,2,2,0,0,1,0.0,0,2.0,3,1,1,2,0,0,1,0,2,0,0,0,10,9,1,0,0,0,2,2,1,0.0,,4.5,105.0,2.4237469655861776,2.0,13.5,0.0,4.5,9.0,2.0,4.5
2020,15204,8,1.0,02/14/2020,1830216,home,500,Northeastern,10,0,10,1,0,0,0.0,0,9.0,4,0,0,0,0,0,7,0,11,0,0,0,37,30,0,0,0,0,7,8,4,0.0,1.0,0.0,inf,2.8126358544750665,1.2222222222222223,4.0,0.0,7.0,11.0,1.5714285714285714,0.0
2020,15204,8,1.0,02/15/2020,1830427,home,500,Northeastern,8,0,8,1,0,0,0.0,0,9.0,4,0,0,0,0,0,1,0,8,2,0,0,32,29,0,0,0,0,12,5,1,0.0,1.0,0.0,inf,2.1459691878084,0.5555555555555556,4.0,0.0,1.0,8.0,8.0,0.0
2020,15204,8,1.0,02/16/2020,1830814,home,500,Northeastern,6,3,3,0,0,1,0.0,0,5.0,1,0,0,0,0,0,0,0,8,0,0,0,15,15,0,0,0,0,3,3,2,0.0,,0.0,inf,-0.27625303441382254,0.2,1.8,0.0,0.0,14.4,inf,0.0
2020,15204,8,1.0,02/16/2020,4930059,home,500,Northeastern,6,3,3,1,0,0,0.0,0,4.0,4,3,2,0,0,0,1,0,2,0,0,0,18,16,0,0,1,0,5,5,0,0.0,1.0,4.5,105.0,2.6737469655861776,1.25,9.0,0.0,2.25,4.5,2.0,6.75
2020,15204,8,1.0,02/19/2020,1831056,home,7,Alabama St.,10,3,7,1,0,0,0.0,0,9.0,6,3,3,0,0,1,3,0,11,1,0,2,35,31,0,0,0,0,7,7,5,0.0,1.0,3.0,157.0,3.257080298919511,1.0,6.0,1.0,3.0,11.0,3.6666666666666665,3.0
2020,15204,8,1.0,02/21/2020,1968265,away,465,UNLV,8,0,8,1,0,0,0.0,0,9.0,8,0,0,1,0,0,1,0,11,0,0,0,36,35,0,0,0,0,9,7,2,0.0,1.0,0.0,inf,0.8126358544750665,1.0,8.0,0.0,1.0,11.0,11.0,0.0
2020,15204,8,1.0,02/21/2020,1968271,away,465,UNLV,5,4,1,1,0,1,0.0,0,9.0,10,4,3,2,0,0,2,0,10,0,0,2,38,35,0,0,1,0,10,5,1,0.0,1.0,3.0,157.0,1.368191410030622,1.3333333333333333,10.0,0.0,2.0,10.0,5.0,4.0
2020,15204,8,1.0,02/23/2020,1831826,away,465,UNLV,5,1,4,0,0,0,0.0,0,5.0,2,0,0,0,0,0,1,0,3,0,0,0,18,16,0,0,1,0,7,5,0,0.0,,0.0,inf,2.3237469655861775,0.6,3.6,0.0,1.8,5.3999999999999995,3.0,0.0
2020,15204,8,1.0,02/23/2020,4937576,away,465,UNLV,5,1,4,1,0,0,0.0,0,4.0,5,1,1,2,0,0,1,1,3,0,1,0,18,17,0,0,0,0,2,7,0,0.0,1.0,2.25,209.0,2.1737469655861776,1.5,11.25,0.0,2.25,6.75,3.0,2.25
2020,15204,8,1.0,02/25/2020,1832112,home,695,UT Martin,10,5,5,1,0,0,0.0,0,8.0,11,5,5,3,0,2,2,0,9,1,1,0,37,34,2,1,0,0,8,6,2,0.0,1.0,5.625,84.0,5.048746965586178,1.625,12.375,2.25,2.25,10.125,4.5,5.625
