PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,player_id_x,player_id_y,division
10,0,10.0,0,0,0,1,0,0,0,02/18/2023,away,16340,254,Georgia St.,9,True,9,4,5,win,2390699,140,2460206,2023,2460206.0,2460206.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,home,16340,386,Marist,9,True,8,6,2,win,2390293,657,2680438,2023,2680438.0,2680438.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/18/2023,home,16340,386,Marist,9,True,17,4,13,win,2390530,657,2680438,2023,2680438.0,2680438.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/19/2023,home,16340,386,Marist,9,True,12,2,10,win,2390851,657,2680438,2023,2680438.0,2680438.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/21/2023,home,16340,109,UC Irvine,9,True,7,8,-1,loss,2391105,657,2680438,2023,2680438.0,2680438.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,away,16340,651,South Fla.,9,True,7,8,-1,loss,2390476,392,2309969,2023,2309969.0,2309969.0,1.0
3,1,4.0,0,0,0,0,0,0,0,02/18/2023,away,16340,651,South Fla.,9,True,8,1,7,win,2390734,392,2309969,2023,2309969.0,2309969.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,away,16340,651,South Fla.,9,True,9,5,4,win,2390985,392,2309969,2023,2309969.0,2309969.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/18/2023,home,16340,48,Charleston So.,9,True,16,2,14,win,2390493,235,2800153,2023,2800153.0,2800153.0,1.0
1,1,2.0,0,0,0,0,0,0,0,02/19/2023,home,16340,48,Charleston So.,9,True,8,0,8,win,2390813,235,2800153,2023,2800153.0,2800153.0,1.0
1,7,9.0,1,0,0,0,0,1,0,02/17/2023,neutral,16340,96,Fresno St.,9,True,6,2,4,win,2390319,418,2328780,2023,2328780.0,2328780.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/17/2023,neutral,16340,416,Michigan St.,9,True,8,15,-7,loss,2390318,418,2328780,2023,2328780.0,2328780.0,1.0
2,5,7.0,0,0,0,0,0,0,0,02/18/2023,neutral,16340,112,UC San Diego,9,True,2,11,-9,loss,2390594,418,2328780,2023,2328780.0,2328780.0,1.0
1,3,4.0,0,0,0,0,0,2,0,02/19/2023,neutral,16340,1104,Grand Canyon,9,True,6,4,2,win,2390884,418,2328780,2023,2328780.0,2328780.0,1.0
0,0,0.0,0,0,0,1,0,0,0,02/18/2023,home,16340,47,Ball St.,9,True,9,5,4,win,2407900,458,2673567,2023,2673567.0,2673567.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/17/2023,neutral,16340,694,Tennessee,9,True,3,1,2,win,2390492,29,2308336,2023,2308336.0,2308336.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/18/2023,neutral,16340,96,Fresno St.,9,True,0,5,-5,loss,2390589,29,2308336,2023,2308336.0,2308336.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,neutral,16340,416,Michigan St.,9,True,7,1,6,win,2391065,29,2308336,2023,2308336.0,2308336.0,1.0
2,0,3.0,1,0,0,0,0,0,0,02/20/2023,neutral,16340,112,UC San Diego,9,True,9,8,1,win,2391071,29,2308336,2023,2308336.0,2308336.0,1.0
0,1,1.0,0,0,0,0,1,0,0,02/18/2023,home,16340,1356,Seattle U,9,True,6,3,3,win,2390730,697,2661605,2023,2661605.0,2661605.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/18/2023,home,16340,654,Southeast Mo. St.,9,True,3,0,3,win,2390525,1004,2132006,2023,2132006.0,2132006.0,1.0
9,0,9.0,0,0,0,0,0,0,0,02/19/2023,home,16340,654,Southeast Mo. St.,9,True,13,4,9,win,2390843,1004,2132006,2023,2132006.0,2132006.0,1.0
8,0,8.0,0,0,0,0,0,0,0,02/21/2023,away,16340,736,Vanderbilt,9,True,5,4,1,win,2391103,1004,2132006,2023,2132006.0,2132006.0,1.0
0,1,1.0,0,0,0,1,0,0,0,02/17/2023,away,16340,234,Florida St.,9,True,7,12,-5,loss,2390432,317,2827275,2023,2827275.0,2827275.0,1.0
0,5,6.0,1,0,0,0,0,0,0,02/17/2023,home,16340,590,Sacred Heart,9,True,7,1,6,win,2390276,456,2328794,2023,2328794.0,2328794.0,1.0
1,3,4.0,0,0,0,0,0,2,0,02/18/2023,home,16340,590,Sacred Heart,9,True,11,3,8,win,2390518,456,2328794,2023,2328794.0,2328794.0,1.0
2,3,5.0,0,0,0,0,0,2,0,02/19/2023,home,16340,590,Sacred Heart,9,True,7,2,5,win,2390837,456,2328794,2023,2328794.0,2328794.0,1.0
0,3,3.0,0,0,0,0,0,0,0,02/21/2023,away,16340,2915,Wofford,9,True,0,4,-4,loss,2391183,456,2328794,2023,2328794.0,2328794.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/18/2023,neutral,16340,545,Pittsburgh,9,True,11,7,4,win,2390673,380,2661177,2023,2661177.0,2661177.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/18/2023,away,16340,655,Southeastern La.,9,True,0,20,-20,loss,2390763,342,2824754,2023,2824754.0,2824754.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,away,16340,173,Davidson,9,True,3,4,-1,loss,2390283,471,2309014,2023,2309014.0,2309014.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/18/2023,away,16340,173,Davidson,10,True,12,4,8,win,2390522,471,2309014,2023,2309014.0,2309014.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/18/2023,away,16340,657,Southern California,9,True,4,17,-13,loss,2390530,386,2300756,2023,2300756.0,2300756.0,1.0
2,1,3.0,0,0,1,1,1,0,0,02/19/2023,away,16340,657,Southern California,9,True,2,12,-10,loss,2390851,386,2300756,2023,2300756.0,2300756.0,1.0
2,6,8.0,0,0,0,0,0,2,0,02/18/2023,away,16340,498,ULM,9,True,8,6,2,win,2390802,72,2829516,2023,2829516.0,2829516.0,1.0
1,1,2.0,0,0,0,2,0,1,0,02/19/2023,away,16340,498,ULM,9,True,4,8,-4,loss,2390966,72,2829516,2023,2829516.0,2829516.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/17/2023,neutral,16340,261,Grambling,9,True,7,5,2,win,2390331,553,2826625,2023,2826625.0,2826625.0,1.0
3,1,4.0,0,0,0,0,0,0,0,02/18/2023,neutral,16340,699,Texas Southern,9,True,4,8,-4,loss,2390587,553,2826625,2023,2826625.0,2826625.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,away,16340,657,Southern California,9,True,2,12,-10,loss,2390851,386,2829502,2023,2829502.0,2829502.0,1.0
1,0,2.0,1,0,0,0,0,0,0,02/19/2023,neutral,16340,314,Jackson St.,9,True,3,8,-5,loss,2390882,553,2826631,2023,2826631.0,2826631.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/18/2023,home,16340,576,Rider,9,True,3,7,-4,loss,2408889,1092,2686908,2023,2686908.0,2686908.0,1.0
2,3,5.0,0,0,0,0,0,1,0,02/19/2023,home,16340,576,Rider,9,True,2,17,-15,loss,2390860,1092,2686908,2023,2686908.0,2686908.0,1.0
6,1,7.0,0,0,0,0,0,0,0,02/17/2023,away,16340,456,UNC Asheville,9,True,1,7,-6,loss,2390276,590,2500519,2023,2500519.0,2500519.0,1.0
5,0,5.0,0,0,0,0,0,0,0,02/18/2023,away,16340,456,UNC Asheville,9,True,3,11,-8,loss,2390518,590,2500519,2023,2500519.0,2500519.0,1.0
8,0,8.0,0,0,0,0,0,0,0,02/19/2023,away,16340,456,UNC Asheville,9,True,2,7,-5,loss,2390837,590,2500519,2023,2500519.0,2500519.0,1.0
9,0,9.0,0,0,0,0,0,0,0,02/17/2023,away,16340,173,Davidson,9,True,3,4,-1,loss,2390283,471,2349342,2023,2349342.0,2349342.0,1.0
14,0,14.0,0,0,0,3,0,0,0,02/18/2023,away,16340,173,Davidson,10,True,12,4,8,win,2390522,471,2349342,2023,2349342.0,2349342.0,1.0
10,0,10.0,0,0,0,0,0,1,0,02/19/2023,away,16340,173,Davidson,9,True,14,6,8,win,2390841,471,2349342,2023,2349342.0,2349342.0,1.0
2,2,4.0,0,0,0,0,0,1,0,02/17/2023,neutral,16340,112,UC San Diego,9,True,12,4,8,win,2390322,1104,2467019,2023,2467019.0,2467019.0,1.0
3,3,6.0,0,0,0,0,0,1,0,02/18/2023,home,16340,694,Tennessee,9,True,4,3,1,win,2390812,1104,2467019,2023,2467019.0,2467019.0,1.0
0,3,4.0,1,0,0,0,0,0,0,02/19/2023,neutral,16340,418,Michigan,9,True,4,6,-2,loss,2390884,1104,2467019,2023,2467019.0,2467019.0,1.0
1,2,3.0,0,0,0,0,0,0,0,02/17/2023,home,16340,5,Akron,9,True,12,14,-2,loss,2390417,769,2472414,2023,2472414.0,2472414.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/18/2023,home,16340,5,Akron,9,True,6,1,5,win,2390656,769,2472414,2023,2472414.0,2472414.0,1.0
2,2,5.0,1,0,0,0,0,0,0,02/18/2023,home,16340,5,Akron,9,True,11,6,5,win,2407905,769,2472414,2023,2472414.0,2472414.0,1.0
0,2,2.0,0,0,0,0,0,0,0,02/19/2023,home,16340,5,Akron,9,True,2,3,-1,loss,2391007,769,2472414,2023,2472414.0,2472414.0,1.0
0,0,0.0,0,0,0,2,1,0,0,02/19/2023,neutral,16340,87,Butler,9,True,10,9,1,win,2390960,222,2310974,2023,2310974.0,2310974.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/17/2023,away,16340,90,Cal Poly,9,True,5,15,-10,loss,2390444,669,2802552,2023,2802552.0,2802552.0,1.0
1,2,3.0,0,0,0,0,0,0,0,02/18/2023,home,16340,694,Tennessee,9,True,4,3,1,win,2390812,1104,2467025,2023,2467025.0,2467025.0,1.0
2,1,3.0,0,0,0,0,0,0,0,02/19/2023,neutral,16340,418,Michigan,9,True,4,6,-2,loss,2390884,1104,2467025,2023,2467025.0,2467025.0,1.0
0,1,2.0,1,0,0,0,0,0,0,02/20/2023,home,16340,416,Michigan St.,9,True,1,7,-6,loss,2391067,1104,2467025,2023,2467025.0,2467025.0,1.0
1,0,2.0,1,0,0,0,0,0,0,02/17/2023,neutral,16340,164,UConn,9,True,3,0,3,win,2390491,518,2496962,2023,2496962.0,2496962.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/17/2023,away,16340,99,Long Beach St.,9,True,0,2,-2,loss,2390440,782,2332243,2023,2332243.0,2332243.0,1.0
4,0,4.0,0,0,0,0,0,0,0,02/18/2023,away,16340,99,Long Beach St.,9,True,5,6,-1,loss,2390803,782,2332243,2023,2332243.0,2332243.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,away,16340,99,Long Beach St.,9,True,11,6,5,win,2390967,782,2332243,2023,2332243.0,2332243.0,1.0
0,4,4.0,0,0,0,2,0,0,0,02/20/2023,away,16340,483,Nicholls,9,True,2,9,-7,loss,2391075,30136,2652026,2023,2652026.0,2652026.0,1.0
1,2,3.0,0,0,0,0,0,0,0,02/17/2023,away,16340,101,CSUN,9,True,5,20,-15,loss,2390354,683,2137383,2023,2137383.0,2137383.0,1.0
0,1,2.0,1,0,0,0,0,0,0,02/18/2023,away,16340,101,CSUN,9,True,4,14,-10,loss,2390740,683,2137383,2023,2137383.0,2137383.0,1.0
1,3,4.0,0,0,0,0,0,0,0,02/19/2023,away,16340,101,CSUN,9,True,2,8,-6,loss,2390994,683,2137383,2023,2137383.0,2137383.0,1.0
10,1,11.0,0,0,0,0,0,2,0,02/17/2023,home,16340,503,NIU,9,True,16,2,14,win,2390373,527,2133668,2023,2133668.0,2133668.0,1.0
5,1,6.0,0,0,0,0,0,3,0,02/18/2023,home,16340,503,NIU,9,True,8,2,6,win,2390764,527,2133668,2023,2133668.0,2133668.0,1.0
8,0,8.0,0,0,0,0,0,1,0,02/18/2023,home,16340,503,NIU,10,True,3,2,1,win,2408283,527,2133668,2023,2133668.0,2133668.0,1.0
10,1,11.0,0,0,0,0,0,2,0,02/19/2023,home,16340,503,NIU,9,True,6,1,5,win,2390989,527,2133668,2023,2133668.0,2133668.0,1.0
1,1,2.0,0,0,0,0,0,0,0,02/17/2023,home,16340,392,Maryland,9,True,8,7,1,win,2390476,651,2305376,2023,2305376.0,2305376.0,1.0
0,0,1.0,1,0,0,1,0,0,0,02/21/2023,home,16340,235,Florida,9,True,1,6,-5,loss,2391082,651,2305376,2023,2305376.0,2305376.0,1.0
0,0,0.0,0,0,0,2,0,0,0,02/19/2023,neutral,16340,220,Fairfield,9,True,9,14,-5,loss,2390897,419,2823205,2023,2823205.0,2823205.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/17/2023,away,16340,30095,Utah Tech,9,True,17,3,14,win,2390473,551,2311303,2023,2311303.0,2311303.0,1.0
0,0,1.0,1,0,0,0,0,0,0,02/18/2023,away,16340,30095,Utah Tech,9,True,6,4,2,win,2390774,551,2311303,2023,2311303.0,2311303.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/19/2023,away,16340,30095,Utah Tech,9,True,1,11,-10,loss,2390964,551,2311303,2023,2311303.0,2311303.0,1.0
10,1,11.0,0,0,0,0,0,1,0,02/17/2023,home,16340,392,Maryland,9,True,8,7,1,win,2390476,651,2305362,2023,2305362.0,2305362.0,1.0
10,0,10.0,0,0,0,0,0,2,0,02/18/2023,home,16340,392,Maryland,9,True,1,8,-7,loss,2390734,651,2305362,2023,2305362.0,2305362.0,1.0
11,2,13.0,0,0,0,0,0,1,0,02/19/2023,home,16340,392,Maryland,9,True,5,9,-4,loss,2390985,651,2305362,2023,2305362.0,2305362.0,1.0
9,2,11.0,0,0,0,0,0,1,0,02/21/2023,home,16340,235,Florida,9,True,1,6,-5,loss,2391082,651,2305362,2023,2305362.0,2305362.0,1.0
2,2,4.0,0,0,0,0,0,0,0,02/17/2023,away,16340,430,Mississippi St.,9,True,2,11,-9,loss,2390246,741,2327855,2023,2327855.0,2327855.0,1.0
1,3,5.0,1,0,0,0,0,0,0,02/18/2023,away,16340,430,Mississippi St.,9,True,14,13,1,win,2390494,741,2327855,2023,2327855.0,2327855.0,1.0
0,2,4.0,2,0,0,0,0,0,0,02/19/2023,away,16340,430,Mississippi St.,9,True,3,9,-6,loss,2390814,741,2327855,2023,2327855.0,2327855.0,1.0
1,1,2.0,0,0,0,0,0,1,0,02/18/2023,home,16340,659,Southern Ill.,9,True,8,7,1,win,2390724,2915,2815953,2023,2815953.0,2815953.0,1.0
4,2,6.0,0,0,0,1,2,1,0,02/18/2023,home,16340,603,St. John's (NY),9,True,7,5,2,win,2390744,523,2825648,2023,2825648.0,2825648.0,1.0
5,1,6.0,0,0,0,0,0,0,0,02/17/2023,away,16340,1045,DBU,9,True,0,8,-8,loss,2390475,236,2154817,2023,2154817.0,2154817.0,1.0
4,0,4.0,0,0,0,0,0,0,0,02/18/2023,away,16340,1045,DBU,9,True,5,19,-14,loss,2390733,236,2154817,2023,2154817.0,2154817.0,1.0
6,1,7.0,0,0,0,0,0,0,0,02/19/2023,away,16340,1045,DBU,9,True,1,13,-12,loss,2390918,236,2154817,2023,2154817.0,2154817.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/19/2023,home,16340,782,Wichita St.,9,True,6,11,-5,loss,2390967,99,2799380,2023,2799380.0,2799380.0,1.0
0,2,2.0,0,0,0,0,0,0,0,02/19/2023,away,16340,1014,Col. of Charleston,9,True,15,2,13,win,2390825,742,2303049,2023,2303049.0,2303049.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,neutral,16340,220,Fairfield,9,True,9,14,-5,loss,2390897,419,2655173,2023,2655173.0,2655173.0,1.0
7,0,7.0,0,0,0,0,0,2,0,02/17/2023,home,16340,741,VMI,9,True,11,2,9,win,2390246,430,2680982,2023,2680982.0,2680982.0,1.0
4,1,6.0,1,0,0,0,0,0,0,02/18/2023,home,16340,741,VMI,9,True,13,14,-1,loss,2390494,430,2680982,2023,2680982.0,2680982.0,1.0
1,4,5.0,0,0,0,0,0,1,0,02/18/2023,away,16340,61,Bethune-Cookman,10,True,6,7,-1,loss,2390805,352,2811472,2023,2811472.0,2811472.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,home,16340,741,VMI,9,True,11,2,9,win,2390246,430,2680996,2023,2680996.0,2680996.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/18/2023,home,16340,392,Maryland,9,True,1,8,-7,loss,2390734,651,2660862,2023,2660862.0,2660862.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,home,16340,392,Maryland,9,True,5,9,-4,loss,2390985,651,2660862,2023,2660862.0,2660862.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/21/2023,home,16340,235,Florida,9,True,1,6,-5,loss,2391082,651,2660862,2023,2660862.0,2660862.0,1.0
0,0,0.0,0,0,0,1,0,0,0,02/19/2023,home,16340,71,Bowling Green,9,True,4,10,-6,loss,2391032,692,2825099,2023,2825099.0,2825099.0,1.0
0,1,2.0,1,0,0,0,0,0,0,02/18/2023,away,16340,769,Western Caro.,9,True,6,11,-5,loss,2407905,5,2673188,2023,2673188.0,2673188.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,home,16340,768,West Virginia,9,True,4,3,1,win,2390474,253,2464458,2023,2464458.0,2464458.0,1.0
7,0,7.0,0,0,0,0,0,0,0,02/19/2023,home,16340,768,West Virginia,9,True,4,13,-9,loss,2390975,253,2464458,2023,2464458.0,2464458.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/21/2023,home,16340,255,Georgia Tech,9,True,6,8,-2,loss,2391184,253,2464458,2023,2464458.0,2464458.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/18/2023,neutral,16340,703,Texas,9,True,6,5,1,win,2390576,434,2489088,2023,2489088.0,2489088.0,1.0
0,0,1.0,1,0,0,0,0,0,0,02/17/2023,away,16340,19651,High Point,10,True,2,6,-4,loss,2390408,81,2137585,2023,2137585.0,2137585.0,1.0
1,2,3.0,0,0,0,0,0,0,0,02/18/2023,away,16340,19651,High Point,9,True,6,7,-1,loss,2390725,81,2137585,2023,2137585.0,2137585.0,1.0
2,2,6.0,2,0,0,0,0,1,0,02/19/2023,away,16340,19651,High Point,9,True,5,10,-5,loss,2390973,81,2137585,2023,2137585.0,2137585.0,1.0
15,1,16.0,0,0,0,1,0,0,0,02/17/2023,neutral,16340,521,Oklahoma St.,9,True,3,5,-2,loss,2390309,434,2477424,2023,2477424.0,2477424.0,1.0
11,0,11.0,0,0,0,2,0,0,0,02/18/2023,neutral,16340,703,Texas,9,True,6,5,1,win,2390576,434,2477424,2023,2477424.0,2477424.0,1.0
2,0,2.0,0,0,1,0,0,0,0,02/19/2023,neutral,16340,698,TCU,10,True,9,8,1,win,2391063,434,2477424,2023,2477424.0,2477424.0,1.0
10,1,11.0,0,0,0,1,1,0,0,02/17/2023,away,16340,541,Pepperdine,9,True,0,9,-9,loss,2390256,67,2118572,2023,2118572.0,2118572.0,1.0
8,1,9.0,0,0,0,0,1,0,0,02/19/2023,away,16340,541,Pepperdine,9,True,18,6,12,win,2390823,67,2118572,2023,2118572.0,2118572.0,1.0
0,0,0.0,0,0,0,1,1,0,0,02/18/2023,home,16340,334,Kentucky,9,True,1,5,-4,loss,2390531,1068,2306938,2023,2306938.0,2306938.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/19/2023,home,16340,741,VMI,9,True,9,3,6,win,2390814,430,2801885,2023,2801885.0,2801885.0,1.0
15,2,17.0,0,0,2,4,0,0,0,02/17/2023,home,16340,248,George Mason,9,True,2,8,-6,loss,2390478,231,2816447,2023,2816447.0,2816447.0,1.0
3,0,3.0,0,0,0,4,0,0,0,02/19/2023,home,16340,248,George Mason,9,True,2,5,-3,loss,2390998,231,2816447,2023,2816447.0,2816447.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/18/2023,home,16340,444,Morehead St.,9,True,2,3,-1,loss,2407995,485,2677311,2023,2677311.0,2677311.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,away,16340,769,Western Caro.,9,True,14,12,2,win,2390417,5,2496157,2023,2496157.0,2496157.0,1.0
8,0,8.0,0,0,0,0,0,0,0,02/18/2023,away,16340,769,Western Caro.,9,True,6,11,-5,loss,2407905,5,2496157,2023,2496157.0,2496157.0,1.0
0,0,0.0,0,0,0,1,1,0,0,02/18/2023,home,16340,140,Cincinnati,9,True,3,2,1,win,2408010,254,2136664,2023,2136664.0,2136664.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,away,16340,101,CSUN,9,True,5,20,-15,loss,2390354,683,2459054,2023,2459054.0,2459054.0,1.0
0,1,1.0,0,0,0,0,0,0,0,02/18/2023,away,16340,101,CSUN,9,True,4,14,-10,loss,2390740,683,2459054,2023,2459054.0,2459054.0,1.0
0,0,1.0,1,0,0,0,0,0,0,02/19/2023,away,16340,101,CSUN,9,True,2,8,-6,loss,2390994,683,2459054,2023,2459054.0,2459054.0,1.0
0,0,2.0,2,0,0,0,0,0,0,02/17/2023,away,16340,655,Southeastern La.,9,True,4,15,-11,loss,2390441,342,2660679,2023,2660679.0,2660679.0,1.0
6,1,7.0,0,0,0,0,0,1,0,02/19/2023,away,16340,655,Southeastern La.,9,True,4,11,-7,loss,2390970,342,2660679,2023,2660679.0,2660679.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/18/2023,home,16340,444,Morehead St.,9,True,6,7,-1,loss,2390671,485,2677305,2023,2677305.0,2677305.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/18/2023,home,16340,444,Morehead St.,9,True,2,3,-1,loss,2407995,485,2677305,2023,2677305.0,2677305.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/19/2023,home,16340,444,Morehead St.,9,True,6,18,-12,loss,2420235,485,2677305,2023,2677305.0,2677305.0,1.0
5,0,5.0,0,0,0,0,0,0,0,02/17/2023,home,16340,6,Alabama A&M,9,True,4,5,-1,loss,2390445,17,2510468,2023,2510468.0,2510468.0,1.0
4,0,4.0,0,0,0,0,0,0,0,02/18/2023,home,16340,6,Alabama A&M,9,True,5,9,-4,loss,2390778,17,2510468,2023,2510468.0,2510468.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,away,16340,676,SFA,9,True,7,6,1,win,2390483,327,2650792,2023,2650792.0,2650792.0,1.0
3,0,3.0,0,0,0,0,0,0,0,02/18/2023,away,16340,676,SFA,9,True,8,4,4,win,2390754,327,2650792,2023,2650792.0,2650792.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/19/2023,away,16340,676,SFA,9,True,14,8,6,win,2391018,327,2650792,2023,2650792.0,2650792.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/20/2023,away,16340,676,SFA,9,True,16,5,11,win,2391081,327,2650792,2023,2650792.0,2650792.0,1.0
0,1,1.0,0,0,0,0,0,1,0,02/18/2023,away,16340,14927,Belmont,9,True,4,2,2,win,2390548,695,2469801,2023,2469801.0,2469801.0,1.0
1,1,2.0,0,0,0,0,0,0,0,02/18/2023,away,16340,14927,Belmont,9,True,7,3,4,win,2408867,695,2469801,2023,2469801.0,2469801.0,1.0
0,2,2.0,0,0,0,0,0,0,0,02/19/2023,away,16340,14927,Belmont,9,True,4,11,-7,loss,2390259,695,2469801,2023,2469801.0,2469801.0,1.0
0,5,5.0,0,0,0,0,0,0,0,02/19/2023,away,16340,14927,Belmont,9,True,2,4,-2,loss,2390824,695,2469801,2023,2469801.0,2469801.0,1.0
