season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2023,16340,7,2821724,1.0,1,1.0,0,1,0,0.0,0,3.3333333333333335,0,3,3,0,0,0,4,0,3,0,0,3,14,10,0,0,0,0,1,6,2,0.0,0.0,8.1,68.0,4.8602527552019055,1.2,0.0,0.0,10.799999999999999,8.1,0.75,8.1
2023,16340,7,2821793,1.0,2,0.0,0,0,0,0.0,0,1.3333333333333333,0,3,3,0,0,0,3,0,1,0,0,0,7,4,1,0,0,0,2,1,1,0.0,,20.25,27.0,8.310252755201907,2.25,0.0,0.0,20.25,6.75,0.3333333333333333,20.25
2023,16340,7,2821819,1.0,1,0.0,0,0,0,0.0,0,2.6666666666666665,3,3,3,1,1,0,0,0,3,1,0,0,12,11,0,0,0,0,2,3,1,0.0,,10.125,55.0,1.935252755201906,1.125,10.125,0.0,0.0,10.125,,10.125
2023,16340,8,2120975,1.0,1,1.0,1,0,0,0.0,0,4.0,6,1,1,0,0,0,0,0,3,0,0,0,16,16,0,0,0,0,2,5,0,0.0,1.0,2.25,246.0,1.560252755201906,1.5,13.5,0.0,0.0,6.75,,2.25
2023,16340,8,2473788,1.0,2,0.0,0,0,0,0.0,0,1.3333333333333333,0,0,0,0,0,0,1,0,3,0,0,0,5,4,0,0,0,0,1,0,0,0.0,,0.0,,0.8102527552019061,0.75,0.0,0.0,6.75,20.25,3.0,0.0
2023,16340,8,2476418,1.0,1,1.0,1,0,0,0.0,0,5.0,1,1,0,1,0,0,3,0,8,0,0,1,20,17,0,0,0,0,3,4,0,0.0,1.0,0.0,,1.6602527552019062,0.8,1.8,0.0,5.3999999999999995,14.4,2.6666666666666665,1.8
2023,16340,8,2488941,1.0,1,0.0,0,0,0,0.0,0,2.0,1,1,1,0,0,1,0,0,2,0,0,0,7,7,0,0,0,0,4,0,1,0.0,,4.5,123.0,7.5602527552019065,0.5,4.5,4.5,0.0,9.0,,4.5
2023,16340,8,2660047,1.0,1,0.0,0,0,0,0.0,0,1.3333333333333333,2,2,0,0,0,0,1,0,1,0,0,0,8,7,0,0,0,0,2,1,0,0.0,,0.0,,3.810252755201906,2.25,13.5,0.0,6.75,6.75,1.0,13.5
2023,16340,8,2660081,1.0,1,1.0,1,0,0,0.0,0,6.0,3,0,0,0,0,0,0,0,6,0,0,0,21,20,0,0,1,0,7,5,2,0.0,1.0,0.0,,1.060252755201906,0.5,4.5,0.0,0.0,9.0,,0.0
2023,16340,8,2660087,1.0,2,1.0,1,0,0,0.0,0,5.0,5,2,2,0,0,2,2,0,2,0,0,1,22,20,0,0,0,0,7,5,0,0.0,1.0,3.6,154.0,8.660252755201906,1.4,9.0,3.6,3.6,3.6,1.0,3.6
2023,16340,8,2660089,1.0,1,0.0,0,0,1,0.0,0,2.6666666666666665,1,0,0,0,0,0,0,0,1,0,0,0,9,8,0,0,0,1,2,5,1,0.0,,0.0,,2.310252755201906,0.375,3.375,0.0,0.0,3.375,,0.0
2023,16340,8,2660113,1.0,1,0.0,0,0,0,0.0,0,0.6666666666666666,0,0,0,0,0,0,3,0,1,0,0,0,5,2,0,0,0,0,1,0,0,0.0,,0.0,,13.560252755201907,4.5,0.0,0.0,40.5,13.5,0.3333333333333333,0.0
2023,16340,8,2660130,1.0,2,0.0,1,0,0,0.0,0,4.0,1,1,1,0,0,1,1,0,7,0,0,0,13,12,0,0,0,0,2,2,2,0.0,1.0,2.25,246.0,3.560252755201906,0.5,2.25,2.25,2.25,15.75,7.0,2.25
2023,16340,8,2665729,1.0,1,1.0,0,0,0,0.0,0,3.0,2,0,0,0,0,0,2,0,3,0,0,0,13,11,0,0,0,0,2,4,1,0.0,,0.0,,3.060252755201906,1.3333333333333333,6.0,0.0,6.0,9.0,1.5,0.0
2023,16340,8,2813196,1.0,1,0.0,0,0,0,0.0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,2,4,0,0.0,,0.0,,3.060252755201906,0.5,4.5,0.0,0.0,0.0,,0.0
2023,16340,8,2813202,1.0,1,0.0,0,0,0,0.0,0,2.0,2,0,0,0,0,0,0,0,4,0,0,0,8,8,0,0,0,0,1,1,1,0.0,,0.0,,-0.9397472447980939,1.0,9.0,0.0,0.0,18.0,,0.0
2023,16340,8,2813209,1.0,2,0.0,0,0,0,0.0,0,2.0,2,1,1,0,0,0,2,0,4,1,0,1,11,8,0,0,0,0,1,1,1,0.0,,4.5,123.0,3.560252755201906,2.0,9.0,0.0,9.0,18.0,2.0,4.5
2023,16340,9,2118738,1.0,1,0.0,1,0,0,0.0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,0,0.0,1.0,0.0,,3.060252755201906,0.0,0.0,0.0,0.0,0.0,,0.0
2023,16340,9,2310209,1.0,1,0.0,0,0,0,0.0,0,0.3333333333333333,1,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0.0,,27.0,21.0,42.06025275520191,3.0,27.0,27.0,0.0,0.0,,27.0
2023,16340,9,2475665,1.0,1,0.0,0,0,1,0.0,0,2.0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,0,0,0,0,2,1,0,0.0,,0.0,,0.060252755201906094,0.0,0.0,0.0,0.0,13.5,,0.0
2023,16340,9,2475769,1.0,1,0.0,0,0,0,0.0,0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,1,1,1,0,0.0,,0.0,,3.060252755201906,1.5,13.5,0.0,0.0,0.0,,0.0
2023,16340,9,2665712,1.0,2,0.0,0,0,0,0.0,0,2.0,3,3,3,0,0,1,1,0,1,1,0,0,11,8,2,0,1,0,3,2,0,0.0,,13.5,41.0,11.560252755201907,2.0,13.5,4.5,4.5,4.5,1.0,13.5
2023,16340,9,2665728,1.0,1,1.0,0,0,0,0.0,0,2.0,3,1,1,0,0,0,3,0,1,0,0,1,11,8,0,0,0,0,1,3,1,0.0,,4.5,123.0,6.5602527552019065,3.0,13.5,0.0,13.5,4.5,0.3333333333333333,4.5
2023,16340,9,2665730,1.0,1,1.0,0,0,0,0.0,0,3.3333333333333335,8,4,4,4,1,0,1,0,3,1,0,0,19,15,0,0,2,0,5,2,0,0.0,,10.799999999999999,51.0,3.060252755201906,2.6999999999999997,21.599999999999998,0.0,2.6999999999999997,8.1,3.0,10.799999999999999
2023,16340,9,2665731,1.0,1,1.0,0,0,0,0.0,0,5.0,3,2,2,1,0,0,2,0,7,0,0,0,20,18,0,0,0,0,0,8,3,0.0,,3.6,154.0,1.460252755201906,1.0,5.3999999999999995,0.0,3.6,12.6,3.5,3.6
2023,16340,9,2665732,1.0,1,0.0,0,1,0,0.0,0,1.3333333333333333,2,1,1,1,0,0,0,0,1,0,0,0,6,6,0,0,0,0,3,0,0,0.0,0.0,6.75,82.0,1.560252755201906,1.5,13.5,0.0,0.0,6.75,,6.75
2023,16340,9,2825211,1.0,2,0.0,0,0,0,0.0,0,1.0,2,5,3,1,0,0,2,0,0,1,0,0,8,3,0,0,1,1,1,1,0,0.0,,27.0,21.0,12.060252755201907,4.0,18.0,0.0,18.0,0.0,0.0,45.0
2023,16340,9,2825214,1.0,1,0.0,0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,0,0,0,1,1,0,0.0,,0.0,,6.0602527552019065,0.0,0.0,0.0,0.0,0.0,,0.0
2023,16340,9,2825249,1.0,1,0.0,0,0,0,0.0,0,0.3333333333333333,2,1,1,0,0,0,1,0,0,0,0,0,4,3,1,1,0,0,1,0,0,0.0,,27.0,21.0,12.060252755201907,9.0,54.0,0.0,27.0,0.0,0.0,27.0
2023,16340,9,2825252,1.0,1,0.0,0,0,0,0.0,0,0.6666666666666666,0,0,0,0,0,0,1,0,1,1,0,0,4,2,1,1,0,0,1,0,1,0.0,,0.0,,9.060252755201907,1.5,0.0,0.0,13.5,13.5,1.0,0.0
2023,16340,9,2825268,1.0,1,0.0,0,1,0,0.0,0,2.0,3,3,3,0,0,1,0,0,2,2,0,0,9,7,0,0,0,0,2,0,1,0.0,0.0,13.5,41.0,10.560252755201907,1.5,13.5,4.5,0.0,9.0,,13.5
2023,16340,9,2825272,1.0,1,0.0,0,0,0,0.0,0,0.6666666666666666,1,0,0,0,0,0,1,0,0,0,0,1,4,3,1,1,0,0,0,2,0,0.0,,0.0,,7.5602527552019065,3.0,13.5,0.0,13.5,0.0,0.0,0.0
2023,16340,28,2130880,1.0,2,0.0,1,0,0,0.0,0,3.666666666666667,3,1,0,1,1,0,1,0,6,2,0,0,18,15,4,2,0,0,3,2,1,0.0,1.0,0.0,,2.242070937020088,1.0909090909090908,7.363636363636363,0.0,2.454545454545454,14.727272727272727,6.0,2.454545454545454
2023,16340,28,2333550,1.0,2,0.0,1,0,0,0.0,0,4.0,3,0,0,1,0,0,0,0,1,2,0,0,16,14,0,0,0,0,4,6,1,0.0,1.0,0.0,,4.0602527552019065,0.75,6.75,0.0,0.0,2.25,,0.0
2023,16340,28,2345503,1.0,3,0.0,0,0,0,0.0,0,1.6666666666666665,2,0,0,0,0,0,0,0,0,0,0,0,6,6,5,1,0,0,1,3,0,0.0,,0.0,,3.060252755201906,1.2000000000000002,10.8,0.0,0.0,0.0,,0.0
2023,16340,28,2468048,1.0,2,2.0,1,0,0,0.0,0,6.333333333333333,4,0,0,2,0,0,2,0,6,1,0,1,26,23,0,0,0,0,8,4,0,0.0,1.0,0.0,,2.58656854467559,0.9473684210526316,5.68421052631579,0.0,2.842105263157895,8.526315789473685,3.0,0.0
2023,16340,28,2468765,1.0,3,0.0,0,0,0,0.0,0,3.0,3,0,0,1,0,0,1,0,3,0,0,1,13,12,0,0,0,0,5,0,0,0.0,,0.0,,2.060252755201906,1.3333333333333333,9.0,0.0,3.0,9.0,3.0,0.0
2023,16340,28,2478636,1.0,1,1.0,0,0,0,0.0,0,5.666666666666667,2,0,0,1,0,0,1,0,6,1,0,0,21,19,0,0,0,0,7,4,2,0.0,,0.0,,2.001429225790141,0.5294117647058824,3.176470588235294,0.0,1.588235294117647,9.529411764705882,6.0,0.0
2023,16340,28,2480191,1.0,1,1.0,1,0,0,0.0,0,5.0,2,0,0,1,0,0,3,0,6,0,0,0,20,17,0,0,0,0,3,6,1,0.0,1.0,0.0,,2.460252755201906,1.0,3.6,0.0,5.3999999999999995,10.799999999999999,2.0,0.0
2023,16340,28,2486550,1.0,1,1.0,0,0,0,0.0,0,3.0,1,0,0,0,0,0,1,0,3,1,0,1,13,11,0,0,0,0,3,3,1,0.0,,0.0,,3.060252755201906,0.6666666666666666,3.0,0.0,3.0,9.0,3.0,0.0
2023,16340,28,2487264,1.0,2,0.0,0,0,0,0.0,0,1.3333333333333333,3,3,3,1,0,0,2,0,2,0,0,0,9,7,0,0,0,0,0,2,0,0.0,,20.25,27.0,4.5602527552019065,3.75,20.25,0.0,13.5,13.5,1.0,20.25
2023,16340,28,2493691,1.0,4,0.0,1,0,2,0.0,0,1.6666666666666665,1,0,0,0,0,0,1,0,4,0,0,0,7,6,8,2,0,0,0,1,1,0.0,1.0,0.0,,0.06025275520190565,1.2000000000000002,5.4,0.0,5.4,21.6,4.0,0.0
2023,16340,28,2493695,1.0,2,0.0,0,0,0,0.0,0,2.6666666666666665,5,5,5,1,0,0,1,0,3,1,0,0,16,14,0,0,0,0,4,1,0,0.0,,16.875,33.0,3.060252755201906,2.25,16.875,0.0,3.375,10.125,3.0,16.875
2023,16340,28,2494402,1.0,2,0.0,0,0,0,0.0,0,7.0,9,6,6,1,0,0,6,0,3,1,0,1,34,27,0,0,0,0,7,8,1,0.0,,7.7142857142857135,72.0,5.203109898059049,2.142857142857143,11.571428571428573,0.0,7.7142857142857135,3.8571428571428568,0.5,7.7142857142857135
2023,16340,29,2129526,1.0,2,0.0,0,0,0,0.0,0,4.0,2,0,0,0,1,0,1,0,7,0,0,0,14,13,0,0,0,0,1,3,3,0.0,,0.0,,0.3102527552019061,0.75,4.5,0.0,2.25,15.75,7.0,0.0
2023,16340,29,2140075,1.0,1,0.0,0,0,0,0.0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0.0,,0.0,,3.060252755201906,0.0,0.0,0.0,0.0,0.0,,0.0
2023,16340,29,2308404,1.0,3,0.0,0,0,0,0.0,0,2.6666666666666665,1,0,0,0,0,0,0,0,3,0,0,0,9,9,4,0,0,0,2,3,1,0.0,,0.0,,0.8102527552019061,0.375,3.375,0.0,0.0,10.125,,0.0
2023,16340,29,2474951,1.0,2,2.0,1,0,0,0.0,0,11.666666666666668,12,5,5,3,0,1,2,0,12,4,0,0,53,45,0,0,1,1,12,10,4,0.0,1.0,3.8571428571428568,144.0,3.660252755201906,1.2,9.257142857142856,0.7714285714285714,1.5428571428571427,9.257142857142856,6.0,3.8571428571428568
2023,16340,29,2474960,1.0,3,0.0,1,1,1,0.0,0,4.0,7,4,4,1,0,0,0,0,3,0,0,0,18,18,0,0,0,0,6,2,1,0.0,0.5,9.0,62.0,1.560252755201906,1.75,15.75,0.0,0.0,6.75,,9.0
2023,16340,29,2654791,1.0,1,1.0,0,1,0,0.0,0,6.0,7,3,3,2,0,0,3,0,2,1,0,0,27,23,0,0,0,0,11,3,0,0.0,0.0,4.5,123.0,4.39358608853524,1.6666666666666667,10.5,0.0,4.5,3.0,0.6666666666666666,4.5
2023,16340,29,2654816,1.0,1,0.0,0,0,0,0.0,0,3.0,5,2,2,0,0,1,2,0,3,0,0,1,14,12,0,0,0,0,1,3,1,0.0,,6.0,92.0,7.393586088535239,2.3333333333333335,15.0,3.0,6.0,9.0,1.5,6.0
2023,16340,29,2654817,1.0,2,0.0,0,0,0,0.0,0,3.6666666666666665,3,2,1,0,0,0,1,0,4,0,0,0,16,14,0,0,0,1,4,3,1,0.0,,2.454545454545455,226.0,1.6966163915655423,1.090909090909091,7.363636363636364,0.0,2.454545454545455,9.81818181818182,4.0,4.90909090909091
2023,16340,29,2815046,1.0,2,0.0,0,0,0,0.0,0,2.333333333333333,2,1,1,0,0,0,1,0,1,0,0,0,10,6,3,1,2,1,4,2,0,0.0,,3.8571428571428577,144.0,3.4888241837733345,1.2857142857142858,7.714285714285715,0.0,3.8571428571428577,3.8571428571428577,1.0,3.8571428571428577
2023,16340,29,2815056,1.0,1,1.0,1,0,0,0.0,0,5.333333333333333,4,1,1,1,0,0,2,0,5,3,0,1,24,18,0,0,0,1,5,5,0,1.0,1.0,1.6875,328.0,3.997752755201906,1.125,6.75,0.0,3.375,8.4375,2.5,1.6875
2023,16340,29,2815059,1.0,1,1.0,0,0,0,0.0,0,4.0,6,3,3,0,0,0,1,0,4,1,0,0,20,17,0,0,1,0,7,1,1,0.0,,6.75,82.0,2.560252755201906,1.75,13.5,0.0,2.25,9.0,4.0,6.75
2023,16340,30,1977908,1.0,2,0.0,1,0,0,0.0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,4,0,0.0,1.0,0.0,,3.060252755201906,0.5,4.5,0.0,0.0,0.0,,0.0
2023,16340,30,2348522,1.0,1,0.0,0,0,0,0.0,0,1.3333333333333333,3,3,3,1,0,1,0,0,1,1,0,0,7,6,2,0,0,0,1,1,0,0.0,,20.25,27.0,13.560252755201907,2.25,20.25,6.75,0.0,6.75,,20.25
