App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
0,0.0,2.2,0.0,0,0,0,0,3,0,8,8,0,0,0,0,0,0,0,3,0,0,0,29.0,3,2,0,0,0,4,1,04/08/2017,away,12560,697,Texas A&M,9,True,3,6,-3,loss,217368,37,1868056,2017,,,
0,0.0,3.2,0.0,3,2,2,1,3,0,15,13,1,0,1,0,0,0,0,1,1,1,0,43.0,6,2,1,0,0,2,2,04/11/2017,away,12560,625,Samford,9,True,16,15,1,win,218683,37,1868056,2017,,,
0,0.0,0.2,0.0,2,2,2,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1,0,9.0,2,0,0,0,0,2,0,04/14/2017,away,12560,694,Tennessee,10,True,4,5,-1,loss,219286,37,1868056,2017,,,
0,0.0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0,0,5,0,04/18/2017,away,12560,1157,Kennesaw St.,9,True,15,7,8,win,220595,37,1868056,2017,,,
0,0.0,3.0,0.0,2,0,0,0,3,0,12,11,0,0,0,0,0,1,0,0,0,0,0,49.0,1,5,0,0,1,2,1,04/21/2017,home,12560,31,Arkansas,9,True,15,2,13,win,221253,37,1868056,2017,,,
0,0.0,1.0,0.0,4,3,3,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,19.0,1,0,0,0,0,2,0,04/23/2017,home,12560,31,Arkansas,9,True,11,6,5,win,222148,37,1868056,2017,,,
0,0.0,0.0,0.0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,10.0,0,0,0,0,0,2,0,04/29/2017,away,12560,430,Mississippi St.,9,True,17,8,9,win,223966,37,1868056,2017,,,
0,0.0,2.1,0.0,2,1,1,0,2,0,9,9,0,0,0,1,0,0,0,2,0,0,0,38.0,4,1,0,0,1,3,1,04/29/2017,away,12560,430,Mississippi St.,9,True,5,3,2,win,223981,37,1868056,2017,,,
0,0.0,1.0,0.0,2,0,0,1,0,0,6,4,0,0,0,0,0,1,0,2,2,0,0,14.0,1,1,0,0,0,3,0,05/06/2017,home,12560,8,Alabama,9,True,6,7,-1,loss,225344,37,1868056,2017,,,
0,0.0,1.1,0.0,1,0,0,0,2,0,6,5,0,0,0,0,0,0,0,2,1,1,0,16.0,1,1,0,0,0,4,1,05/07/2017,home,12560,8,Alabama,15,True,9,11,-2,loss,225479,37,1868056,2017,,,
0,0.0,0.1,0.0,1,1,1,0,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,6.0,0,0,0,0,0,2,1,05/09/2017,away,12560,9,UAB,9,True,2,8,-6,loss,225776,37,1868056,2017,,,
0,0.0,0.2,0.0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,11.0,0,2,0,0,0,3,0,05/12/2017,away,12560,365,LSU,9,True,3,5,-2,loss,226076,37,1868056,2017,,,
0,0.0,1.0,0.0,2,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,12.0,2,1,0,0,0,4,0,05/13/2017,away,12560,365,LSU,9,True,1,9,-8,loss,226326,37,1868056,2017,,,
0,0.0,1.2,0.0,5,3,3,1,2,0,11,9,1,0,0,0,0,0,0,1,1,1,0,39.0,3,0,0,1,0,2,0,05/20/2017,home,12560,433,Ole Miss,9,True,4,8,-4,loss,227176,37,1868056,2017,,,
0,0.0,3.2,0.0,4,1,1,2,6,0,16,14,0,0,0,0,0,0,0,1,0,0,0,0.0,3,1,0,1,0,2,0,05/24/2017,neutral,12560,235,Florida,9,True,4,5,-1,loss,227358,37,1868056,2017,,,
0,0.0,0.0,0.0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,1,0,0,0.0,0,0,0,0,0,4,0,06/04/2017,neutral,12560,234,Florida St.,10,True,7,8,-1,loss,227766,37,1868056,2017,,,
0,0.0,5.0,0.0,3,0,0,0,2,0,17,16,1,0,0,0,0,0,0,2,1,1,0,0.0,6,6,0,0,0,2,0,06/05/2017,home,12560,234,Florida St.,9,True,0,6,-6,loss,227778,37,1868056,2017,,,
0,0.0,0.2,0.0,2,1,1,0,1,0,5,3,1,0,0,0,0,1,0,0,0,0,1,0.0,0,1,0,0,0,6,0,02/17/2017,home,12560,86,Buffalo,9,True,2,10,-8,loss,205815,695,1868917,2017,,,
0,0.0,1.0,0.0,1,0,0,1,0,0,4,3,1,0,0,0,1,0,0,3,3,0,0,0.0,1,1,0,0,0,3,0,03/07/2017,home,12560,0,Bethel (TN),9,True,19,13,6,win,209549,695,1868917,2017,,,
0,0.0,2.0,0.0,2,2,2,1,3,0,9,8,1,0,0,0,0,0,0,0,0,0,0,33.0,2,1,0,0,0,4,1,03/17/2017,away,12560,654,Southeast Mo. St.,9,True,1,14,-13,loss,211705,695,1868917,2017,,,
