date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season,GS,pitches,CG,pickoffs
05/03/2014,home,11620,797,Milwaukee,9,True,15,7,8,win,15 - 7,606085,302,1,2.1,1,0,0,0,1,0,9,8,0,0,0,0,0,1,0,1,0,0,0,22.0,2,4,0,0,0,2,1,1070921,2014,,,,
05/07/2014,home,11620,509,Northwestern,9,True,4,8,-4,loss,4 - 8,606972,302,1,1.2,2,1,1,0,1,0,8,7,0,0,1,0,0,1,0,1,0,0,0,26.0,2,2,0,0,0,3,1,1070921,2014,,,,
05/09/2014,away,11620,817,Youngstown St.,9,True,8,9,-1,loss,8 - 9,607345,302,1,1.0,1,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,20.0,0,2,0,0,0,2,1,1070921,2014,,,,
05/11/2014,away,11620,817,Youngstown St.,9,True,8,2,6,win,8 - 2,607753,302,1,0.2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,1,0,1,13.0,0,2,0,0,0,2,0,1070921,2014,,,,
05/15/2014,home,11620,514,Oakland,9,True,2,7,-5,loss,2 - 7,607923,302,1,1.0,4,3,3,1,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,28.0,1,2,0,0,0,3,0,1070921,2014,,,,
05/17/2014,home,11620,514,Oakland,9,True,0,3,-3,loss,0 - 3,608270,302,1,0.2,2,0,0,0,1,0,4,4,0,0,0,0,0,0,0,1,1,0,0,10.0,1,0,0,0,0,4,1,1070921,2014,,,,
02/22/2014,away,11620,9,UAB,9,True,0,4,-4,loss,0 - 4,588090,817,1,1.1,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0.0,2,0,0,0,0,4,1,1080801,2014,,,,
02/23/2014,away,11620,9,UAB,9,True,3,7,-4,loss,3 - 7,588557,817,1,1.0,1,0,0,0,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,4,1,1080801,2014,,,,
02/26/2014,away,11620,7,Alabama St.,9,True,3,8,-5,loss,3 - 8,588892,817,1,1.1,1,1,1,0,1,0,4,4,0,0,0,0,0,0,0,2,0,0,0,18.0,1,1,0,0,0,4,0,1080801,2014,,,,
02/28/2014,home,11620,27,App State,9,True,2,1,1,win,2 - 1,589127,817,1,2.0,1,0,0,1,3,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,2,1,1080801,2014,,,,
03/08/2014,home,11620,204,Eastern Mich.,10,True,5,4,1,win,5 - 4,590888,817,1,2.1,1,1,1,0,3,0,9,8,0,0,1,0,0,1,0,1,0,0,0,0.0,1,3,0,0,0,3,2,1080801,2014,,,,
03/08/2014,away,11620,140,Cincinnati,9,True,0,1,-1,loss,0 - 1,590617,817,1,1.1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,14.0,0,4,0,0,0,2,0,1080801,2014,,,,
03/11/2014,home,11620,202,Eastern Ky.,9,True,14,19,-5,loss,14 - 19,591845,817,1,1.0,1,1,1,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,14.0,1,1,0,0,0,5,0,1080801,2014,,,,
03/18/2014,away,11620,545,Pittsburgh,9,True,1,12,-11,loss,1 - 12,593561,817,1,1.0,0,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0,0,0,7.0,1,1,0,0,0,5,1,1080801,2014,,,,
03/26/2014,away,11620,519,Ohio,9,True,11,4,7,win,11 - 4,595615,817,1,1.0,3,0,0,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,4,0,1080801,2014,,,,
03/28/2014,home,11620,810,Wright St.,9,True,2,4,-2,loss,2 - 4,596060,817,1,2.0,4,1,1,1,1,0,10,9,1,0,1,0,0,0,0,2,0,0,0,0.0,2,2,0,0,0,2,1,1080801,2014,,,,
04/02/2014,home,11620,545,Pittsburgh,9,True,7,6,1,win,7 - 6,597531,817,1,1.2,0,0,0,1,2,0,6,5,0,0,0,0,0,0,0,0,0,0,0,26.0,1,2,0,0,0,4,1,1080801,2014,,,,
04/06/2014,away,11620,302,UIC,10,True,5,6,-1,loss,5 - 6,598695,817,1,1.1,2,2,2,1,1,0,7,6,0,0,1,0,0,0,0,0,0,0,0,27.0,3,0,0,0,0,3,1,1080801,2014,,,,
04/08/2014,home,11620,331,Kent St.,9,True,7,11,-4,loss,7 - 11,599314,817,1,1.1,4,4,4,0,2,0,8,7,0,0,0,0,0,0,0,3,1,0,1,31.0,1,1,0,1,0,4,1,1080801,2014,,,,
04/11/2014,away,11620,735,Valparaiso,9,True,7,10,-3,loss,7 - 10,599914,817,1,0.2,2,3,2,2,0,0,7,5,0,0,0,1,1,0,0,1,1,0,0,35.0,1,1,0,0,0,3,0,1080801,2014,,,,
04/17/2014,home,11620,514,Oakland,9,True,5,4,1,win,5 - 4,601890,817,1,2.0,1,0,0,2,1,0,8,4,0,0,0,0,0,0,1,0,0,2,0,26.0,2,2,1,0,0,4,0,1080801,2014,,,,
04/19/2014,home,11620,514,Oakland,9,True,5,0,5,win,5 - 0,603028,817,1,0.2,0,0,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,17.0,0,1,0,0,0,2,0,1080801,2014,,,,
04/23/2014,away,11620,116,Canisius,9,True,6,7,-1,loss,6 - 7,603676,817,1,1.1,0,0,0,2,1,0,6,4,0,0,0,1,0,0,0,2,0,0,0,26.0,2,1,0,0,0,4,1,1080801,2014,,,,
04/27/2014,away,11620,797,Milwaukee,9,True,5,2,3,win,5 - 2,605046,817,1,3.0,0,0,0,0,1,0,9,8,0,0,0,0,0,0,0,2,1,0,1,35.0,3,5,1,0,0,3,1,1080801,2014,,,,
04/30/2014,away,11620,331,Kent St.,9,True,5,4,1,win,5 - 4,605562,817,1,0.2,0,0,0,1,2,0,5,4,0,0,0,0,0,0,0,3,2,0,0,27.0,0,0,0,0,0,4,1,1080801,2014,,,,
05/04/2014,away,11620,810,Wright St.,9,True,3,7,-4,loss,3 - 7,606629,817,1,1.2,3,1,1,0,0,0,7,6,0,0,0,0,0,0,0,3,1,0,1,25.0,0,4,0,0,0,4,0,1080801,2014,,,,
05/10/2014,home,11620,302,UIC,9,True,2,1,1,win,2 - 1,607599,817,1,2.0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,30.0,2,3,1,0,0,3,1,1080801,2014,,,,
05/11/2014,home,11620,302,UIC,9,True,2,8,-6,loss,2 - 8,607753,817,1,1.0,0,0,0,0,2,0,4,3,0,0,0,1,0,1,0,0,0,0,0,20.0,1,0,0,0,0,2,2,1080801,2014,,,,
05/16/2014,home,11620,735,Valparaiso,9,True,3,5,-2,loss,3 - 5,608210,817,1,1.1,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14.0,1,2,0,0,0,3,1,1080801,2014,,,,
05/17/2014,home,11620,735,Valparaiso,9,True,1,9,-8,loss,1 - 9,608403,817,1,1.0,0,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0,0,0,18.0,0,2,0,0,0,3,0,1080801,2014,,,,
05/21/2014,home,11620,735,Valparaiso,9,True,7,3,4,win,7 - 3,608526,817,1,1.1,1,2,2,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,29.0,1,3,0,0,0,3,0,1080801,2014,,,,
05/23/2014,home,11620,797,Milwaukee,9,True,11,5,6,win,11 - 5,608687,817,1,2.0,3,4,4,2,2,0,11,8,2,0,0,0,0,0,0,0,0,0,1,44.0,1,3,0,0,0,2,1,1080801,2014,,,,
05/30/2014,away,11620,306,Indiana,9,True,2,10,-8,loss,2 - 10,608845,817,1,1.0,2,1,1,1,1,0,7,5,0,1,0,0,0,1,0,0,0,0,0,30.0,1,1,0,0,0,4,0,1080801,2014,,,,
05/31/2014,home,11620,305,Indiana St.,9,True,5,2,3,win,5 - 2,608887,817,1,1.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,17.0,0,3,0,0,1,3,0,1080801,2014,,,,
06/01/2014,home,11620,674,Stanford,9,True,4,12,-8,loss,4 - 12,608923,817,1,1.0,2,2,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,21.0,2,1,0,0,0,4,0,1080801,2014,,,,
02/14/2014,home,11620,328,Kansas,9,True,4,10,-6,loss,4 - 10,586973,77,1,0.2,1,2,2,1,0,0,4,3,0,0,0,0,1,0,0,1,0,0,0,14.0,1,1,0,1,0,3,0,1081353,2014,,,,
02/15/2014,home,11620,328,Kansas,9,True,0,2,-2,loss,0 - 2,587260,77,1,0.2,1,1,1,1,0,0,4,3,1,0,0,1,1,0,0,0,0,0,0,17.0,0,2,0,0,0,2,0,1081353,2014,,,,
02/20/2014,away,11620,26172,A&M-Corpus Christi,9,True,1,3,-2,loss,1 - 3,587747,77,1,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,1081353,2014,,,,
02/28/2014,home,11620,1356,Seattle U,9,True,4,2,2,win,4 - 2,589166,77,1,0.1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,2,0,1081353,2014,,,,
03/10/2014,away,11620,1045,DBU,9,True,3,8,-5,loss,3 - 8,591464,77,1,1.1,1,1,1,1,1,0,6,5,1,0,0,0,0,0,0,2,0,0,0,27.0,2,1,0,0,0,3,0,1081353,2014,,,,
03/13/2014,home,11620,627,San Diego,9,True,7,14,-7,loss,7 - 14,592073,77,1,2.0,2,1,1,0,1,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,0,0,0,5,1,1081353,2014,,,,
03/19/2014,away,11620,96,Fresno St.,9,True,1,2,-1,loss,1 - 2,593723,77,1,0.1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1,0,0,0,0,2,0,1081353,2014,,,,
04/11/2014,away,11620,541,Pepperdine,9,True,4,6,-2,loss,4 - 6,599782,77,1,2.1,0,0,0,0,2,0,7,7,0,0,0,0,1,0,0,1,0,0,0,0.0,2,3,0,0,0,3,0,1081353,2014,,,,
04/12/2014,away,11620,541,Pepperdine,9,True,1,9,-8,loss,1 - 9,600107,77,1,1.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,4,0,1081353,2014,,,,
04/17/2014,home,11620,370,LMU (CA),9,True,0,2,-2,loss,0 - 2,601692,77,1,2.0,1,0,0,0,1,0,7,6,0,0,0,0,1,0,0,1,0,1,0,32.0,3,2,0,0,0,2,0,1081353,2014,,,,
04/29/2014,away,11620,30024,Utah Valley,9,True,6,4,2,win,6 - 4,605388,77,1,1.0,1,0,0,2,1,0,6,4,0,0,0,0,0,0,0,2,0,0,0,27.0,0,2,0,0,0,4,0,1081353,2014,,,,
05/02/2014,home,11620,260,Gonzaga,9,True,3,4,-1,loss,3 - 4,605732,77,1,0.1,3,2,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,9.0,1,0,0,1,0,2,0,1081353,2014,,,,
05/06/2014,home,11620,732,Utah,9,True,10,12,-2,loss,10 - 12,606921,77,1,0.1,1,2,2,1,0,0,3,2,0,0,1,0,0,0,0,3,3,0,0,12.0,1,0,0,0,0,3,0,1081353,2014,,,,
05/08/2014,home,11620,631,Santa Clara,9,True,6,8,-2,loss,6 - 8,607042,77,1,1.0,3,3,1,0,2,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0.0,1,1,0,1,0,3,1,1081353,2014,,,,
05/16/2014,away,11620,551,Portland,9,True,6,3,3,win,6 - 3,608033,77,1,0.1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,2,0,1081353,2014,,,,
02/14/2014,home,11620,328,Kansas,9,True,4,10,-6,loss,4 - 10,586973,77,1,1.0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,13.0,2,1,0,0,0,6,0,1081357,2014,,,,
02/17/2014,home,11620,328,Kansas,9,True,1,10,-9,loss,1 - 10,587550,77,1,0.0,0,1,1,2,0,0,3,0,0,0,0,0,0,1,0,2,2,0,0,15.0,0,0,0,0,0,4,0,1081357,2014,,,,
02/21/2014,home,11620,698,TCU,9,True,0,10,-10,loss,0 - 10,587936,77,1,3.0,3,1,0,2,1,0,13,11,0,0,0,0,0,0,0,0,0,0,0,40.0,4,3,0,0,0,4,0,1081357,2014,,,,
03/07/2014,away,11620,483,Nicholls,9,True,2,10,-8,loss,2 - 10,590405,77,1,3.1,3,2,1,2,1,0,15,9,0,0,0,0,0,0,0,0,0,3,1,44.0,4,5,0,1,0,1,0,1081357,2014,,,,
03/13/2014,home,11620,627,San Diego,9,True,7,14,-7,loss,7 - 14,592073,77,1,2.0,3,3,3,2,0,0,13,7,0,0,0,0,0,3,0,0,0,0,1,0.0,2,3,0,0,0,2,0,1081357,2014,,,,
04/01/2014,home,11620,30024,Utah Valley,9,True,3,8,-5,loss,3 - 8,597096,77,1,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2.0,0,1,0,0,0,5,0,1081357,2014,,,,
05/08/2014,home,11620,631,Santa Clara,9,True,6,8,-2,loss,6 - 8,607042,77,1,1.1,1,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0.0,1,2,0,0,0,4,0,1081357,2014,,,,
05/09/2014,home,11620,631,Santa Clara,9,True,16,2,14,win,16 - 2,607204,77,1,2.0,1,1,1,2,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,2,0,1081357,2014,,,,
05/17/2014,away,11620,551,Portland,9,True,6,1,5,win,6 - 1,608221,77,1,0.2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8.0,0,2,0,0,0,3,0,1081357,2014,,,,
02/15/2014,home,11620,301,Illinois,9,True,13,19,-6,loss,13 - 19,587010,254,1,0.0,1,4,3,1,0,0,4,2,1,0,0,0,0,1,0,2,2,0,0,0.0,0,0,0,1,0,2,0,1082274,2014,,,,
02/18/2014,away,11620,632,Savannah St.,9,True,7,6,1,win,7 - 6,587571,254,1,1.0,3,2,1,1,2,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,2,1082274,2014,,,,
02/22/2014,away,11620,433,Ole Miss,9,True,1,9,-8,loss,1 - 9,588024,254,1,2.1,1,0,0,0,2,0,10,9,0,0,0,0,0,1,0,3,2,0,0,0.0,3,2,0,0,0,5,1,1082274,2014,,,,
03/02/2014,home,11620,505,Northern Ky.,9,True,13,2,11,win,13 - 2,589719,254,1,1.0,3,1,1,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,0,0,4,0,1082274,2014,,,,
03/08/2014,home,11620,812,Xavier,9,True,10,11,-1,loss,10 - 11,590616,254,1,2.2,3,1,1,2,1,0,15,11,0,0,1,1,0,2,0,0,0,0,0,0.0,5,2,0,0,0,3,0,1082274,2014,,,,
03/12/2014,home,11620,639,Siena,9,True,19,5,14,win,19 - 5,591951,254,1,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,3,1,1082274,2014,,,,
03/15/2014,home,11620,772,Western Ky.,9,True,3,4,-1,loss,3 - 4,592798,254,1,2.1,1,0,0,0,1,0,9,9,1,0,0,0,0,0,0,1,0,0,0,0.0,4,3,0,0,0,3,0,1082274,2014,,,,
03/19/2014,home,11620,255,Georgia Tech,9,True,4,9,-5,loss,4 - 9,593737,254,1,0.2,2,1,1,0,1,0,4,4,1,0,0,1,0,0,0,2,2,0,0,0.0,0,1,0,0,0,5,1,1082274,2014,,,,
03/22/2014,away,11620,671,Louisiana,9,True,6,14,-8,loss,6 - 14,594395,254,1,3.0,6,5,5,0,1,0,15,14,2,0,2,1,0,1,0,2,2,0,0,43.0,3,4,0,0,0,2,0,1082274,2014,,,,
03/26/2014,home,11620,6,Alabama A&M,9,True,19,6,13,win,19 - 6,595573,254,1,1.2,1,0,0,0,1,0,6,5,0,0,0,0,0,0,0,3,1,0,1,0.0,1,2,1,0,0,2,0,1082274,2014,,,,
03/29/2014,home,11620,716,Troy,9,True,6,3,3,win,6 - 3,596135,254,1,2.0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,1,3,0,1082274,2014,,,,
03/30/2014,home,11620,716,Troy,9,True,9,13,-4,loss,9 - 13,596560,254,1,1.0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,4,0,1082274,2014,,,,
04/04/2014,away,11620,32,Little Rock,9,True,7,14,-7,loss,7 - 14,597638,254,1,0.2,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,2,2,0,0,0.0,0,2,0,0,0,4,0,1082274,2014,,,,
04/06/2014,away,11620,32,Little Rock,9,True,2,9,-7,loss,2 - 9,598613,254,1,1.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,1,0,0,0.0,1,2,0,0,0,4,0,1082274,2014,,,,
04/09/2014,home,11620,406,Mercer,9,True,8,7,1,win,8 - 7,599424,254,1,1.0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0.0,1,0,0,0,0,3,1,1082274,2014,,,,
04/11/2014,home,11620,702,UT Arlington,9,True,11,10,1,win,11 - 10,599896,254,1,1.1,4,3,2,0,0,0,9,9,0,0,0,0,0,0,0,3,3,0,0,0.0,2,2,0,0,0,2,0,1082274,2014,,,,
04/20/2014,away,11620,670,Texas St.,9,True,1,4,-3,loss,1 - 4,603072,254,1,5.1,2,2,1,2,2,0,23,18,1,0,0,1,0,2,0,2,0,1,0,75.0,8,7,0,0,0,2,0,1082274,2014,,,,
04/27/2014,home,11620,30,Arkansas St.,9,True,6,10,-4,loss,6 - 10,604926,254,1,5.0,3,2,2,4,5,0,22,17,0,0,0,1,0,0,0,0,0,0,1,0.0,2,7,0,0,0,1,5,1082274,2014,,,,
05/04/2014,home,11620,646,South Alabama,9,True,15,10,5,win,15 - 10,606605,254,1,4.2,7,9,7,2,3,0,27,22,1,0,0,0,0,2,0,0,0,1,0,0.0,4,7,0,0,0,1,0,1082274,2014,,,,
05/11/2014,away,11620,498,ULM,9,True,1,11,-10,loss,1 - 11,607631,254,1,2.1,7,6,6,0,1,0,14,12,2,0,1,0,0,1,0,0,0,0,1,42.0,3,2,0,1,0,1,1,1082274,2014,,,,
05/17/2014,away,11620,772,Western Ky.,9,True,5,4,1,win,5 - 4,608237,254,1,1.2,2,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,16.0,0,3,0,0,0,2,2,1082274,2014,,,,
02/14/2014,home,11620,660,SIUE,9,True,6,1,5,win,6 - 1,586912,782,1,3.0,3,0,0,0,3,0,11,11,0,0,0,0,0,0,0,0,0,0,0,36.0,2,2,1,0,0,2,1,1082756,2014,,,,
02/18/2014,home,11620,1004,Central Ark.,9,True,9,6,3,win,9 - 6,587598,782,1,1.2,1,0,0,0,2,0,7,6,0,0,0,0,0,1,0,2,1,0,0,31.0,1,2,0,0,0,2,2,1082756,2014,,,,
02/21/2014,home,11620,164,UConn,10,True,1,2,-1,loss,1 - 2,587949,782,1,2.0,3,1,1,1,2,0,8,7,2,0,0,0,0,0,1,0,0,0,0,36.0,1,1,0,0,0,2,1,1082756,2014,,,,
02/24/2014,away,11620,149,Coastal Carolina,9,True,10,0,10,win,10 - 0,588739,782,1,1.2,2,0,0,0,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,32.0,2,0,0,0,0,2,1,1082756,2014,,,,
02/28/2014,home,11620,99,Long Beach St.,9,True,5,4,1,win,5 - 4,589091,782,1,0.1,3,3,3,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1,0,15.0,1,0,0,0,0,2,0,1082756,2014,,,,
03/07/2014,home,11620,676,SFA,9,True,0,1,-1,loss,0 - 1,590343,782,1,0.2,2,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,20.0,0,1,0,0,0,2,0,1082756,2014,,,,
03/09/2014,home,11620,676,SFA,9,True,6,0,6,win,6 - 0,591276,782,1,1.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12.0,1,2,0,0,0,2,0,1082756,2014,,,,
03/11/2014,away,11620,521,Oklahoma St.,9,True,6,4,2,win,6 - 4,591720,782,1,2.1,2,1,0,0,3,0,10,9,1,0,0,0,0,1,0,0,0,0,0,39.0,1,2,0,0,0,3,1,1082756,2014,,,,
03/14/2014,away,11620,104,UC Santa Barbara,9,True,1,2,-1,loss,1 - 2,592293,782,1,1.0,1,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,2,0,1082756,2014,,,,
03/16/2014,away,11620,104,UC Santa Barbara,9,True,2,3,-1,loss,2 - 3,593267,782,1,2.1,1,1,1,1,0,0,9,7,0,0,0,0,0,0,1,0,0,1,0,0.0,1,6,0,1,0,2,0,1082756,2014,,,,
03/19/2014,away,11620,28,Arizona St.,9,True,12,9,3,win,12 - 9,593778,782,1,3.0,2,3,1,0,1,0,14,11,0,0,0,2,0,0,0,1,1,1,2,0.0,3,5,1,0,0,2,1,1082756,2014,,,,
03/22/2014,home,11620,669,Missouri St.,9,True,5,1,4,win,5 - 1,594440,782,1,0.1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,5.0,1,0,0,0,0,2,0,1082756,2014,,,,
03/23/2014,home,11620,669,Missouri St.,9,True,3,4,-1,loss,3 - 4,595102,782,1,2.2,1,0,0,1,2,0,8,6,0,0,0,0,0,0,0,2,0,1,0,42.0,3,1,0,0,0,2,1,1082756,2014,,,,
03/28/2014,home,11620,97,Cal St. Fullerton,9,True,1,5,-4,loss,1 - 5,595846,782,1,0.2,1,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,12.0,1,0,0,0,0,2,0,1082756,2014,,,,
03/30/2014,home,11620,97,Cal St. Fullerton,9,True,4,2,2,win,4 - 2,596487,782,1,1.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,19.0,0,1,0,0,1,3,0,1082756,2014,,,,
04/01/2014,away,11620,328,Kansas,9,True,2,4,-2,loss,2 - 4,597293,782,1,2.0,1,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,24.0,2,2,0,0,0,4,0,1082756,2014,,,,
04/05/2014,away,11620,305,Indiana St.,9,True,2,3,-1,loss,2 - 3,598458,782,1,1.2,4,2,2,0,1,0,9,9,0,1,0,0,0,0,0,0,0,0,0,0.0,0,4,0,1,0,2,0,1082756,2014,,,,
04/08/2014,away,11620,327,Kansas St.,9,True,2,3,-1,loss,2 - 3,599208,782,1,2.0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,32.0,3,2,0,0,0,3,0,1082756,2014,,,,
04/12/2014,away,11620,219,Evansville,9,True,2,13,-11,loss,2 - 13,600195,782,1,1.0,2,1,0,0,0,0,6,6,0,0,0,0,0,0,0,2,2,0,0,17.0,1,2,0,0,0,2,0,1082756,2014,,,,
04/15/2014,home,11620,527,Oral Roberts,9,True,6,5,1,win,6 - 5,601361,782,1,1.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13.0,1,2,0,0,0,4,0,1082756,2014,,,,
04/19/2014,home,11620,659,Southern Ill.,12,True,4,3,1,win,4 - 3,602522,782,1,1.2,3,0,0,0,2,0,8,8,1,0,0,0,0,0,0,1,1,0,0,31.0,1,2,1,0,0,3,0,1082756,2014,,,,
04/22/2014,home,11620,434,Missouri,10,True,4,5,-1,loss,4 - 5,603576,782,1,0.1,1,0,0,1,0,0,3,1,0,0,0,1,0,0,0,3,3,0,1,15.0,0,1,0,0,0,3,0,1082756,2014,,,,
04/25/2014,away,11620,718,Tulane,12,True,1,5,-4,loss,1 - 5,604059,782,1,0.1,1,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,13.0,0,1,0,0,0,3,0,1082756,2014,,,,
04/26/2014,away,11620,718,Tulane,9,True,4,5,-1,loss,4 - 5,604355,782,1,1.0,2,1,1,0,1,0,5,5,1,0,0,0,0,0,0,3,0,0,0,18.0,1,1,0,0,0,3,1,1082756,2014,,,,
