date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season,GS,pitches,pickoffs
03/03/2018,home,12973,432,Mississippi Val.,9,True,15,4,11,win,15 - 4,88066,2,0,6.0,0.0,6,1,1,1,7,0,25,24,0,0,0,0,0,0,0,0,0,0,0,,8,3,1,0,0,1,1,1997694,2018,1.0,85.0,
03/11/2018,away,12973,2743,UIW,9,True,6,7,-1,loss,6 - 7,90353,2,0,6.1,0.0,7,6,6,5,3,0,30,22,3,0,0,0,2,0,0,0,0,3,0,,11,3,0,1,0,1,1,1997694,2018,1.0,106.0,
03/18/2018,home,12973,474,New Orleans,9,True,10,14,-4,loss,10 - 14,92176,2,0,1.1,0.0,8,7,7,1,0,0,13,12,3,1,0,0,0,0,0,0,0,0,0,,3,1,0,1,0,1,0,1997694,2018,1.0,42.0,
03/20/2018,away,12973,702,UT Arlington,9,True,0,3,-3,loss,0 - 3,92518,2,0,5.0,0.0,5,1,1,2,4,0,21,19,2,0,0,1,0,0,0,0,0,0,0,,8,2,0,1,0,1,1,1997694,2018,1.0,76.0,
03/25/2018,home,12973,676,SFA,9,True,3,16,-13,loss,3 - 16,93675,2,0,1.0,0.0,5,5,5,1,0,0,8,7,1,0,0,1,1,0,0,0,0,0,0,,2,0,0,1,0,1,0,1997694,2018,1.0,26.0,
03/31/2018,away,12973,624,Sam Houston,9,True,0,10,-10,loss,0 - 10,95219,2,0,1.1,0.0,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,1,1,1,0,,1,3,0,0,0,2,0,1997694,2018,0.0,25.0,
04/14/2018,home,12973,287,Houston Baptist,9,True,5,13,-8,loss,5 - 13,98622,2,0,2.0,0.0,3,3,3,1,3,0,10,9,1,0,0,2,0,0,0,0,0,0,0,,4,1,0,0,0,2,1,1997694,2018,0.0,42.0,
04/17/2018,away,12973,698,TCU,11,True,4,2,2,win,4 - 2,99431,2,0,2.1,0.0,3,2,2,2,0,0,13,9,0,0,0,0,0,1,0,0,0,0,1,,2,4,0,0,0,2,0,1997694,2018,0.0,46.0,
04/20/2018,away,12973,346,Lamar University,9,True,5,7,-2,loss,5 - 7,100085,2,0,1.1,0.0,4,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,3,0,1997694,2018,0.0,16.0,
04/24/2018,away,12973,697,Texas A&M,9,True,2,8,-6,loss,2 - 8,101598,2,0,3.0,0.0,5,3,3,0,1,0,14,14,1,0,0,0,0,0,0,0,0,0,0,,5,3,0,0,0,2,0,1997694,2018,0.0,44.0,
05/01/2018,home,12973,698,TCU,9,True,0,4,-4,loss,0 - 4,103503,2,0,2.0,0.0,5,1,1,0,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,2,0,1997694,2018,0.0,47.0,
05/04/2018,home,12973,1004,Central Ark.,9,True,3,10,-7,loss,3 - 10,103915,2,0,2.2,0.0,2,1,1,1,1,0,10,9,0,0,0,1,0,0,0,3,1,0,0,,4,2,0,0,0,2,1,1997694,2018,0.0,42.0,
05/09/2018,home,12973,432,Mississippi Val.,9,True,20,4,16,win,20 - 4,105099,2,0,5.0,0.0,4,3,1,4,4,0,23,18,0,0,0,0,2,0,0,0,0,1,0,,7,2,1,0,0,1,2,1997694,2018,1.0,86.0,
05/13/2018,away,12973,508,Northwestern St.,9,True,1,6,-5,loss,1 - 6,105779,2,0,3.0,0.0,7,3,3,0,3,0,17,16,1,0,0,1,0,1,0,0,0,0,0,,2,4,0,1,0,1,0,1997694,2018,1.0,55.0,
05/18/2018,home,12973,26172,A&M-Corpus Christi,9,True,2,9,-7,loss,2 - 9,106184,2,0,4.2,0.0,10,7,7,4,1,0,28,23,2,0,0,1,0,0,0,0,0,1,0,,6,6,0,1,0,1,0,1997694,2018,1.0,97.0,
02/24/2018,home,12973,699,Texas Southern,9,True,6,8,-2,loss,6 - 8,86724,2,0,0.2,0.0,1,0,0,0,0,0,3,2,0,0,0,0,0,1,0,1,1,0,0,,1,0,0,0,0,6,0,1997702,2018,0.0,16.0,
02/24/2018,home,12973,699,Texas Southern,9,True,6,5,1,win,6 - 5,86833,2,0,2.0,0.0,0,0,0,2,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,2,0,1997702,2018,0.0,36.0,
02/27/2018,home,12973,30088,Tex. Permian Basin,9,True,8,2,6,win,8 - 2,87345,2,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,3,1,1997702,2018,0.0,11.0,
03/02/2018,home,12973,432,Mississippi Val.,10,True,8,7,1,win,8 - 7,87670,2,0,1.0,0.0,2,2,0,1,2,0,7,5,0,0,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,2,0,1997702,2018,0.0,28.0,
03/11/2018,away,12973,2743,UIW,9,True,6,7,-1,loss,6 - 7,90353,2,0,0.0,0.0,1,1,1,1,0,0,3,1,0,0,0,0,1,1,0,1,1,0,0,,0,0,0,0,0,2,0,1997702,2018,0.0,12.0,
03/16/2018,home,12973,474,New Orleans,9,True,7,6,1,win,7 - 6,91306,2,0,1.2,0.0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1,0,0,0,,1,3,0,0,0,2,0,1997702,2018,0.0,18.0,
03/18/2018,home,12973,474,New Orleans,9,True,10,14,-4,loss,10 - 14,92176,2,0,1.1,0.0,5,3,3,0,1,0,8,7,1,1,0,1,0,0,0,1,1,0,1,,1,1,0,0,0,2,0,1997702,2018,0.0,26.0,
03/24/2018,home,12973,676,SFA,9,True,6,13,-7,loss,6 - 13,93227,2,0,1.0,0.0,3,3,3,1,0,0,7,5,0,0,0,0,0,0,0,1,1,0,1,,1,2,0,0,0,3,0,1997702,2018,0.0,27.0,
03/25/2018,home,12973,676,SFA,9,True,3,16,-13,loss,3 - 16,93675,2,0,3.0,0.0,2,0,0,1,1,0,12,9,0,0,0,0,0,1,0,3,3,0,1,,3,4,0,0,0,5,0,1997702,2018,0.0,40.0,
03/29/2018,away,12973,624,Sam Houston,9,True,1,10,-9,loss,1 - 10,94536,2,0,2.2,0.0,3,3,3,2,2,0,13,11,1,0,0,0,0,0,0,1,0,0,0,,2,4,0,0,0,3,1,1997702,2018,0.0,51.0,
03/31/2018,away,12973,624,Sam Houston,9,True,0,10,-10,loss,0 - 10,95219,2,0,2.0,0.0,2,2,0,1,0,0,11,8,0,0,0,0,0,1,0,0,0,0,1,,2,4,0,0,0,3,0,1997702,2018,0.0,32.0,
04/03/2018,home,12973,702,UT Arlington,9,True,8,12,-4,loss,8 - 12,95856,2,0,2.1,0.0,2,0,0,1,2,0,9,8,0,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,0,2,1,1997702,2018,0.0,35.0,
04/06/2018,away,12973,402,McNeese,9,True,2,3,-1,loss,2 - 3,96274,2,0,1.2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,2,3,0,0,0,2,0,1997702,2018,0.0,18.0,
04/07/2018,away,12973,402,McNeese,9,True,9,3,6,win,9 - 3,96580,2,0,2.0,0.0,0,0,0,0,2,0,7,6,0,0,0,0,0,1,0,0,0,0,0,,2,1,0,0,0,2,0,1997702,2018,0.0,25.0,
04/08/2018,away,12973,402,McNeese,9,True,2,6,-4,loss,2 - 6,97034,2,0,0.2,0.0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2,2,0,1,,0,2,0,0,0,4,0,1997702,2018,0.0,9.0,
04/13/2018,home,12973,287,Houston Baptist,9,True,20,23,-3,loss,20 - 23,98262,2,0,1.1,0.0,3,3,3,1,2,0,9,7,1,0,0,1,0,1,0,0,0,0,0,,0,2,0,0,0,2,1,1997702,2018,0.0,37.0,
04/15/2018,home,12973,287,Houston Baptist,9,True,4,3,1,win,4 - 3,99252,2,0,3.0,0.0,1,0,0,2,2,0,13,8,0,0,0,0,0,1,0,1,0,2,0,,5,1,1,0,0,2,2,1997702,2018,0.0,44.0,
04/17/2018,away,12973,698,TCU,11,True,4,2,2,win,4 - 2,99431,2,0,2.2,0.0,2,0,0,0,1,0,10,10,0,0,0,0,0,0,0,2,0,0,0,,4,2,0,0,0,3,0,1997702,2018,0.0,52.0,
04/20/2018,away,12973,346,Lamar University,9,True,5,7,-2,loss,5 - 7,100085,2,0,1.2,0.0,2,0,0,0,1,0,7,7,1,0,0,0,0,0,0,2,1,0,0,,3,1,0,0,0,4,1,1997702,2018,0.0,24.0,
04/21/2018,away,12973,346,Lamar University,9,True,0,5,-5,loss,0 - 5,100384,2,0,1.0,0.0,4,2,2,0,0,0,7,6,0,0,0,0,0,0,0,1,1,0,1,,0,3,0,0,0,2,0,1997702,2018,0.0,25.0,
04/22/2018,away,12973,346,Lamar University,13,True,5,4,1,win,5 - 4,101148,2,0,3.2,0.0,1,0,0,3,2,0,15,10,0,0,0,0,0,0,2,1,0,2,0,,5,4,1,0,0,4,1,1997702,2018,0.0,45.0,
04/24/2018,away,12973,697,Texas A&M,9,True,2,8,-6,loss,2 - 8,101598,2,0,0.1,0.0,2,1,0,0,0,0,4,3,0,0,0,0,1,1,0,3,3,0,0,,1,0,0,0,0,3,0,1997702,2018,0.0,15.0,
04/28/2018,away,12973,639,Siena,9,True,2,3,-1,loss,2 - 3,102811,2,0,2.2,0.0,4,2,2,1,1,0,13,12,2,0,0,0,0,0,0,2,0,0,0,,4,3,0,1,0,2,0,1997702,2018,0.0,50.0,
05/01/2018,home,12973,698,TCU,9,True,0,4,-4,loss,0 - 4,103503,2,0,1.0,0.0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,3,0,1997702,2018,0.0,19.0,
05/05/2018,home,12973,1004,Central Ark.,9,True,8,9,-1,loss,8 - 9,104223,2,0,2.1,0.0,6,3,3,1,1,0,14,11,2,0,0,1,0,0,0,1,1,2,0,,4,2,0,1,0,3,0,1997702,2018,0.0,42.0,
05/08/2018,home,12973,432,Mississippi Val.,9,True,15,6,9,win,15 - 6,105023,2,0,4.0,0.0,4,1,1,1,3,0,16,15,1,0,0,0,0,0,0,0,0,0,0,,2,6,1,0,0,1,0,1997702,2018,1.0,53.0,
05/17/2018,home,12973,26172,A&M-Corpus Christi,9,True,5,7,-2,loss,5 - 7,106003,2,0,4.0,0.0,3,1,1,0,4,0,14,13,0,0,0,1,0,0,0,3,2,0,1,,3,4,0,0,0,2,1,1997702,2018,0.0,49.0,
05/19/2018,home,12973,26172,A&M-Corpus Christi,9,True,3,10,-7,loss,3 - 10,106367,2,0,3.0,0.0,2,2,2,2,2,0,13,9,1,0,0,1,0,0,0,0,0,1,1,,3,4,0,0,0,2,0,1997702,2018,0.0,47.0,
02/17/2018,home,12973,562,Quinnipiac,9,True,5,4,1,win,5 - 4,85509,2,0,6.0,0.0,6,4,3,2,7,0,26,24,0,0,0,1,1,0,0,0,0,0,0,,6,3,0,0,0,1,2,1997693,2018,1.0,90.0,
02/24/2018,home,12973,699,Texas Southern,9,True,6,8,-2,loss,6 - 8,86724,2,0,6.0,0.0,7,3,3,2,7,0,27,25,0,0,0,0,1,0,0,0,0,0,0,,5,6,0,0,0,1,0,1997693,2018,1.0,95.0,
03/03/2018,home,12973,432,Mississippi Val.,9,True,11,3,8,win,11 - 3,87972,2,0,7.0,0.0,3,2,2,3,6,0,26,20,1,1,0,0,0,1,0,0,0,2,0,,12,2,1,0,0,1,1,1997693,2018,1.0,94.0,
03/10/2018,away,12973,2743,UIW,9,True,7,8,-1,loss,7 - 8,89805,2,0,3.2,0.0,5,4,4,1,2,0,17,14,1,0,0,1,1,2,0,0,0,0,0,,4,3,0,0,0,1,2,1997693,2018,1.0,68.0,
03/17/2018,home,12973,474,New Orleans,9,True,6,5,1,win,6 - 5,91622,2,0,6.1,0.0,7,4,4,0,2,0,27,27,0,0,0,0,2,0,0,0,0,0,0,,7,10,1,0,0,1,0,1997693,2018,1.0,92.0,
03/24/2018,home,12973,676,SFA,9,True,6,13,-7,loss,6 - 13,93227,2,0,1.0,0.0,4,6,0,2,1,0,10,8,1,0,0,0,2,0,0,0,0,0,0,,2,0,0,1,0,1,1,1997693,2018,1.0,45.0,
03/29/2018,away,12973,624,Sam Houston,9,True,1,10,-9,loss,1 - 10,94536,2,0,4.1,0.0,6,5,5,4,2,0,24,19,2,0,0,0,1,1,0,0,0,0,0,,5,6,0,1,0,1,0,1997693,2018,1.0,83.0,
04/06/2018,away,12973,402,McNeese,9,True,2,3,-1,loss,2 - 3,96274,2,0,6.1,0.0,7,3,2,2,4,0,27,23,1,1,0,1,2,1,0,0,0,1,0,,6,7,0,1,0,1,1,1997693,2018,1.0,91.0,
04/13/2018,home,12973,287,Houston Baptist,9,True,20,23,-3,loss,20 - 23,98262,2,0,5.0,0.0,13,10,8,1,5,0,30,28,2,0,0,4,0,1,0,0,0,0,0,,2,7,0,1,0,1,1,1997693,2018,1.0,84.0,
04/20/2018,away,12973,346,Lamar University,9,True,5,7,-2,loss,5 - 7,100085,2,0,4.1,0.0,6,5,5,2,4,0,21,17,2,0,0,0,0,0,0,0,0,1,1,,3,6,0,1,0,1,1,1997693,2018,1.0,86.0,
04/28/2018,away,12973,639,Siena,9,True,2,3,-1,loss,2 - 3,102811,2,0,5.2,0.0,6,1,1,1,1,0,24,22,0,0,0,0,0,0,0,0,0,1,0,,9,7,0,0,0,1,0,1997693,2018,1.0,69.0,
05/04/2018,home,12973,1004,Central Ark.,9,True,3,10,-7,loss,3 - 10,103915,2,0,4.1,0.0,8,5,4,1,2,0,22,18,1,1,0,0,0,1,0,0,0,2,0,,5,4,0,1,0,1,1,1997693,2018,1.0,81.0,
05/08/2018,home,12973,432,Mississippi Val.,9,True,15,6,9,win,15 - 6,105023,2,0,2.0,0.0,2,2,2,0,2,0,9,8,0,0,0,1,0,1,0,0,0,0,0,,3,0,0,0,0,2,0,1997693,2018,0.0,30.0,
05/11/2018,away,12973,508,Northwestern St.,9,True,1,9,-8,loss,1 - 9,105301,2,0,5.1,0.0,8,6,4,4,7,0,32,24,3,0,0,0,2,3,0,0,0,0,1,,3,6,0,1,0,1,2,1997693,2018,1.0,120.0,
05/17/2018,home,12973,26172,A&M-Corpus Christi,9,True,5,7,-2,loss,5 - 7,106003,2,0,5.0,0.0,12,6,6,1,0,0,28,26,1,0,0,0,0,0,0,0,0,0,1,,7,7,0,1,0,1,0,1997693,2018,1.0,79.0,
02/09/2018,home,12973,0,Tenn. Wesleyan,9,True,2,12,-10,loss,,84858,30093,0,0.1,0.0,3,7,7,3,0,0,9,3,1,0,0,1,0,2,0,0,0,1,0,,1,0,0,0,0,5,0,1986900,2018,0.0,0.0,
03/03/2018,away,12973,181,Delta St.,9,True,6,16,-10,loss,,87945,30093,0,0.2,0.0,1,1,0,1,0,0,6,4,0,0,0,0,0,1,0,2,0,0,0,,0,2,0,0,0,5,0,1986900,2018,0.0,17.0,
02/17/2018,away,12973,277,Hawaii,9,True,1,4,-3,loss,1 - 4,85473,721,0,1.0,0.0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,,1,2,0,0,0,4,0,1996955,2018,0.0,0.0,
02/26/2018,away,12973,490,NC State,9,True,5,15,-10,loss,5 - 15,87199,721,0,1.2,0.0,3,4,4,2,2,0,11,9,1,0,1,1,0,0,0,3,0,0,0,,0,3,0,0,0,2,0,1996955,2018,0.0,55.0,
03/02/2018,away,12973,1045,DBU,9,True,3,11,-8,loss,3 - 11,87580,721,0,1.0,0.0,1,0,0,0,0,0,4,4,1,0,0,0,0,0,0,3,3,0,0,,1,2,0,0,0,3,0,1996955,2018,0.0,5.0,
03/07/2018,home,12973,649,South Dakota St.,9,True,11,7,4,win,11 - 7,89104,721,0,0.2,0.0,1,2,2,2,0,0,4,2,1,0,0,0,0,0,0,1,0,0,0,,1,0,1,0,0,2,0,1996955,2018,0.0,0.0,
03/13/2018,home,12973,929,Adams St.,9,True,7,6,1,win,7 - 6,90841,721,0,1.1,0.0,2,1,1,0,3,0,6,6,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,2,2,1996955,2018,0.0,14.0,
03/17/2018,home,12973,465,UNLV,9,True,15,19,-4,loss,15 - 19,91591,721,0,0.1,0.0,2,1,1,1,1,0,4,3,0,0,0,0,1,0,0,2,2,0,0,,0,0,0,0,0,5,0,1996955,2018,0.0,17.0,
03/24/2018,away,12973,473,New Mexico,10,True,11,12,-1,loss,11 - 12,93147,721,0,1.2,0.0,2,0,0,0,2,0,8,7,1,0,0,0,0,0,0,2,2,1,0,,3,0,0,0,0,2,0,1996955,2018,0.0,27.0,
03/31/2018,home,12973,630,San Jose St.,9,True,19,3,16,win,19 - 3,95163,721,0,1.0,0.0,2,1,1,0,1,0,5,5,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,3,0,1996955,2018,0.0,16.0,
04/02/2018,away,12973,30024,Utah Valley,9,True,12,6,6,win,12 - 6,95712,721,0,1.0,0.0,3,2,2,0,1,0,6,6,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,3,0,1996955,2018,0.0,19.0,
04/08/2018,home,12973,626,San Diego St.,9,True,11,15,-4,loss,11 - 15,97003,721,0,0.2,0.0,3,1,1,1,0,0,6,5,0,0,0,1,0,0,0,1,0,0,0,,1,1,0,0,0,4,0,1996955,2018,0.0,19.0,
04/10/2018,away,12973,1356,Seattle U,9,True,5,11,-6,loss,5 - 11,97756,721,0,1.2,0.0,2,0,0,0,0,0,7,6,0,0,0,0,0,0,0,3,3,1,0,,3,2,0,0,0,4,0,1996955,2018,0.0,0.0,
